"臓器","分類","項目名","blank","H28対応項目","削除項目","追加項目","メモ"
"D1造血系（松山）","構造と機能","骨髄の構造","","","","",""
"D1造血系（松山）","構造と機能","造血幹細胞から各血球への分化と成熟の過程","","","","",""
"D1造血系（松山）","構造と機能","主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>、トロンボポエチン）","","","","",""
"D1造血系（松山）","構造と機能","脾臓、胸腺、リンパ節、扁桃とPeyer 板の構造と機能","","","","",""
"D1造血系（松山）","構造と機能","血漿タンパク質の種類と機能","","","","",""
"D1造血系（松山）","構造と機能","赤血球とヘモグロビンの構造と機能","","","","",""
"D1造血系（松山）","構造と機能","白血球の種類と機能","","","","",""
"D1造血系（松山）","構造と機能","血小板の機能と止血や凝固・線溶の機序","","","","",""
"D1造血系（松山）","症状・症候","発熱、全身倦怠感、黄疸、貧血、出血傾向、リンパ節腫脹、腹部膨隆・腫瘤　血栓傾向","","","","",""
"D1造血系（松山）","検査方法","末梢血血球検査、塗抹標本検査","","","","",""
"D1造血系（松山）","検査方法","凝固・線溶・血小板機能検査","","","","",""
"D1造血系（松山）","検査方法","骨髄検査（骨髄穿刺、骨髄生検）","","","","",""
"D1造血系（松山）","検査方法","輸血関連検査","","","","",""
"D1造血系（松山）","検査方法","タンパク分画、免疫電気泳動","","","","",""
"D1造血系（松山）","検査方法","遺伝子・染色体検査","","","","",""
"D1造血系（松山）","検査方法","その他（赤沈、溶血に関する検査）","","","","",""
"D1造血系（松山）","特異的治療法","輸血","","","","",""
"D1造血系（松山）","特異的治療法","造血幹細胞移植","","","","",""
"D1造血系（松山）","疾患・病態","貧血・その他赤血球系疾患：鉄欠乏性貧血、巨赤芽球性貧血、溶血性貧血、造血不全症（発作性夜間ヘモグロビン尿症、再生不良性貧血、赤芽球癆、骨髄異形成症候群）、二次性貧血（慢性疾患に伴う貧血、腎性貧血）、出血性貧血、サラセミア、遺伝性球状赤血球症","","","","",""
"D1造血系（松山）","疾患・病態","出血傾向・紫斑：免疫性血小板減少性紫斑病<ITP>、血栓性血小板減少性紫斑病<TTP>、溶血性尿毒症症候群<HUS>、二次性血小板減少症（脾機能亢進症、薬剤性）、血友病、von Willebrand病、播種性血管内凝固<DIC>、ビタミンK欠乏症、後天性血友病、IgA 血管炎(Schönlein-Henoch 紫斑病)、遺伝性出血性末梢血管拡張症〈Osler病）、老人性紫斑","","","","",""
"D1造血系（松山）","疾患・病態","血栓傾向：プロテインC・プロテインS・アンチトロンビン欠乏症、抗リン脂質抗体症候群、TTP、HUS","","","","",""
"D1造血系（松山）","疾患・病態","脾臓疾患：脾腫をきたす疾患を列挙し、鑑別の要点を説明できる。","","","","",""
"D1造血系（松山）","疾患・病態","腫瘍性疾患：急性骨髄性・リンパ性白血病、MDS、慢性骨髄性白血病、真性赤血球増加症、本態性血小板血症、原発性骨髄線維症、慢性リンパ性白血病、悪性リンパ腫（Hodgkinリンパ腫、濾胞性リンパ腫、びまん性大細胞型B細胞リンパ腫、Burkittリンパ腫、MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、成人T 細胞白血病、菌状息肉症、Sezary症候群","","","","",""
"D1造血系（松山）","疾患・病態","その他：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、意義不明の単クローン性免疫グロブリン症〈MGUS〉","","","","",""
"D2神経系(nomura)","構造と機能","中枢神経系と末梢神経系の構成","","","","",""
"D2神経系(nomura)","構造と機能","脳の血管支配と血液脳関門","","","","",""
"D2神経系(nomura)","構造と機能","脳のエネルギー代謝の特徴","","","","",""
"D2神経系(nomura)","構造と機能","主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用","","","","",""
"D2神経系(nomura)","構造と機能","髄膜・脳室系の構造と脳脊髄液の産生と循環","","","","",""
"D2神経系(nomura)","構造と機能","脊髄の構造、機能局在と伝導路","","","","",""
"D2神経系(nomura)","構造と機能","脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配","","","","",""
"D2神経系(nomura)","構造と機能","脊髄神経と神経叢（頸、腕、腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）","","","","",""
"D2神経系(nomura)","構造と機能","脳幹の構造と伝導路","","","","",""
"D2神経系(nomura)","構造と機能","脳神経の名称、核の局在、走行・分布と機能","","","","",""
"D2神経系(nomura)","構造と機能","脳幹の機能","","","","",""
"D2神経系(nomura)","構造と機能","大脳の構造","","","","",""
"D2神経系(nomura)","構造と機能","大脳皮質の機能局在（運動野・感覚野・言語野）","","","","",""
"D2神経系(nomura)","構造と機能","記憶、学習の機序を辺縁系の構成","","","","",""
"D2神経系(nomura)","構造と機能","錐体路を中心とした随意運動の発現機構","","","","",""
"D2神経系(nomura)","構造と機能","小脳の構造と機能","","","","",""
"D2神経系(nomura)","構造と機能","大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能","","","","",""
"D2神経系(nomura)","構造と機能","痛覚、温度覚、触覚と深部感覚の受容機序と伝導路","","","","",""
"D2神経系(nomura)","構造と機能","視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路","","","","",""
"D2神経系(nomura)","構造と機能","交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質","","","","","行動科学？"
"D2神経系(nomura)","構造と機能","内分泌および自律機能と関連づけた視床下部の構造と機能","","","","",""
"D2神経系(nomura)","構造と機能","ストレス反応と本能・情動行動の発現機序","","","","",""
"D2神経系(nomura)","症状・症候（）","けいれん、意識障害、めまい、頭痛、運動麻痺・筋力低下、歩行障害、感覚障害","","","","",""
"D2神経系(nomura)","）症状・症候（）","小脳性・前庭性・感覚性運動失調障害の区別","","","","",""
"D2神経系(nomura)","）症状・症候（）","振戦","","","","",""
"D2神経系(nomura)","）症状・症候（）","不随意運動（ミオクローヌス、舞踏運動、ジストニア、固定姿勢保持困難(asterixis)、アテトーシス、チック）","","","","",""
"D2神経系(nomura)","）症状・症候（）","失語症と構音障害の違い","","","","",""
"D2神経系(nomura)","）症状・症候（）","脳浮腫","","","","",""
"D2神経系(nomura)","）症状・症候（）","急性・慢性頭蓋内圧亢進の症候","","","","",""
"D2神経系(nomura)","）症状・症候（）","脳ヘルニアの種類と症候","","","","",""
"D2神経系(nomura)","）検査方法","脳・脊髄のコンピュータ断層撮影(computed tomography <CT>)・磁気共鳴画像法(magnetic resonance imaging<MRI>)","","","","",""
"D2神経系(nomura)","）検査方法","神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）","","","","",""
"D2神経系(nomura)","）特異的治療法","脳血管障害の治療とリハビリテーション","","","","",""
"D2神経系(nomura)","）疾患・病態","脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作","","","","",""
"D2神経系(nomura)","）疾患・病態","感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、多発性硬化症","","","","",""
"D2神経系(nomura)","）疾患・病態","神経変性・代謝性・脱髄疾患：Alzheimer型認知症、Lewy小体型認知症、脳血管性認知症、Parkinson病、筋萎縮性側索硬化症","","","","","認知症は精神科と重複しているが、こちらに統合"
"D2神経系(nomura)","）疾患・病態","末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害、中毒、遺伝性）、Guillain-Barré症候群、Bell麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺","","","","",""
"D2神経系(nomura)","）疾患・病態","発作性・機能性・自律神経系疾患：全般てんかん、局在関連てんかん、慢性頭痛（片頭痛、緊張型頭痛）","","","","",""
