"大項目","中項目","小項目","削除"
"妊娠の異常","妊娠中・後期の異常","臍帯過捻転","2"
"分娩・産褥の異常","その他の難産","遷延分娩、分娩停止、多胎分娩、肩甲難産","1"
"胎児・新生児の異常","胎児異常","形態異常","1"
"胎児・新生児の異常","胎児異常","肺低形成","1"
"胎児・新生児の異常","新生児の分類と異常","過期産児","1"
"胎児・新生児の異常","新生児の呼吸障害","一過性多呼吸","1"
"性分化染色体異常(他)","染色体・遺伝子異常","ネコ鳴き<5p->症候群、 trisomy(l3番、l8番)","1"
"性分化染色体異常(他)","性分化・性器の異常","腟欠損症、Mayer-Rokitansky- Küster-Hauser<MRKH>症候群","2"
"性分化染色体異常(他)","内分泌の異常","先天性男性ホルモン生成障害","1"
"気分障害、統合失調症(他)","統合失調症","妄想型統合失調症","1"
"神経症、ストレス障害(他)","身体表現性障害","身体表現性自律神経機能不全","4"
"生理的障害、身体的要因に関連した障害","睡眠障害","概日リズム障害","1"
"生理的障害、身体的要因に関連した障害","睡眠障害","夢中遊行症","3"
"生理的障害、身体的要因に関連した障害","睡眠障害","周期性四肢運動障害","2"
"小児・青年期、成人の人格障害(他)","素行障害","素行障害","3"
"小児・青年期、成人の人格障害(他)","選択緘黙","選択緘黙","4"
"小児・青年期、成人の人格障害(他)","非行","非行","4"
"小児・青年期、成人の人格障害(他)","吃音{症}","吃音{症}","1"
"腫瘍・母斑性皮膚疾患","皮膚良性腫瘍","毛細血管拡張性肉芽腫","1"
"腫瘍・母斑性皮膚疾患","皮膚良性腫瘍","グロムス腫瘍","1"
"その他の皮膚疾患","皮膚抗酸菌症","皮膚腺病","4"
"その他の皮膚疾患","皮膚抗酸菌症","硬結性紅斑","3"
"その他の皮膚疾患","ムチン沈着症","脛骨前粘液水腫","1"
"その他の皮膚疾患","ムチン沈着症","糖尿病性浮腫性硬化症","1"
"視機能異常、視神経疾患","視神経疾患","視神経萎縮","1"
"眼窩・ 外眼部・前眼部・眼球の疾患","眼瞼の異常","眼瞼腫瘍","1"
"眼窩・ 外眼部・前眼部・眼球の疾患","眼表面・涙器の異常","春季カタル","1"
"眼窩・ 外眼部・前眼部・眼球の疾患","眼表面・涙器の異常","角膜ジストロフィー・変性症","4"
"ぶどう膜・網膜・硝子体疾患","網膜の異常","変性近視","1"
"ぶどう膜・網膜・硝子体疾患","眼内腫瘍","脈絡膜腫瘍","3"
"外耳・中耳疾患","外耳道の異常","外耳腫瘍","2"
"外耳・中耳疾患","外耳道の異常","悪性外耳道炎","1"
"内耳・神経疾患","内耳の異常","遺伝性難聴","1"
"鼻腔・副鼻腔・喉頭疾患","鼻・副鼻腔の異常","副鼻腔真菌症","1"
"鼻腔・副鼻腔・喉頭疾患","鼻・副鼻腔の異常","術後副鼻腔囊胞","1"
"鼻腔・副鼻腔・喉頭疾患","喉頭の異常","喉頭乳頭腫","2"
"損傷、奇形","皮膚・頭頸部の先天異常","耳介奇形","1"
"損傷、奇形","皮膚・頭頸部の先天異常","先天性耳瘻孔","2"
"損傷、奇形","皮膚・頭頸部の先天異常","外耳道閉鎖症","1"
"損傷、奇形","皮膚・頭頸部の先天異常","中耳奇形","3"
"損傷、奇形","皮膚・頭頸部の先天異常","内耳奇形","4"
"損傷、奇形","皮膚・頭頸部の先天異常","眼の先天異常","4"
"実質性・間質性肺障害","IIPs以外の原因不明疾患","炎症性腫瘤","1"
"気管支・肺・胸膜・縦隔の腫瘍","縦隔腫瘍","囊胞性腫瘍","1"
"胸膜・縦隔・横隔膜・胸郭の形態(他)","胸壁、横隔膜","横隔膜弛緩症","4"
"先天性心疾患","その他の複雑心奇形","Ebstein奇形","1"
"先天性心疾患","その他の複雑心奇形","完全大血管転位症","1"
"先天性心疾患","その他の複雑心奇形","修正大血管転位症","1"
"先天性心疾患","その他の複雑心奇形","両大血管右室起始症","1"
"先天性心疾患","その他の複雑心奇形","大動脈縮窄症、大動脈離断症","1"
"先天性心疾患","その他の複雑心奇形","総肺静脈還流異常症","1"
"先天性心疾患","その他の複雑心奇形","部分肺静脈還流異常症","2"
"先天性心疾患","その他の複雑心奇形","単心房、単心室","2"
"先天性心疾患","その他の複雑心奇形","総動脈幹症","2"
"心筋・心膜疾患、心臓腫瘍、外傷","二次性心筋疾患","筋ジストロフィー","1"
"心筋・心膜疾患、心臓腫瘍、外傷","心臓腫瘍","転移性腫瘍","1"
"心筋・心膜疾患、心臓腫瘍、外傷","外傷","心臓外傷","2"
"心筋・心膜疾患、心臓腫瘍、外傷","外傷","血管損傷","2"
"小腸・結腸疾患","腫瘍","小腸癌","4"
"消化管共通疾患","炎症、感染症","消化管アレルギー、好酸球性胃腸炎、好酸球性食道炎","1"
"横 隔膜 ・腹 膜・腹壁疾患","腫瘍","腹膜偽粘液腫","2"
"損傷、異物","損傷","胆道損傷","1"
"その他の重要な小児領域の疾患","胃・十二指腸の異常","新生児胃穿孔・破裂","1"
"その他の重要な小児領域の疾患","胃・十二指腸の異常","先天性十二指腸閉鎖・狭窄症","1"
"その他の重要な小児領域の疾患","小腸・結腸の異常","先天性小腸狭窄・閉鎖症","1"
"その他の重要な小児領域の疾患","横隔膜・腹壁疾患","腹壁破裂","1"
"その他の重要な小児領域の疾患","横隔膜・腹壁疾患","横隔膜弛緩症","2"
"白血球系疾患とその他の骨髄性疾患","好中球機能異常症","Chédiak-Higashi症候群","1"
"白血球系疾患とその他の骨髄性疾患","骨髄系腫瘍","慢性好酸球性白血病","1"
"リンパ系疾患","成熟B細胞性腫瘍","hairy cell leukemia","1"
"リンパ系疾患","組織球および樹状細胞腫瘍","Langerhans細胞由来腫瘍","1"
"出血性疾患と血栓傾向","血小板の異常","後天性血小板機能異常症","2"
"出血性疾患と血栓傾向","凝固因子の異常","循環抗凝固因子による出血傾向(後天性血友病、後天性von Willebrand病)","1"
"その他の重要な小児領域の疾患","小児血液疾患","赤血球酵素異常症","1"
"その他の重要な小児領域の疾患","小児血液疾患","先天性血小板機能異常症","1"
"糸球体病変","遺伝性腎炎","Alport症候群","1"
"糸球体病変","遺伝性腎炎","基底膜菲薄化症候群<良性家族性血尿>","2"
"血 管・質病変","腎血管疾患","腎皮質壊死","3"
"血 管・質病変","尿細管機能異常","シスチン尿症","2"
"血 管・質病変","尿細管機能異常","家族性低リン血症性くる病","3"
"血 管・質病変","尿細管機能異常","Gitelman症候群","2"
"血 管・質病変","尿細管機能異常","Liddle症候群","1"
"血 管・質病変","尿細管機能異常","特発性尿細管性タンパク尿<Dent病>","1"
"血 管・ 尿細 管・間質病変","尿細管機能異常","家族性低尿酸血症","5"
"腎機能の障害による異常","長期透析患者の合併症","透析アミロイドーシス","1"
"腎・尿路・生殖器の炎症","腎・尿路の炎症","慢性腎盂腎炎","2"
"腎・尿路・生殖器の炎症","腎・尿路の炎症","腎乳頭壊死","1"
"腎・尿路・男性生殖器の腫瘍","下部尿路腫瘍","尿膜管癌","2"
"腎・尿路・男性生殖器の腫瘍","男性生殖器腫瘍","非セミノーマ","1"
"女性生殖器の類腫瘍・腫瘍","外陰の腫瘍","Bowen病","1"
"女性生殖器の類腫瘍・腫瘍","子宮体部の類腫瘍・腫瘍","子宮内膜ポリープ","1"
"女性生殖器の類腫瘍・腫瘍","子宮体部の類腫瘍・腫瘍","子宮内膜異型増殖症","2"
"女性生殖器の類腫瘍・腫瘍","子宮体部の類腫瘍・腫瘍","子宮肉腫","1"
"女性生殖器の類腫瘍・腫瘍","卵巣腫瘍","二次性<転移性>腫瘍","1"
"そ の他 の尿 路・生殖器異常","腎・尿路の形態異常","海綿腎","3"
"そ の他 の尿 路・生殖器異常","腎・尿路の形態異常","異所性尿管開口","2"
"そ の他 の尿 路・生殖器異常","腎・尿路の形態異常","尿管瘤","2"
"そ の他殖器異常","女性生殖器の形態異常","子宮の位置異常","1"
"そ の他殖器異常","尿路・生殖器の損傷","精巣損傷","1"
"そ の他殖器異常","尿路・生殖器の損傷","膀胱腟瘻","1"
"そ の他殖器異常","尿路・生殖器の損傷","直腸腟瘻、膀胱腸瘻","1"
"そ の他殖器異常","尿路・生殖器の損傷","月経瘻","1"
"脳腫瘍","頭蓋骨腫瘍","頭蓋骨転移","1"
"神経・運動器の感染性・炎症性疾患","静脈洞感染症","静脈洞感染症","1"
"神経変性・代謝性・脱髄疾患、中毒","Parkinson病と類縁疾患","小舞踏病","1"
"神経変性・代謝性・脱髄疾患、中毒","脊髄小脳変性 症、多系統萎縮症、痙性対麻痺","Machado-Joseph病","2"
"脊椎・脊髄疾患、骨・関節系統疾患","脊椎・脊髄疾患","Klippel-Feil症候群","1"
"脊椎・脊髄疾患、骨・関節系統疾患","骨系統疾患","大理石骨病","1"
"脊椎・脊髄疾患、骨・関節系統疾患","骨系統疾患","先天性多発性関節拘縮症","1"
"上下肢運動器疾患、非感染疾患(他)","手の疾患","多指症、合指症","1"
"上下肢運動器疾患、非感染疾患(他)","関節症","血友病性関節症","2"
"骨・軟部腫瘍と類似疾患","原発性悪性骨腫瘍","骨悪性線維性組織球腫","1"
"骨・軟部腫瘍と類似疾患","原発性悪性骨腫瘍","脊索腫","1"
"骨・軟部腫瘍と類似疾患","良性軟部腫瘍","グロムス腫瘍","1"
"骨・軟部腫瘍と類似疾患","悪性軟部腫瘍","悪性線維性組織球腫","1"
"骨・軟部腫瘍と類似疾患","悪性軟部腫瘍","滑膜肉腫","1"
"骨・軟部腫瘍と類似疾患","悪性軟部腫瘍","悪性末梢神経鞘腫","1"
"神経・運動器の外傷(他)","スポーツ外傷","肉離れ","1"
"神経・運動器の外傷(他)","先天奇形","頭蓋骨早期癒合症","1"
"神経・運動器の外傷(他)","先天奇形","二分頭蓋、脳瘤","1"
"その他の重要な小児領域の疾患","けいれん性疾患、てんかん","中心・側頭部に棘波をもつ良性小児てんかん","1"
"間脳・下垂体疾患","視床下部機能障害","中枢性性早熟症","1"
"間脳・下垂体疾患","視床下部機能障害","中枢性摂食異常症","1"
"副腎皮質・髄質疾患","副腎皮質機能障害","副腎偶発腫","1"
"その他の内分泌疾患","内分泌腫瘍","異所性ホルモン産生腫瘍","1"
"その他の内分泌疾患","その他の機能障害","ホルモン受容体異常症","1"
"タンパク・アミノ酸代謝異常","血清タンパクの異常","低タンパク血症","1"
"その他の代謝異常","金属代謝の異常","Menkes病","4"
"その他の代謝異常","エラスチン代謝の異常","弾性線維性偽性黄色腫","2"
"その他の重要な小児領域の疾患","先天代謝異常","尿素サイクル異常症","1"
"その他の重要な小児領域の疾患","先天代謝異常","有機酸代謝異常症","1"
"膠原病と類縁疾患","血管炎を主とする類縁疾患","皮膚白血球破砕性血管炎","1"
"膠原病と類縁疾患","血管炎を主とする類縁疾患","クリオグロブリン血症性血管炎","1"
"膠原病と類縁疾患","関節炎を主体とする類縁疾患","Felty症候群","1"
"原発性免疫不全症","抗体産生不全を主とする免疫不全症","分類不能型免疫不全症","3"
"原発性免疫不全症","抗体産生不全を主とする免疫不全症","高IgM症候群","1"
"原発性免疫不全症","免疫調節不全症","Chédiak-Higashi症候群","1"
"原発性免疫不全症","補体欠損症","補体欠損症","1"
"クラミジア、マイコプラズマ、リケッチア","クラミジア・マイコプラズマ・リケッチアによる感染症","オウム病","1"
"物理的原因・生活環境因子による障害","低温・高温環境による疾患","偶発性低体温{症}","1"
"物理的原因・生活環境因子による障害","事故による障害","家庭内事故","2"
"物理的原因・生活環境因子による障害","事故による障害","自然災害","2"
