"臓器","分類","項目名","blank","H28対応項目","削除項目","追加項目","メモ"
"造血系","構造と機能","骨髄の構造","","D-01-01-na-01","","",""
"造血系","構造と機能","造血幹細胞から各血球への分化と成熟の過程","","D-01-01-na-02","","",""
"造血系","構造と機能","主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>、トロンボポエチン）","","D-01-01-na-03","","",""
"造血系","構造と機能","脾臓、胸腺、リンパ節、扁桃とPeyer 板の構造と機能","","D-01-01-na-04","","",""
"造血系","構造と機能","血漿タンパク質の種類と機能","","D-01-01-na-05","","",""
"造血系","構造と機能","赤血球とヘモグロビンの構造と機能","","D-01-01-na-06","","",""
"造血系","構造と機能","白血球の種類と機能","","D-01-01-na-07","","",""
"造血系","構造と機能","血小板の機能と止血や凝固・線溶の機序","","D-01-01-na-08","","",""
"造血系","症状・症候","発熱","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","全身倦怠感","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","黄疸","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","貧血","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","出血傾向","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","リンパ節腫脹","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","症状・症候","腹部膨隆・腫瘤　","","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,  "," D-01-03-na-04, D-01-03-na-05, D-01-03-na-07 ","",""
"造血系","-","貧血、出血傾向、血栓傾向","","D-01-03-na-04, D-01-03-na-05,","","血栓傾向",""
"造血系","検査方法","末梢血血球検査、末梢血塗抹標本検査","","D-01-02-na-01","末梢血の血球数の基準値とその変化の意義","末梢血血球検査、末梢血塗抹標本検査","シンプルな表現に"
"造血系","検査方法","凝固・線溶・血小板機能検査","","なし","","","新規"
"造血系","検査方法","骨髄検査（骨髄穿刺、骨髄生検）","","D-01-02-na-02","","",""
"造血系","検査方法","輸血関連検査","","なし","","","新規"
"造血系","検査方法","血漿タンパク分画、免疫電気泳動","","D-01-02-na-02","","","＊血漿か血清か議論をお願いします。"
"造血系","検査方法","遺伝子・染色体検査","","なし","","","新規"
"造血系","検査方法","その他（赤沈、貧血・溶血に関する検査）","","なし","","","新規"
"造血系","特異的治療法","輸血","","なし","","","新規"
"造血系","特異的治療法","造血幹細胞移植","","なし","","","新規"
"造血系","疾患・病態","（１）貧血：　
貧血を分類し、鑑別に有用な検査を列挙
鉄欠乏性貧血、二次性貧血（慢性疾患に伴う貧血）
造血不全症（発作性夜間ヘモグロビン尿症、再生不良性貧血、赤芽球癆、骨髄異形成症候群）
溶血性貧血、出血性貧血、腎性貧血
巨赤芽球性貧血
遺伝性貧血（サラセミア、遺伝性球状赤血球症、鎌状赤血球症）","","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","D-01-04-01-01","
D-01-04-01-03は造血不全症（発作性夜間ヘモグロビン尿症、再生不良性貧血、赤芽球癆、骨髄異形成症候群）とする。
D-01-04-01-06：遺伝性貧血（サラセミア、遺伝性球状赤血球症、鎌状赤血球症）","疾患名は医師国家試験出題基準に準拠。
"
"造血系","疾患・病態","（２）出血傾向・紫斑：
出血傾向の病因、病態、症候と診断二次性血小板減少症（脾機能亢進症、薬剤性）
免疫性特発性血小板減少性紫斑病<ITP>
血友病、後天性血友病
播種性血管内凝固<DIC>
溶血性尿毒症症候群<HUS>
IgA 血管炎(Schönlein-Henoch 紫斑病)
血栓性血小板減少性紫斑病<TTP>、
遺伝性出血性末梢血管拡張症〈Osler病）
ビタミンK欠乏症","","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","D-01-04-02-01","新D-01-04-02-01はD-01-04-02-02のITPと順番を入れ替えてもよいです。","紫斑そのものはD3皮膚系へ
IgA血管炎はE4免疫・アレルギーに
疾患名は医師国家試験出題基準に準拠

Osler病やビタミンK欠乏症は他のカテゴリーに含めてもよいかもです。"
"造血系","疾患・病態","（３）血栓傾向：
プロテインC・プロテインS・アンチトロンビン欠乏症
抗リン脂質抗体症候群
TTP、HUS、DIC","","なし","","D-01-04-03","脾腫の代わりに新設されてはいかがでしょうか。出血傾向と重複するTTP、HUS、DICをどうするか。"
"造血系","疾患・病態","脾臓疾患：脾腫をきたす疾患を列挙し、鑑別の要点を説明できる。","","D-01-04-03","D-01-04-03","","削除で"
"造血系","疾患・病態","（４）腫瘍性疾患：
急性骨髄性白血病、急性リンパ性白血病、・骨髄増殖性疾患（慢性骨髄性白血病、真性赤血球増加症、本態性血小板血症、原発性骨髄線維症）、MDS（貧血へ）慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫、濾胞性リンパ腫、びまん性大細胞型B細胞リンパ腫、Burkittリンパ腫、MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉、","","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-01は骨髄性、リンパ性で-01と-02とに分割
D-01-04-04-03と-07は骨髄増殖性疾患で統合
D-01-04-04-04　MDSは貧血へ。その代わり慢性リンパ性白血病、リンパ増殖性疾患を追加
D-01-04-04-08 悪性リンパ腫は学生時代に覚えておくべきものをリストアップ
D-01-04-04-09 に2疾患追加"
"造血系","疾患・病態","（５）その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病","","なし","","新設されては？","医師国家試験出題基準からチョイスしました。"
"神経系","構造と機能","中枢神経系と末梢神経系の構成","","D-02-01-01-01","","",""
"神経系","構造と機能","脳の血管支配と血液脳関門","","D-02-01-01-02","","",""
"神経系","構造と機能","脳のエネルギー代謝の特徴","","D-02-01-01-03","","",""
"神経系","構造と機能","主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用","","D-02-01-01-04","","",""
"神経系","構造と機能","髄膜・脳室系の構造と脳脊髄液の産生と循環","","D-02-01-01-05","","",""
"神経系","構造と機能","脊髄の構造、機能局在と伝導路","","D-02-01-02-01","","",""
"神経系","構造と機能","脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配","","D-02-01-02-02","","",""
"神経系","構造と機能","脊髄神経と神経叢（頸、腕、腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）","","D-02-01-02-03","","",""
"神経系","構造と機能","脳幹の構造と機能、および伝導路","","D-02-01-03-01, D-02-01-03-03","","","D-02-01-03-01と統合"
"神経系","構造と機能","脳神経の名称、核の局在、走行・分布と機能","","D-02-01-03-02","","",""
"神経系","構造と機能","脳幹の機能","","D-02-01-03-03","","",""
"神経系","構造と機能","大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）","","D-02-01-04-01,D-02-01-04-02","","",""
"神経系","構造と機能","大脳皮質の機能局在（運動野・感覚野・言語野）","","D-02-01-04-02","","","D-02-01-04-01と統合"
