"H28ID","理由・コメント","H28表記(計算列)","医学教育課修正案(20220419)","医学教育課からのコメント(20220419)","タブ名","#VALUE!","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","H28表記","第1層"
"F-03-05-08-01","技能へ","主訴からの診断推論を組み立てられる、又はたどることができる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-01-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-03-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-04-03","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-01-05-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-01-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-02-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-03-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-04-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-05-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-06-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-07-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-08-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-09-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-10-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-11-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-12-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-14-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
"G-04-02-15-01","技能へ","主訴からの診断推論を組み立てる、又はたどる。","","","総合","","","","","","","","","","","","","","総合的に患者・生活者をみる姿勢"
