"主要症候","検討すべき鑑別疾患","UID","H28対応項目","H28表記","医学教育課修正案(20220419)","医学教育課からのコメント(20220419)","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","チームからの修正提案(20220317)","チームからのコメント(20220317)","錦織","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"発熱","髄膜炎,上気道炎,扁桃炎,肺炎,結核,急性副鼻腔炎,尿路感染症,胆嚢炎,胆管炎,薬剤性,インフルエンザ,蜂巣炎,感染性心内膜炎","JlAK6lk","F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08","発熱の原因と病態生理を説明できる。,発熱をきたす疾患(群)を列挙し、診断の要点を説明できる。,発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：肺炎,感染症：結核,感染症：尿路感染症,腫瘍：悪性リンパ腫,腫瘍：腎細胞癌,自己免疫：全身性エリテマトーデス<SLE>,自己免疫：炎症性腸疾患,環境：熱中症","","","","","","最終的に「,」を「、」にご修正ください。","","","","","","","","","","","","","",""
"全身倦怠感","結核,肝炎,心不全,うつ病,甲状腺機能低下症,鉄欠乏性貧血","JlAK6lo","F-01-02-na-01,F-01-02-na-02,F-01-02-na-03,G-02-02-na-01,G-02-02-na-02,G-02-02-na-03,G-02-02-na-04,G-02-02-na-05,G-02-02-na-06,G-02-02-na-07,G-02-02-na-08,G-02-02-na-09,G-02-02-na-10","全身倦怠感の原因と病態生理を説明できる。,全身倦怠感をきたす疾患(群)を列挙し、診断の要点を説明できる。,全身倦怠感がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症・炎症性：結核,感染症・炎症性：肝炎,精神：うつ病,精神：双極性障害,中毒性：アルコール依存症,中毒性：薬物依存症,内分泌・代謝：甲状腺機能亢進症,内分泌・代謝：甲状腺機能低下症,内分泌・代謝：更年期障害,腫瘍：悪性腫瘍全般","","","","","","","","","","","","","","","","","","","",""
"食思(欲)不振","消化性潰瘍,急性肝炎,うつ病,急性副腎不全","JlAK6ls","F-01-03-na-01,F-01-03-na-02,F-01-03-na-03,G-02-03-na-01,G-02-03-na-02,G-02-03-na-03,G-02-03-na-04,G-02-03-na-05","食思(欲)不振の原因と病態生理を説明できる。,食思(欲)不振をきたす疾患(群)を列挙し、診断の要点を説明できる。,食思(欲)不振がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腫瘍：悪性腫瘍全般,消化器：機能性ディスペプシア<FD>,呼吸器：慢性閉塞性肺疾患<COPD>,循環器：心不全,精神：うつ病","","","","","","","","","","","","","","","","","","","",""
"体重減少","心不全,ネフローゼ症候群,甲状腺機能低下症","JlAK6lw","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","体重減少・体重増加の原因と病態生理を説明できる。,体重減少・体重増加をきたす疾患(群)を列挙し、診断の要点を説明できる。,体重減少・体重増加がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（体重増加）急性：心不全,（体重増加）急性：ネフローゼ症候群,（体重増加）慢性：甲状腺機能低下症,（体重減少）腫瘍：悪性腫瘍全般,（体重減少）内分泌：糖尿病,（体重減少）内分泌：甲状腺機能亢進症,（体重減少）精神：うつ病,（体重減少）感染症：結核,（体重減少）自己免疫：炎症性腸疾患,（体重減少）消化器：慢性膵炎,（体重減少）中毒：アルコール依存症","","","","","","","","","","","","","","","","","","","",""
"体重増加","悪性腫瘍全般,糖尿病,甲状腺機能亢進症,うつ病,慢性閉塞性肺疾患＜COPD＞,神経性食思<欲＞不振症＜拒食症＞","JlAK6l0","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","体重減少・体重増加の原因と病態生理を説明できる。,体重減少・体重増加をきたす疾患(群)を列挙し、診断の要点を説明できる。,体重減少・体重増加がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（体重増加）急性：心不全,（体重増加）急性：ネフローゼ症候群,（体重増加）慢性：甲状腺機能低下症,（体重減少）腫瘍：悪性腫瘍全般,（体重減少）内分泌：糖尿病,（体重減少）内分泌：甲状腺機能亢進症,（体重減少）精神：うつ病,（体重減少）感染症：結核,（体重減少）自己免疫：炎症性腸疾患,（体重減少）消化器：慢性膵炎,（体重減少）中毒：アルコール依存症","","","","","","","","","","","","","","","","","","","",""
"意識障害","くも膜下出血,頭蓋内血腫,脳炎,脳出血,脳梗塞,髄膜炎,薬物中毒,アルコール性中毒,てんかん,心筋梗塞,急性大動脈解離,急性消化管出血,敗血症,低血糖,ショック,CO2ナルコーシス,ナトリウム代謝異常","JlAK6l4","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全","","","","","","","","","","","","","","","","","","","",""
"失神","不整脈,弁膜症（大動脈弁膜症）,てんかん,肺塞栓症","JlAK6l8","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全","","","","","","","","","","","","","","","","","","","",""
"けいれん","脳梗塞,脳出血,脳炎,脳症,熱性けいれん,てんかん","JlAK6mA","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","けいれんの原因と病態生理を説明できる。,けいれんをきたす疾患(群)を列挙し、診断の要点を説明できる。,けいれんがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳血管障害：脳梗塞,中毒：薬物依存症,中毒：アルコール依存症,感染症：脳炎,感染症：脳症,感染症：熱性けいれん","","","","","","","","","","","","","","","","","","","",""
"めまい","良性発作性頭位めまい症,脳出血,脳梗塞,Meniere病,前庭神経炎","JlAK6mE","F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07","めまいの原因と病態生理を説明できる。,めまいをきたす疾患(群)を列挙し、診断の要点を説明できる。,めまいがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,末梢性：良性発作性頭位めまい症,中枢性：脳出血,中枢性：脳梗塞,失神性：不整脈,失神性：肺塞栓症,失神性：弁膜症,心因性：パニック障害","","","","","","","","","","","","","","","","","","","",""
"浮腫","深部静脈血栓症,心不全,ネフローゼ症候群,慢性腎臓病,肝硬変,甲状腺機能低下症,薬剤性,リンパ浮腫,血管性浮腫","JlAK6mI","F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06","浮腫の原因と病態生理を説明できる。,浮腫をきたす疾患(群)を列挙し、診断の要点を説明できる。,浮腫がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,局所性：深部静脈血栓症,全身性：心不全,全身性：ネフローゼ症候群,全身性：慢性腎臓病,全身性：肝硬変,全身性：甲状腺機能低下症","","","","","","","","","","","","","","","","","","","",""
