"診療科","UID","H28対応項目","H28表記","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","チームからの修正提案(20220317)","チームからのコメント(20220317)","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"総合診療科","JlAK3Gs","G-04-01-06-01,G-04-01-06-02,G-04-01-06-03,G-04-01-06-04,G-04-01-06-05,G-04-01-06-06","","","","","","","","","","","","","","","","","",""
"救急科","JlAK3Gw","G-04-01-07-01,G-04-01-07-02,G-04-01-07-03,G-04-01-07-04,G-04-01-07-05,G-04-01-07-06","","","","","","","","","","","","","","","","","",""
"内科","JlAK3G0","G-04-01-01-01,G-04-01-01-02,G-04-01-01-03,G-04-01-01-06","","","","","","","","","","","","","","","","","",""
"外科","JlAK3G4","G-04-01-02-06","","","","","","","","","","","","","","","","","",""
"小児科","JlAK3G8","G-04-01-03-01,G-04-01-03-02,G-04-01-03-03,G-04-01-03-07,F-03-05-08-01,F-03-05-08-02,F-03-05-08-03,F-03-05-08-06,F-03-05-08-07","","","","","","","","","","","","","","","","","",""
"産婦人科","JlAK3HA","G-04-01-04-03,G-04-01-04-04,G-04-01-04-07","","","","","","","","","","","","","","","","","",""
"精神科","JlAK3HE","G-04-01-05-01,G-04-01-05-02,G-04-01-05-05","","","","","","","","","","","","","","","","","",""
"皮膚科","JlAK3HI","G-04-02-01-01,G-04-02-01-02,G-04-02-01-03,G-04-02-01-04,G-04-02-01-05","","","","","","","","","","","","","","","","","",""
"整形外科","JlAK3HM","G-04-02-02-01,G-04-02-02-02,G-04-02-02-03,G-04-02-02-04,G-04-02-02-05","","","","","","","","","","","","","","","","","",""
"眼科","JlAK3HQ","G-04-02-03-01,G-04-02-03-02,G-04-02-03-03,G-04-02-03-04,G-04-02-03-05","","","","","","","","","","","","","","","","","",""
"耳鼻咽喉科","JlAK3HU","G-04-02-04-01,G-04-02-04-02,G-04-02-04-03,G-04-02-04-04,G-04-02-04-05","","","","","","","","","","","","","","","","","",""
"泌尿器科","JlAK3HY","G-04-02-05-01,G-04-02-05-02,G-04-02-05-03,G-04-02-05-04,G-04-02-05-05","","","","","","","","","","","","","","","","","",""
"脳神経外科","JlAK3Hc","G-04-02-06-01,G-04-02-06-02,G-04-02-06-03,G-04-02-06-04,G-04-02-06-05","","","","","","","","","","","","","","","","","",""
"放射線科","JlAK3Hg","G-04-02-07-01,G-04-02-07-02,G-04-02-07-03,G-04-02-07-04,G-04-02-07-05","","","","","","","","","","","","","","","","","",""
"麻酔科","JlAK3Hk","G-04-02-08-01,G-04-02-08-02,G-04-02-08-03,G-04-02-08-04,G-04-02-08-05","","","","","","","","","","","","","","","","","",""
"病理診断科","JlAK3Ho","G-04-02-09-01,G-04-02-09-02,G-04-02-09-03,G-04-02-09-04,G-04-02-09-05","","","","","","","","","","","","","","","","","",""
"臨床検査科","JlAK3Hs","G-04-02-10-01,G-04-02-10-02,G-04-02-10-03,G-04-02-10-04,G-04-02-10-05","","","","","","","","","","","","","","","","","",""
"形成外科","JlAK3Hw","G-04-02-11-01,G-04-02-11-02,G-04-02-11-03,G-04-02-11-04,G-04-02-11-05","","","","","","","","","","","","","","","","","",""
"リハビリテーション科","JlAK3H0","G-04-02-13-01,G-04-02-13-02,G-04-02-13-03,G-04-02-13-04","","","","","","","","","","","","","","","","","",""
"歯科口腔外科","JlAK3H4","G-04-02-14-01,G-04-02-14-02,G-04-02-14-03,G-04-02-14-04,G-04-02-14-05","","","","","","","","","","","","","","","","","",""
