第1層,url
プロフェッショナリズム,https://docs.google.com/spreadsheets/d/1G_qn5nTzodFUgjBEX_cUk0Zc4p8651Vk_xNvSKkWpnk/edit?usp=sharing
総合的に患者・生活者をみる姿勢,https://docs.google.com/spreadsheets/d/1tPDlYfrgMAUHlKsnLIT5g5RWU7v9pMyzIuo5LT_YBsQ/edit?usp=sharing
生涯にわたって共に学ぶ姿勢,https://docs.google.com/spreadsheets/d/1NzcRfIw27UloVrQOTSPiw-3bBUB0SX6nEkSCKiptvvQ/edit?usp=sharing
科学的探究,https://docs.google.com/spreadsheets/d/1tH33W-Dxnx5Yc4t2XndyajDSrcd54a4M078dp2F7RiA/edit?usp=sharing
専門知識に基づいた問題解決能力,https://docs.google.com/spreadsheets/d/1n_46Pb82rcpXjBEQ5AZWl9Vl-P5_dpLFrx6TjpBFELg/edit?usp=sharing
情報・科学技術を活かす能力,https://docs.google.com/spreadsheets/d/1RfNz0s56h8sP9nzo55GHyV2TqjuYoSrcXN3b9et-0nY/edit?usp=sharing
患者ケアのための診療技能,https://docs.google.com/spreadsheets/d/1Ave3LCG7aEufHaYpoILk1S5AQeL8rTOIZTqooy0do1Y/edit?usp=sharing
コミュニケーション能力,https://docs.google.com/spreadsheets/d/15zd9dVBdp-AVFVkGLb9WAJ7tfQQe9II4ePLlQNrZSoY/edit?usp=sharing
多職種連携能力,https://docs.google.com/spreadsheets/d/1c-N6L_XlJufomfka184wlFbKhIiGUHGIhTajgTuVJO4/edit?usp=sharing
社会における医療の役割の理解,https://docs.google.com/spreadsheets/d/1tZx9LLvrqkCmvjCxjgBgc-PvaACd7uwpaLev0xMUNQs/edit?usp=sharing
