"タブ名","第1層イニシャル","第1層","第1層説明","編集用シート","第2層","第2層説明","第2層メモ","第3層","第4層","メモ","UID","H28対応項目"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","患者や社会に対して誠実であるとはどういうことか考え適切に行動することができる。","","JkxiJUs","A-01-03-na-01"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","社会から信頼される専門職集団の一員であるためにはどうすれば良いか考え適切に行動することができる。","","JkxiJUw","A-01-03-na-01"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","削除：どのように行動すれば守秘義務を遵守できるか？","「情報」にあれば「情報」で取り扱っていただく・なければプロフェッショナリズムで・下記「患者安全」の「患者の安全を守るとはどういうことか？」に含有されるため、「患者安全」で扱う。ただし、「患者安全」については「技能」で扱う、という案もある。","JkxiJU0","A-04-02-na-07"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","省察","自分自身の限界を適切に認識し行動できる。","","JkxiJU4","A-01-03-na-04"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","省察","他者からのフィードバックを適切に受け入れることができる。","","JkxiJU8",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","説明責任","わかりやすく正確な説明とはどのようなものか理解できる。","","JkxiJVA","A-01-02-na-03"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","自律性の尊重","患者の意思決定支援の方法を理解している。","","JkxiJVE","A-01-02-na-02，A-01-02-na-03"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやり","患者を含めた他者に思いやりをもって接することができる。","","JkxiJVI","A-01-02-na-01"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやり","利他を優先できない状況について考えを述べることができる。","","JkxiJVM",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやり","削除：自分自身の精神的・身体的健康をどのように管理すればよいか？以下について考え続けそして適切に行動できる：","","JkxiJVQ",""
