第1層,第2層,第3層,第4層,H28ID
プロフェッショナリズム,信頼,省察,他者からのフィードバックを適切に受け入れることができる。,
プロフェッショナリズム,思いやり,思いやり,利他を優先できない状況について考えを述べることができる。,
プロフェッショナリズム,思いやり,思いやり,削除：自分自身の精神的・身体的健康をどのように管理すればよいか？以下について考え続けそして適切に行動できる：,
プロフェッショナリズム,思いやり,品格・礼儀,医師に求められる品格について考え適切に行動できる。,
プロフェッショナリズム,思いやり,品格・礼儀,礼儀正しさについて考え適切に行動できる。,
プロフェッショナリズム,社会正義,医療資源の公平な分配,医療資源を公平に分配するとはどういうことか考えを述べることができる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,臓器横断的に医学的課題を捉えることができる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,適切な医療機関や診療科につなぐ重要性について概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,診断がつかない健康問題やその介入方法を概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,多疾患併存や複数臓器にまたがる疾患やその介入方法を概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,生物・心理・社会的な問題への包括的な視点,性別、国籍、障害、宗教など多様な背景を持つ患者の価値観を尊重できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,生物・心理・社会的な問題への包括的な視点,削除:トラウマインフォームドケアの対応について概説できる。：コンテクストを確認（春田先生）,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,患者中心の医療,医療の継続性（時間・情報・関係など）がもたらす影響について概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,根拠に基づいた医療<EBM>,得られたエビデンスを臨床実習で関わっている患者に適用できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,行動科学,健康に関する行動経済学の知識を活用できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,行動科学,削除：人々の行動予測を踏まえ、医療行動経済学の視点から望ましい選択肢を選びやすくなるような仕組みを提案できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,患者の所属する地域や文化的な背景が健康に関連することを説明できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,削除：患者の診療において、患者の所属する地域、背景集団に対するケアの視点を取り入れた診療を行うことができる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,地域の量的指標（人口構成など）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,削除：患者の居住する地域で頻度が高い疾病(コモンディジーズ)についてプライマリ・ケアの対応を説明できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,地域全体の医療に影響を与える問題（災害や新興感染症など）が起きた際の地域で必要とされる医師の役割について概説できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,地域の人的・物的資源に応じた医療・サービスを提案できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,離島・へき地や医師不足地域等の医療資源が限られた状況で有効な医療提供方法（Point-of-Care 検査等）について考えることができる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,削除：離島・へき地や医師不足地域等の医療資源が限られた状況での医療に積極的に貢献することができる。,
総合的に患者・生活者をみる姿勢,人生の視点とアプローチ,壮年期・老年期,日常生活動作<ADL>（排泄、摂食、入浴等）に応じた介護と環境整備の要点を概説できる。,
総合的に患者・生活者をみる姿勢,社会の視点とアプローチ,医学的・文化的・社会的文脈における健康,患者が受療に至るまでにどのような過程があるかを生活者の視点から説明できる。,
生涯にわたって共に学ぶ姿勢,医療の質と患者安全,医療の質,削除：品質改善の手法を用いて医療を改善する重要性を理解し、繰り返し評価する姿勢を身に着ける。,
生涯にわたって共に学ぶ姿勢,医療の質と患者安全,医療の質向上,品質改善の手法を用いて医療を改善する重要性を理解し、繰り返し評価する姿勢を身に着ける。,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の実践,後輩や同僚とともに協働学習を実践できる。,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の実践,削除：教育設計の手法を理解した上で、後輩や同僚への教育を実践できる,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の実践,後輩や同僚に対して、適切にフィードバックできる。,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の実践,成人学習理論を基盤に、後輩や同僚の教育を実践できる。,
科学的探究,リサーチマインド,能動的姿勢 ,常識を疑い、何事にも知的好奇心を持って取り組む,
科学的探究,リサーチマインド,能動的姿勢,削除：何事にも知的好奇心を持って取り組む,
科学的探究,リサーチマインド,探究心,削除：最先端の研究に刺激を受ける,
科学的探究,既知の知,医学と医療,医療は基礎医学・臨床医学・社会医学の研究に基づくことを理解する。,
科学的探究,既知の知,医学と医療,削除：基礎医学・臨床医学・社会医学のそれぞれの特徴を理解できる,
科学的探究,既知の知,論文読解,医学論文（英語）を読んで構成を理解する。,
科学的探究,既知の知,論文読解,削除：英語の論文を読むことに抵抗がなくなる,
科学的探究,研究の実施,研究結果,研究データを適切に記録・管理することができる,
科学的探究,研究の発信,研究発表,削除：発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる,
専門知識に基づいた問題解決能力,基礎医学,生命現象の科学,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,酵素の機能と調節を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,複合糖質、複合脂質について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,生体各部の細菌叢（マイクロバイオーム）の構成菌、細菌叢の機能について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,微生物の特性に応じた治療薬の作用機序について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,微生物感染症に対するワクチンの原理、種類とそれに対する問題点を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,人獣共通感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,昆虫媒介性感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,補体および自然免疫細胞が病原体により活性化し、炎症をおこす仕組みを説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,"B細胞の活性化による抗体産生の機構、および抗体の役割を説明できる。
",
専門知識に基づいた問題解決能力,基礎医学,個体の反応,"自然免疫系を構成する主な細胞とそれらの活性化機構（TLR受容体など）を説明できる。
",
専門知識に基づいた問題解決能力,基礎医学,個体の反応,抗原提示細胞の種類と役割、抗原提示機構について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,薬物の有害作用、薬物間相互作用を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,分子標的薬、バイオ医薬を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,薬物開発のプロセスと、臨床試験における薬物の評価をを説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,癌の免疫系による排除機構を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,削除：癌のゲノム診断を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能に関する疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,眼・視覚系,眼・視覚系疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,精神系,精神系の構造と機能について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,敗血症（sepsis）と血流感染の相違を理解し、病態を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,発熱患者への基本検査（血液培養2セット、尿検査・尿培養、胸部X線）を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬投与の原則（抗菌薬投与前に培養検体を提出する、微生物と臓器による標準薬を選択し投与期間を設定する）を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬の初期治療（エンピリック治療）について説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬の最適治療（標的治療）について説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,咽頭痛,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,我が国及び世界における各腫瘍の頻度などについて説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,腫瘍性疾患発症の遺伝的素因・基礎疾患・感染症・環境生活習慣などのリスク因子や、腫瘍の予防・健診について説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,発熱・食欲低下・体重減少・貧血・リンパ節腫脹・サルコペニアを含むがん患者の症候について説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,オンコロジック・エマージェンシー（脊髄圧迫、腫瘍崩壊、上大静脈症候群、代謝障害、治療の有害事象など）の起こりやすいがん、病態生理、症候と対応を説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,削除：診療ガイドライン・集学的治療を説明できる,
