"","タブ名","第1層イニシャル","第1層","第1層説明","第2層","第2層説明","第2層メモ","第3層","第4層","メモ","temp_id"
0,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","どのように行動すれば患者や社会に対して誠実に振る舞えるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0000プロ"
1,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","社会から信頼される専門職集団であるためにはどのように行動すればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0001プロ"
2,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","誠実さ","どのように行動すれば守秘義務を遵守できるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0002プロ"
3,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","省察","どのようにすれば自分自身の限界を適切に認識できるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0003プロ"
4,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","省察","他者からのフィードバックを受け入れられるにはどのような心持ちでいればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0004プロ"
5,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","説明責任","わかりやすく正確な説明を行うにはどのようにすればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0005プロ"
6,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","信頼","誠実に振る舞い、自ら省察し、患者の自律性を尊重するとともに、説明責任を果たす","","自律性","患者が適切に意思決定できるようするためにはどのように支援すればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0006プロ"
7,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやりと利他","患者を含めた他者に思いやりをもって接するにはどのように行動すればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0007プロ"
8,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやりと利他","利己と利他をどのように両立させるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0008プロ"
9,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","思いやりと利他","自分自身の精神的・身体的健康をどのように管理すればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0009プロ"
10,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","他者理解と自己理解","他者を理解するためにはどのようなことを知る必要があるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0010プロ"
11,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","他者理解と自己理解","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0011プロ"
12,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","品格・礼儀","礼儀正しく振る舞うにはどのように行動すればよいか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0012プロ"
13,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","品格・礼儀","医師に求められる品格とは何か？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0013プロ"
14,"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","社会正義","社会的公正を実現する","","医療資源の公平な分配","医療資源を公平に分配するにはどのように行動すればよいか？（保留）","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","0014プロ"
15,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","臓器横断的に医学的課題を捉えることができる。","","0015総合"
16,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","適切な医療機関や診療科につなぐ重要性について概説できる。","","0016総合"
17,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","主訴に応じて適切な鑑別疾患を挙げることができる。","","0017総合"
18,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","臨床推論の基本的なフレームワークを概説できる。","","0018総合"
19,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","主訴に応じて必要な問診・身体診察をすることができる。","","0019総合"
20,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","未分化で多様かつ複雑な健康問題を概説できる。","","0020総合"
21,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","多疾患併存や複数臓器にまたがる疾患のパターンや介入方法を概説できる。","","0021総合"
22,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。",""," 臓器横断的な診療","ポリファーマシーのパターンや介入方法を概説できる。","","0022総合"
23,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","生物・心理・社会的な問題への包括的な視点","身体・心理・社会の問題を統合したアプローチについて概説できる。","","0023総合"
24,"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","生物・心理・社会的な問題への包括的な視点","個人・家族の双方への影響を踏まえたアプローチについて概説できる。","","0024総合"
