H28ID,削除コメント,タブ名,学修項目,記述,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,第4層,山脇コメント,削除担当,行き先
B-01-01-na-02,衛生学公衆衛生学教育協議会との意見交換で優先順位は高くないと合意（正規分布のみ残す）,社会,主要な確率分布を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-01-02-na-02,衛生学公衆衛生学教育協議会との意見交換で優先順位は高くないと合意（正規分布のみ残す）,社会,パラメトリック検定とノンパラメトリック検定の違いを説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,社会における医療の役割の理解/疫学・医学統計/データ解析と統計手法
B-01-03-na-01,総合へ,社会,根拠に基づいた医療<EBM>の５つのステップを列挙できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
B-01-03-na-02,総合へ,社会,"Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。",,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
B-01-03-na-04,総合へ,社会,データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
B-01-03-na-05,総合へ,社会,得られた情報の批判的吟味ができる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
B-01-03-na-05,総合へ,社会,得られた情報の批判的吟味ができる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,科学的探究/研究の発信/研究発表
B-01-03-na-06,総合へ,社会,診療ガイドラインの種類と使用上の注意を列挙できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
B-01-03-na-07,総合へ,社会,,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-01-05-na-03,総合へ,社会,身体活動、運動を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,総合的に患者・生活者をみる姿勢/社会の視点とアプローチ/医学的・文化的・社会的文脈における健康
