診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
総合診療科,"G-04-01-06-01,G-04-01-06-02,G-04-01-06-03,G-04-01-06-04,G-04-01-06-05,G-04-01-06-06",,"病歴・身体診察を重視した診断推論（診断がつかない場合を含む）を組み立てる、又はたどる。,健康問題に対する包括的アプローチ（複数の健康問題の相互作用等）を体験する。,家族や地域といった視点をもち、心理・社会的背景により配慮した診療に可能な範囲で参加する。,在宅医療を体験する。,多職種連携を体験してその重要性を認識する。,臨床現場において、保健・医療・福祉・介護に関する制度に触れる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
救急科,"G-04-01-07-01,G-04-01-07-02,G-04-01-07-03,G-04-01-07-04,G-04-01-07-05,G-04-01-07-06",,"呼吸、循環を安定化するための初期治療を学ぶ。,症候をベースとした診断推論を組み立てる、又はたどる。,チーム医療の一員として良好なコミュニケーションを実践できる。,家族や地域といった視点をもち、保健・医療・福祉・介護との連携を学ぶ。,救急隊員との連携を通じて、病院前救護体制とメディカルコントロールについて学ぶ。,地域の災害医療体制について学ぶ。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内科,"G-04-01-01-01,G-04-01-01-02,G-04-01-01-03,G-04-01-01-06",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,内科的治療の立案・実施に可能な範囲で参加する。,どのように内科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外科,G-04-01-02-06,,どのように外科にコンサルテーションすればよいかわかる。,[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小児科,"G-04-01-03-01,G-04-01-03-02,G-04-01-03-03,G-04-01-03-07,F-03-05-08-01,F-03-05-08-02,F-03-05-08-03,F-03-05-08-06,F-03-05-08-07",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,治療の立案・実施に可能な範囲で参加する。,どのように小児科にコンサルテーションすればよいかわかる。,主訴からの診断推論を組み立てられる、又はたどることができる。,疾患の病態や疫学を理解する。,治療の立案・実施に可能な範囲で参加できる。,基本的な小児科診察ができる。,どのように小児科にコンサルテーションすればよいか説明できる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
産婦人科,"G-04-01-04-03,G-04-01-04-04,G-04-01-04-07",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,どのように産婦人科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精神科,"G-04-01-05-01,G-04-01-05-02,G-04-01-05-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,どのように精神科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皮膚科,"G-04-02-01-01,G-04-02-01-02,G-04-02-01-03,G-04-02-01-04,G-04-02-01-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整形外科,"G-04-02-02-01,G-04-02-02-02,G-04-02-02-03,G-04-02-02-04,G-04-02-02-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
眼科,"G-04-02-03-01,G-04-02-03-02,G-04-02-03-03,G-04-02-03-04,G-04-02-03-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
