第2層,第3層,第4層,H28対応項目,メモ
情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,情報・科学技術を医療に活用することの重要性と社会的意義を認識する。,,新設
情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,医療における情報・科学技術に関連する規制（法律・ガイドラインを含む）を説明できる。,,新設
情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,デジタルデバイドによる医療格差や個人情報漏洩など、情報・科学技術を医療に活用するにあたり起こりうる倫理的問題を議論できる。,,新設
情報・科学技術に向き合うための倫理観とルール,情報・科学技術利用にあたっての倫理観とルール,電子診療録(カルテ)をはじめとする医療情報の管理・保管の原則について理解し、関連する規制（法律、倫理基準、個人情報保護のための規定など）を遵守できる。,B-02-02-na-01,
情報・科学技術に向き合うための倫理観とルール,情報・科学技術利用にあたっての倫理観とルール,ソーシャルメディア（インターネット、SNSなど）などの利用における医療者として相応しい情報発信のあり方を理解できる。,,新設
医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,コンピューター、タブレット端末、モバイル端末によるインターネットやモバイルアプリの活用手法に関する知識と技能を有し、学習及び医療実践に活用できる。,,新設
医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,情報・科学技術を用いて収集した情報およびデータを適切に分析・総括し、問題解決を図る。,,新設
医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,情報・科学技術を用いた遠隔医療、医療に関連する人工知能の概念を理解し、その概念的知識を学習や医療への適応することについて情報・科学技術の専門家と議論できる。,,新設
医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,新たに開発される情報・科学技術に順応し、それらを自身の学び及び医療に活用する習慣を身につける。,,新設
診療現場における情報・科学技術の活用,情報・科学技術を活用したコミュニケーションスキル,電子カルテや診療において曖昧な表現や複数の意味を有する略語を避け、適切な表現、記述(時制など)ができる。,B-02-02-na-04?,
診療現場における情報・科学技術の活用,情報・科学技術を活用したコミュニケーションスキル,遠隔コミュニケーション（電子メール、テレビ会議システム、SNS）において、適切なコミュニケーションができる,,新設
診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,自己学習や協同学習の場に適切なICT（e-ラーニング、モバイル技術など）を活用できる,,新設
診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,既存の医療関連デジタル技術（医療情報システム、モバイルアプリ、ウェアラブルデバイス、人工知能、遠隔医療技術など）の理解を基盤とし、新たに登場する情報・科学技術について探索的に学ぶ。,,新設
