第2層,第3層,第4層仮番号,第4層,H28対応項目,メモ
医学一般,生命現象の科学,1,細胞の観察法を説明できる。,C-01-01-01-01,「細胞の観察ができる」のみでもよいか？(MY)
医学一般,生命現象の科学,2,細胞の全体像を図示できる。,C-01-01-01-02,
医学一般,生命現象の科学,3,核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、外細胞骨格の種類とその構造と機能を説明できる。,"C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06",
医学一般,生命現象の科学,4,細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。,C-01-01-01-07,
医学一般,生命現象の科学,5,原核細胞と真核細胞の特徴を説明できる。,C-01-01-01-08,
医学一般,生命現象の科学,6,Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。,C-01-01-02-01,
医学一般,生命現象の科学,7,遺伝型と表現型の関係を説明できる。,C-01-01-02-02,
医学一般,生命現象の科学,8,染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。,C-01-01-02-03,
医学一般,生命現象の科学,9,デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。,"C-01-01-02-04,C-01-01-02-05,C-03-01-01-03",
医学一般,生命現象の科学,10,染色体分析・DNA配列決定を含むゲノム解析技術を概説できる。,C-01-01-02-06,
医学一般,生命現象の科学,11,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,,新設
医学一般,生命現象の科学,1,進化の基本的な考え方を説明できる。,C-01-02-01-01,
医学一般,生命現象の科学,2,生物種とその系統関係を概説できる。,C-01-02-01-02,
医学一般,生命現象の科学,3,アミノ酸配列や塩基配列の比較による分子系統樹を概説できる。,C-01-02-01-03,
医学一般,個体の構成と機能,1,細胞内液・外液のイオン組成、浸透圧と静止(膜)電位を説明できる。,C-02-01-01-01,
医学一般,個体の構成と機能,2,膜のイオンチャネル、ポンプ、受容体と酵素の機能を概説できる。,C-02-01-01-02,
医学一般,個体の構成と機能,3,細胞膜を介する物質の能動・受動輸送過程、細胞膜を介する分泌と吸収の過程を説明できる。,"C-02-01-01-03,C-02-01-01-04",
医学一般,個体の構成と機能,4,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,"C-02-01-02-01,C-02-01-02-02",
医学一般,個体の構成と機能,5,細胞内輸送システム、微小管の役割や機能を説明できる。,"C-02-01-02-03,C-02-01-02-04",
医学一般,個体の構成と機能,1,上皮組織と腺の構造と機能を説明できる。,C-02-02-01-01,
医学一般,個体の構成と機能,2,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,C-02-02-01-02,
医学一般,個体の構成と機能,3,血管とリンパ管の微細構造と機能を説明できる。,C-02-02-01-03,
医学一般,個体の構成と機能,4,神経組織の微細構造を説明できる。,C-02-02-01-04,
医学一般,個体の構成と機能,5,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,C-02-02-01-05,
医学一般,個体の構成と機能,6,組織の再生の機序を説明できる。,C-02-02-01-06,
