第2層,第3層,第4層,メモ
,,,
,,,
"10-2：社会の構造や変化から捉える医療
 
 説明文：患者の抱える健康に関する問題の背景にある社会的な課題を適切に捉え、その解決のために積極的に行動する",10-2-1)社会格差と医療,① 社会的弱者の立場にある患者の代弁者となることができる,
,,②社会格差を解消するために社会に対して行動できる,
,10-2-2)健康と医療,① 健康寿命を延ばすために生活者への積極的な働きかけを行うことができる,
,,②バリヤフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる,
,10-2-3)ジェンダーと医療,① 女性やLGBTに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる,
,10-2-4)気候変動と医療,① 気候変動と医療との関係性を理解できる,
,,② 患者が抱える健康に関する課題と気候変動との関係を想像できる,
,,③ 地球環境が抱える諸課題を認識し、その解決のために行動できる,
,10-2-5)哲学と医療,① 現代思想・哲学の語彙を概説することができる,
,,② 自分自身なりの哲学をもって医療を実践することができる,
,10-2-6)歴史と医学・医療,①医学・医療の歴史的変遷について概説できる。,
,,②現代の医学的問題について過去の歴史を用いて相対化できる。,
,,,
,,,
,,,
,,,
,,,
社会科学の視点から捉える医療,社会科学と医療との関係,社会科学（主に医療人類学や医療社会学）の基本的な視点・方法・理論を用いることができる,
社会科学の視点から捉える医療,社会科学と医療との関係,医療に関する諸事象をシステム論の観点から社会の諸制度との関わりのなかで捉え、構造的に説明できる,
社会科学の視点から捉える医療,社会科学と医療との関係,人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係について総合的に考察できる。,
