第2層,第3層,第4層,H28対応項目,メモ
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族の価値観や関心事を、多職種(多学部)に伝えられる。,,新規
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族を中心とした治療やケアの目標を多職種(多学部)と話し合うことができる。,,新規
連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族に伝えた内容について、治療やケアに関わる多職種(多学部)と共有できる。,,新規
連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）が把握している情報を、多職種（多学部）に伝えられる。,,新規
連携の基盤となるアプローチ,職種間コミュニケーション,多職種（多学部）の役割や意見を尊重した返答または問いかけができる。（非言語コミュニケーション含む）,,新規
連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）の見解を、他職種（他学部）にも理解できる言葉で説明できる。,,新規
連携の基盤となるアプローチ,医師間の紹介と相談,適切な診断・検査・治療を目指すだけでなく、回避可能な合併症を防ぐために、適切な施設/専門科/医師への紹介あるいは相談ができる。,,新規
連携の基盤となるアプローチ,医師間の紹介と相談,紹介と相談のプロセスにおいて、患者・家族に予想しうる状況を共有できる。,,新規
連携の基盤となるアプローチ,医師間の紹介と相談,医師間での患者のケアと責任が継続できるよう、医師間での考えや期待を共有し、医師間の責任を明確にできる。,,新規
連携に必要とされるアプローチ,職種役割の貢献,自職種（自学部）がもつ一般的な知識や価値観を、他職種（他学部）に伝えられる。,,新規
連携に必要とされるアプローチ,職種役割の貢献,患者・利用者に対して、多職種（多学部）の中で自職種（自学部）の役割を果たせる。,,新規
連携に必要とされるアプローチ,職種役割の貢献,多職種（多学部）から求められる自職種（自学部）の役割を担える。,,新規
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と対等な関係を構築できる。,,新規
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と一緒に成長する志を醸成できる。,,新規
連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）との対人葛藤が起きないようにできる。,,新規
連携に必要とされるアプローチ,自職種の省察,自職種が持ちやすい価値観を説明できる。,,新規
連携に必要とされるアプローチ,自職種の省察,自職種の役割を説明できる。,A-05-01-na-04,修正：左記の学修目標では、保健、医療、福祉と介護のチーム連携における医師の役割を説明できると記載されていたが、患者やセッティングに応じて優先する職種が異なることもあるため、細かい文脈は方略に記載することを提案する。
連携に必要とされるアプローチ,自職種の省察,他職種（他学部）に影響しうる自職種（自学部）の行動を分析できる。,,新規
連携に必要とされるアプローチ,他職種の理解,他職種の役割を説明できる。,A-05-01-na-02,修正：左記の学修目標の後半には、連携・責任体制を説明できるとなっており、学生に求める目標としては高いため、削除した。他職種も医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）と保健、医療、福祉と介護のチーム連携が別に分かれていたため、ここは統合し、他職種とし方略に記載することを提案する。
連携に必要とされるアプローチ,他職種の理解,他職種（他学部）の価値観を説明できる。,,新規
連携に必要とされるアプローチ,他職種の理解,他職種（他学部）が働く職場環境・学習環境について説明できる。,,新規
