,診療科,H28対応項目,H28の記載,メモ
0,内科,"G-04-01-01-01,G-04-01-01-02,G-04-01-01-03,G-04-01-01-06","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,内科的治療の立案・実施に可能な範囲で参加する。,どのように内科にコンサルテーションすればよいかわかる。",
1,外科,G-04-01-02-06,どのように外科にコンサルテーションすればよいかわかる。,
2,小児科,"G-04-01-03-01,G-04-01-03-02,G-04-01-03-03,G-04-01-03-07,F-03-05-08-01,F-03-05-08-02,F-03-05-08-03,F-03-05-08-06,F-03-05-08-07","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,治療の立案・実施に可能な範囲で参加する。,どのように小児科にコンサルテーションすればよいかわかる。,主訴からの診断推論を組み立てられる、又はたどることができる。,疾患の病態や疫学を理解する。,治療の立案・実施に可能な範囲で参加できる。,基本的な小児科診察ができる。,どのように小児科にコンサルテーションすればよいか説明できる。",
3,産婦人科,"G-04-01-04-03,G-04-01-04-04,G-04-01-04-07","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,どのように産婦人科にコンサルテーションすればよいかわかる。",
4,精神科,"G-04-01-05-01,G-04-01-05-02,G-04-01-05-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,どのように精神科にコンサルテーションすればよいかわかる。",
5,皮膚科,"G-04-02-01-01,G-04-02-01-02,G-04-02-01-03,G-04-02-01-04,G-04-02-01-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
6,整形外科,"G-04-02-02-01,G-04-02-02-02,G-04-02-02-03,G-04-02-02-04,G-04-02-02-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
7,眼科,"G-04-02-03-01,G-04-02-03-02,G-04-02-03-03,G-04-02-03-04,G-04-02-03-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
8,耳鼻咽喉科,"G-04-02-04-01,G-04-02-04-02,G-04-02-04-03,G-04-02-04-04,G-04-02-04-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
9,泌尿器科,"G-04-02-05-01,G-04-02-05-02,G-04-02-05-03,G-04-02-05-04,G-04-02-05-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
10,脳神経外科,"G-04-02-06-01,G-04-02-06-02,G-04-02-06-03,G-04-02-06-04,G-04-02-06-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
11,放射線科,"G-04-02-07-01,G-04-02-07-02,G-04-02-07-03,G-04-02-07-04,G-04-02-07-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
12,麻酔科,"G-04-02-08-01,G-04-02-08-02,G-04-02-08-03,G-04-02-08-04,G-04-02-08-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
13,病理診断科,"G-04-02-09-01,G-04-02-09-02,G-04-02-09-03,G-04-02-09-04,G-04-02-09-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
14,臨床検査科,"G-04-02-10-01,G-04-02-10-02,G-04-02-10-03,G-04-02-10-04,G-04-02-10-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
15,形成外科,"G-04-02-11-01,G-04-02-11-02,G-04-02-11-03,G-04-02-11-04,G-04-02-11-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
16,リハビリテーション科,"G-04-02-13-01,G-04-02-13-02,G-04-02-13-03,G-04-02-13-04","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
17,歯科口腔外科,"G-04-02-14-01,G-04-02-14-02,G-04-02-14-03,G-04-02-14-04,G-04-02-14-05","主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",
18,救急科,,,追加
