,第2層,第3層,第4層,H28対応項目,メモ
0,医療の質と患者安全,患者安全,患者安全のための個人および組織におけるリスク管理の重要性を理解する。,,ヒューマンファクターズ 90分 講義
1,医療の質と患者安全,患者安全,医療現場における報告・連絡・相談を実践し、記録の重要性を理解する。,,インシデントレポート、M＆Mカンファ、2 challenge rule
2,医療の質と患者安全,患者安全,患者や介護者と協働するための情報共有を理解できる,,オープンディスクロージャー ロールプレイ90分
3,医療の質と患者安全,患者安全,医療の安全性に関する情報（薬剤等の副作用、薬害、医療過誤、やってはいけないこと、優れた取組事例等）を共有し、事後に役立てるための分析の重要性を説明できる。,,薬剤の誤投与のビデオ→分析 90×2時間
4,医療の質と患者安全,患者安全,患者安全のための管理体制と各々の役割（リスクマネージャー、医療安全管理委員会等）を概説できる,,
5,医療の質と患者安全,患者安全,医療関連感染症の原因と対策（院内感染対策委員会、院内感染サーベイランス、院内感染対策チーム(infection control team <ICT>)、感染対策マニュアル等)を概説できる。,,
6,医療の質と患者安全,医療の質,品質改善の手法を用いて医療を改善する,,
7,医療の質と患者安全,医療従事者の健康管理,医療従事者の健康管理（予防接種を含む）の重要性を説明できる。,,
8,医療の質と患者安全,医療従事者の健康管理,標準予防策(standard precautions)の必要性を説明し、実行できる。,,
9,医療の質と患者安全,医療従事者の健康管理,医療現場における労働環境の改善の必要性を説明できる。,,
10,生涯学習,生涯学習の意義と方略,生涯学習の重要性を説明できる。,,
11,生涯学習,生涯学習の意義と方略,生涯にわたる継続的学習に必要な情報を収集できる。,,
12,生涯学習,キャリア開発,キャリア開発能力を獲得する。,,
13,生涯学習,キャリア開発,キャリアステージにより求められる能力に異なるニーズがあることを理解する。,,
14,医療者教育,医療者教育の意義と方略,個人として、チームとして成長するための協働学習を経験する,,
15,医療者教育,医療者教育の意義と方略,インストラクショナルデザインの基本的な枠組みを理解し、それを実践できる,,
16,医療者教育,医療者教育の意義と方略,フィードバックについての基本的な枠組みを理解し、それを実践できる,,
17,医療者教育,医療者教育の意義と方略,成人学習理論の基本的な枠組みを理解し、それを意識した教育を提供できる,,
