第2層,第3層,第4層,H28対応項目,メモ
社会保障,公衆衛生,健康 及び公衆衛生の概念について説明できる。,,
社会保障,公衆衛生,予防の段階と戦略について説明できる。,,
社会保障,公衆衛生,健康づくり（ヘルスプロモーション）の概念について説明できる。,,
社会保障,公衆衛生,障害の概念を説明できる。,,
社会保障,公衆衛生,地域診断、PDCAサイクルなど、公衆衛生の展開方法について説明できる。,,
社会保障,公衆衛生,ボランティア、NPO、地域共生社会、社会的処方について説明できる予防の段階と戦略について説明できる。,,
社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障について説明できる。,,
社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての社会保険（医療保険、介護保険）と診療報酬・介護報酬の制度について説明できる。,,
社会保障,社会保険、公的扶助、社会福祉,公的扶助、社会福祉について説明できる。,,
社会保障,地域保健,保健所・市町村保健センター・地方衛生研究所の役割、地域保健法など、地域保健体制について説明できる。,,
社会保障,地域保健,「国民の健康づくり運動」（健康日本21含む）、健康増進法など、健康増進施策について説明できる。,,
社会保障,地域保健,母子保健法、母体保護法、児童福祉法、児童虐待防止法など、母子保健施策について説明できる。,,
社会保障,地域保健,学校医、学校感染症、学校保健安全法など、学校保健について説明できる。,,
社会保障,地域保健,特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）など、成人及び高齢者保健施策（介護予防含む）について説明できる。,,
社会保障,地域保健,がん対策基本法、がん登録等の推進に関する法律など、がん対策について説明できる。,,
社会保障,地域保健,栄養摂取基準、保健機能食品、食育基本法など、栄養施策について説明できる。,,
社会保障,地域保健,精神保健福祉法、自殺対策基本法など、精神衛生・心の健康に関する施策について説明できる。,,
社会保障,地域保健,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）など障がい者福祉について説明できる。,,
社会保障,地域保健,8020、フッ化物の利用、全身の健康との関連など、歯科保健施策について説明できる。,,
社会保障,地域保健,食品衛生法、食品営業、食中毒の状況など、食品衛生施策について説明できる。,,
社会保障,地域保健,水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境など、生活環境衛生施策について説明できる。,,
社会保障,地域保健,環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）など、環境保全施策について説明できる。,,
社会保障,地域保健,地域職域連携、健康経営など、産業保健との連携について説明できる。,,
社会保障,産業保健,産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方について説明できる。,,
社会保障,産業保健,産業医の選任義務、労働安全衛生法、労働基準法など、産業保健の基本的な法令について説明できる。,,
社会保障,産業保健,労働災害及び職業性疾病とのその対策について説明できる。,,
社会保障,産業保健,有害物質による産業中毒とその対策について説明できる。,,
社会保障,健康危機管理,健康危機の概念と種類、それらへの対応について説明できる,,
社会保障,健康危機管理,健康危機時のリスクコミュニケーションについて説明できる。,,
社会保障,健康危機管理,感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法など、感染症対策について説明できる,,
社会保障,健康危機管理,災害対策基本法、災害救助法など、自然災害の対応について説明できる。,,
社会保障,健康危機管理,災害拠点病院、種々の活動チームなど、災害保健医療 について説明できる。,,
社会保障,健康危機管理,放射線事故、テロリズム、国民保護法の適用事象など種々の健康危機の種類別の対応について説明できる。,,
社会保障,保健統計,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（疾病及び関連保健問題の国際統計分類：International Statistical Classification of Diseases and Related Health Problems〈ICD〉等）を説明できる。,,
社会保障,保健統計,平均寿命、健康寿命を説明できる。,,
社会保障,保健統計,e-Stat（政府統計の窓口）を利用できる。,,
疫学・医学統計,疫学,疫学の概念・定義を説明できる。,,
疫学・医学統計,疫学,公衆衛生と臨床のそれぞれにおける疫学の役割を説明できる。,,
疫学・医学統計,疫学,罹患率と有病割合（率）を説明できる。,,
疫学・医学統計,疫学,代表的な疫学指標を説明できる（リスク、リスク比、リスク差、オッズ比）。,,
疫学・医学統計,疫学,主なバイアスを（例をあげて）説明できる。,,
疫学・医学統計,疫学,交絡を（例をあげて）説明できる。,,
疫学・医学統計,疫学,年齢調整率と標準化死亡比(standardized mortality ratio: SMR）を説明できる。,,
疫学・医学統計,疫学,代表的な疫学研究を（例をあげて）説明できる。,,
疫学・医学統計,疫学,主な疫学の研究デザインを説明できる（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を概説できる。,,
疫学・医学統計,疫学,感染症の基本再生産数と実効再生産数を説明できる。,,
疫学・医学統計,疫学,流行（エピデミック）および汎世界的流行（パンデミック）を例をあげて説明できる。,,
疫学・医学統計,疫学,集団免疫の意味を述べ、集団免疫閾値について説明できる。,,
疫学・医学統計,疫学,不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることができる。,,
疫学・医学統計,データ解析と統計手法,欠測値が生じないようにデータ収集の方法を設計でき、生じた場合はその対応（代入法など）ができる。,,
疫学・医学統計,データ解析と統計手法,データの記述と要約（記述統計含む）ができる。,,
疫学・医学統計,データ解析と統計手法,正規分布の母平均の信頼区間を説明できる。,,
疫学・医学統計,データ解析と統計手法,単変量解析と多変量解析の意義を説明できる。,,
法医学,死と法,植物状態、脳死、心臓死及び脳死判定を説明できる。,,
法医学,死と法,異状死・異状死体の取扱いと死体検案を説明できる。 ,,
法医学,死と法,死亡診断書と死体検案書を作成できる。 ,,
法医学,死と法,個人識別の方法を説明できる。 ,,
法医学,死と法,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。 ,,
