,,以下のデータは参照用です。直接編集できません、メンバーは修正案・コメントをお名前の列に記入して下さい。
0,医学教育課,第1層
1,,プロフェッショナリズム
2,,プロフェッショナリズム
3,,プロフェッショナリズム
4,,総合的に患者・生活者をみる姿勢
5,,総合的に患者・生活者をみる姿勢
6,,総合的に患者・生活者をみる姿勢
7,,総合的に患者・生活者をみる姿勢
8,,生涯にわたって共に学ぶ姿勢
9,,生涯にわたって共に学ぶ姿勢
10,,生涯にわたって共に学ぶ姿勢
11,,情報・科学技術を活かす能力
12,,情報・科学技術を活かす能力
13,,情報・科学技術を活かす能力
14,,コミュニケーション能力
15,,コミュニケーション能力
16,,コミュニケーション能力
17,,多職種連携能力
18,,多職種連携能力
19,,社会における医療の役割の理解
20,,社会における医療の役割の理解
21,,社会における医療の役割の理解
22,,社会における医療の役割の理解
23,,社会における医療の役割の理解
24,,社会における医療の役割の理解
25,,患者ケアのための診療技能
26,,患者ケアのための診療技能
27,,患者ケアのための診療技能
28,,患者ケアのための診療技能
