,,以下のデータは参照用です。直接編集できません、メンバーは修正案・コメントをお名前の列に記入して下さい。
0,医学教育課,第1層
1,,プロフェッショナリズム
2,,プロフェッショナリズム
3,,プロフェッショナリズム
4,,プロフェッショナリズム
5,,プロフェッショナリズム
6,,プロフェッショナリズム
7,,プロフェッショナリズム
8,,プロフェッショナリズム
9,,総合的に患者・生活者をみる姿勢
10,,総合的に患者・生活者をみる姿勢
11,,総合的に患者・生活者をみる姿勢
12,,総合的に患者・生活者をみる姿勢
13,,総合的に患者・生活者をみる姿勢
14,,総合的に患者・生活者をみる姿勢
15,,総合的に患者・生活者をみる姿勢
16,,総合的に患者・生活者をみる姿勢
17,,総合的に患者・生活者をみる姿勢
18,,総合的に患者・生活者をみる姿勢
19,,総合的に患者・生活者をみる姿勢
20,,総合的に患者・生活者をみる姿勢
21,,総合的に患者・生活者をみる姿勢
22,,総合的に患者・生活者をみる姿勢
23,,総合的に患者・生活者をみる姿勢
24,,総合的に患者・生活者をみる姿勢
25,,生涯にわたって共に学ぶ姿勢
26,,生涯にわたって共に学ぶ姿勢
27,,生涯にわたって共に学ぶ姿勢
28,,生涯にわたって共に学ぶ姿勢
29,,生涯にわたって共に学ぶ姿勢
30,,生涯にわたって共に学ぶ姿勢
31,,科学的探究
32,,科学的探究
33,,科学的探究
34,,科学的探究
35,,科学的探究
36,,科学的探究
37,,科学的探究
38,,科学的探究
39,,科学的探究
40,,科学的探究
41,,科学的探究
42,,情報・科学技術を活かす能力
43,,情報・科学技術を活かす能力
44,,情報・科学技術を活かす能力
45,,情報・科学技術を活かす能力
46,,情報・科学技術を活かす能力
47,,情報・科学技術を活かす能力
48,,コミュニケーション能力
49,,コミュニケーション能力
50,,コミュニケーション能力
51,,コミュニケーション能力
52,,コミュニケーション能力
53,,コミュニケーション能力
54,,コミュニケーション能力
55,,コミュニケーション能力
56,,コミュニケーション能力
57,,コミュニケーション能力
58,,多職種連携能力
59,,多職種連携能力
60,,多職種連携能力
61,,多職種連携能力
62,,多職種連携能力
63,,多職種連携能力
64,,多職種連携能力
65,,社会における医療の役割の理解
66,,社会における医療の役割の理解
67,,社会における医療の役割の理解
68,,社会における医療の役割の理解
69,,社会における医療の役割の理解
70,,社会における医療の役割の理解
71,,社会における医療の役割の理解
72,,社会における医療の役割の理解
73,,社会における医療の役割の理解
74,,社会における医療の役割の理解
75,,社会における医療の役割の理解
76,,社会における医療の役割の理解
77,,社会における医療の役割の理解
78,,社会における医療の役割の理解
79,,社会における医療の役割の理解
80,,社会における医療の役割の理解
81,,社会における医療の役割の理解
82,,社会における医療の役割の理解
83,,社会における医療の役割の理解
84,,患者ケアのための診療技能
85,,患者ケアのための診療技能
86,,患者ケアのための診療技能
87,,患者ケアのための診療技能
88,,患者ケアのための診療技能
89,,患者ケアのための診療技能
90,,患者ケアのための診療技能
91,,患者ケアのための診療技能
92,,患者ケアのための診療技能
93,,患者ケアのための診療技能
94,,患者ケアのための診療技能
95,,患者ケアのための診療技能
96,,患者ケアのための診療技能
97,,患者ケアのための診療技能
98,,患者ケアのための診療技能
99,,患者ケアのための診療技能
100,,専門知識に基づいた問題解決能力
101,,専門知識に基づいた問題解決能力
102,,専門知識に基づいた問題解決能力
103,,専門知識に基づいた問題解決能力
104,,専門知識に基づいた問題解決能力
105,,専門知識に基づいた問題解決能力
106,,専門知識に基づいた問題解決能力
107,,専門知識に基づいた問題解決能力
108,,専門知識に基づいた問題解決能力
109,,専門知識に基づいた問題解決能力
110,,専門知識に基づいた問題解決能力
111,,専門知識に基づいた問題解決能力
112,,専門知識に基づいた問題解決能力
113,,専門知識に基づいた問題解決能力
114,,専門知識に基づいた問題解決能力
115,,専門知識に基づいた問題解決能力
116,,専門知識に基づいた問題解決能力
117,,専門知識に基づいた問題解決能力
118,,専門知識に基づいた問題解決能力
119,,専門知識に基づいた問題解決能力
120,,専門知識に基づいた問題解決能力
121,,専門知識に基づいた問題解決能力
122,,専門知識に基づいた問題解決能力
123,,専門知識に基づいた問題解決能力
124,,専門知識に基づいた問題解決能力
125,,専門知識に基づいた問題解決能力
126,,専門知識に基づいた問題解決能力
127,,専門知識に基づいた問題解決能力
