,基本的臨床手技分類,基本的臨床手技,目標レベル,メモ,H28対応項目,H28の記載
0,一般手技,体位交換、移送,実施できる,,G-03-01-na-01,体位交換、移送ができる。
1,一般手技,皮膚消毒,実施できる,必要性について外科の先生に要相談(文科省技術参与の高見先生?)(近藤),G-03-01-na-02,皮膚消毒ができる。
2,一般手技,気道内吸引,実施できる,ネブライザーについては必要性を要検討(小児科の先生に要相談)(近藤)→ネブライザーは削除(近藤),G-03-01-na-04,気道内吸引、ネブライザーを実施できる。
3,一般手技,静脈採血,実演できる,,G-03-01-na-05,静脈採血を実施できる。
4,一般手技,末梢静脈の血管確保,実演できる,,G-03-01-na-06,末梢静脈の血管確保を実施できる。
5,一般手技,動脈血採血,実演できる,かなり異なる手技であるため別々にした方が良い(近藤)→動脈ラインの確保は学生レベルではないので削除(近藤),G-03-01-na-08,動脈血採血・動脈ラインの確保を見学し、介助する。
6,一般手技,腰椎穿刺,実演できる,,G-03-01-na-09,腰椎穿刺を見学し、介助する。
7,一般手技,胃管の挿入と抜去,実演できる,,G-03-01-na-10,胃管の挿入と抜去ができる。
8,一般手技,尿道カテーテルの挿入と抜去,実演できる,,G-03-01-na-11,尿道カテーテルの挿入と抜去を実施できる。
9,一般手技,皮内注射,実演できる,それぞれ異なる手技であるため別々にした(近藤),G-03-01-na-13,注射（皮内、皮下、筋肉、静脈内）を実施できる。
10,一般手技,皮下注射,実演できる,それぞれ異なる手技であるため別々にした(近藤),G-03-01-na-13,注射（皮内、皮下、筋肉、静脈内）を実施できる。
11,一般手技,筋肉注射,実演できる,それぞれ異なる手技であるため別々にした(近藤),G-03-01-na-13,注射（皮内、皮下、筋肉、静脈内）を実施できる。
12,一般手技,静脈内注射,実演できる,それぞれ異なる手技であるため別々にした(近藤),G-03-01-na-13,注射（皮内、皮下、筋肉、静脈内）を実施できる。
13,検査手技,微生物学検査（Gram 染色を含む）,実施できる,,G-03-02-na-03,微生物学検査（Gram 染色を含む）を実施できる。
14,検査手技,12 誘導心電図の記録,実施できる,,G-03-02-na-07,12 誘導心電図を記録できる。
15,検査手技,心臓の超音波検査を実施できる。,実施できる,,G-03-02-na-10,心臓、腹部の超音波検査を実施できる。
16,検査手技,腹部の超音波検査を実施できる。,実施できる,,G-03-02-na-10,心臓、腹部の超音波検査を実施できる。
17,外科手技,清潔操作,実演できる,,G-03-03-na-01,無菌操作を実施できる。
18,外科手技,手術や手技のための手洗い,実施できる,,G-03-03-na-02,手術や手技のための手洗いができる。
19,外科手技,手術室におけるガウンテクニックができる。,実施できる,,G-03-03-na-03,手術室におけるガウンテクニックができる。
20,外科手技,基本的な縫合と抜糸ができる。,実演できる,,G-03-03-na-04,基本的な縫合と抜糸ができる。
