H28ID,第4層,理由・コメント
F-02-01-na-02,情報収集には医療面接、身体診察、検査の３つの方法があることを説明できる。,情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)
F-02-01-na-03,診断仮説を想起するためには、解剖学、病理学、生理学、生化学等の基礎医学や疾患頻度が重要であることを説明できる。,情報収集にはDoesレベルを求めることを考えると削除を検討(近藤)
G-01-01-01-01,「A 医師として求められる基本的な資質・能力」（以下、再掲）を常に意識しながら、臨床実習を行う。,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-02,プロフェッショナリズム,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-03,医学知識と問題対応能力,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-04,診療技能と患者ケア,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-05,コミュニケーション能力,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-06,チーム医療の実践,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-07,医療の質と安全の管理,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-08,社会における医療の実践,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-09,科学的探究,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-01-10,生涯にわたって共に学ぶ姿勢,コンピテンシーの再掲であり具体的な目標ではないため
G-01-01-02-01,「F 診療の基本」の内容を基盤として、臨床の現場で研鑽を積む。,具体的な目標ではないため
G-01-01-03-01,病歴を聴取して身体診察を行う。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-02,鑑別診断を想定する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-03,基本的な検査の結果を解釈する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-04,処方を計画する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-05,診療録（カルテ）を記載する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-06,患者の状況について口頭でプレゼンテーションする。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-07,臨床上の問題を明確にしてエビデンスを収集する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-08,患者さんの申し送りを行う・受け取る。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-09,多職種のチームで協働する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-10,緊急性の高い患者さんの初期対応を行う。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-11,インフォームド・コンセントを得る。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-12,基本的臨床手技を実施する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-01-01-03-13,組織上の問題の同定と改善を通して医療安全に貢献する。,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-02-01-na-01,感染症：肺炎,EPAに該当するため、臨床実習ガイドラインで扱うことを検討する
G-04-03-na-01,これ以下は教育方略,具体的な目標ではないため
G-04-03-na-03,必要に応じて臨床教授制度等を利用する。,方略であるため削除し、ガイドラインでの記載を検討(近藤)
G-04-04-na-01,シミュレータを用いて反復練習をすることで、臨床技能を磨く。,具体的な目標ではないため
G-04-04-na-02,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,方略であるため削除し、ガイドラインでの記載を検討(近藤)
G-04-04-na-03,シナリオを用いたトレーニングを通して、状況判断、意思決定能力を獲得する。,方略であるため削除し、ガイドラインでの記載を検討(近藤)
G-04-04-na-04,チームトレーニングによって、チーム医療の実践能力を高める。,方略であるため削除し、ガイドラインでの記載を検討(近藤)
F-01-05-na-01,ショックの原因と病態生理を説明できる。,ショックが症候から外れたため(循環器に移動を検討)(近藤)
F-01-05-na-02,ショックをきたす疾患(群)を列挙し、診断の要点を説明できる。,ショックが症候から外れたため(循環器に移動を検討)(近藤)
F-01-05-na-03,ショック状態にある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-01,循環血液量減少性：急性消化管出血,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-02,循環血液量減少性：大動脈瘤破裂,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-03,循環血液量減少性：熱傷,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-04,心原性：急性心筋梗塞,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-05,心原性：心筋炎,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-06,閉塞性：緊張性気胸,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-07,閉塞性：肺塞栓症,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-08,血液分布異常性：敗血症,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-09,血液分布異常性：急性膵炎,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-10,血液分布異常性：アナフィラキシー,ショックが症候から外れたため(循環器に移動を検討)(近藤)
G-02-05-na-11,血液分布異常性：脊髄損傷,ショックが症候から外れたため(循環器に移動を検討)(近藤)
F-01-10-na-01,脱水の原因と病態生理を説明できる。,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
F-01-10-na-02,脱水をきたす疾患(群)を列挙し、診断の要点を説明できる。,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
F-01-10-na-03,脱水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-01,消化器：急性消化管出血,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-02,消化器：乳児下痢症,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-03,消化器：急性膵炎,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-04,内分泌・代謝：糖尿病,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-05,環境：熱中症,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
G-02-10-na-06,環境：熱傷,脱水が症候から外れたため(腎臓に移動を検討)(近藤)
F-01-18-na-01,胸水の原因と病態生理を説明できる。,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
F-01-18-na-02,胸水をきたす疾患(群)を列挙し、診断の要点を説明できる。,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
F-01-18-na-03,胸水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-01,循環器：心不全,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-02,呼吸器：肺炎,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-03,呼吸器：肺結核,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-04,呼吸器：肺癌,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-05,消化器：肝硬変,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-06,消化器：急性膵炎,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-07,自己免疫：関節リウマチ,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-08,自己免疫：全身性エリテマトーデス<SLE>,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-18-na-09,腎・泌尿器：ネフローゼ症候群,胸水が症候から外れたため(臓器別に移動を検討)(近藤)
F-01-26-na-01,貧血の原因と病態生理を説明できる。,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
