,門田ﾚﾎﾟｰﾄ分類,門田ﾚﾎﾟｰﾄ必須/推奨,"門田ﾚﾎﾟｰﾄ
 項目","コアカリH28版
 （F/G領域）","コアカリR4版
 診療技能第2-第3層"
0,診察,必須,診療記録記載（診療録作成）※1,"F-03-03-na-01,G-03-01-na-16",◎情報収集-カルテ記載
1,診察,必須,医療面接,"F-03-02-na-01,G-04-04-na-02,F-03-02-na-02,F-03-02-na-03,F-03-05-01-01,F-03-05-08-04,G-04-01-03-04",◎情報収集-病歴
2,診察,必須,バイタルサインチェック,"F-02-09-02-02,F-03-05-02-05,F-03-05-02-04,F-03-05-02-02,F-03-05-02-06,F-03-06-02-05",◎情報収集-身体診察
3,診察,必須,診察法（全身・各臓器）,"F-03-05-02-07,F-03-05-03-01,F-03-05-03-06,F-03-05-03-08,F-03-05-03-09,F-03-05-03-10,F-03-05-04-01,F-03-05-04-02,F-03-05-04-03,F-03-05-05-01,F-03-05-05-03,F-03-05-05-02,F-03-05-05-04,F-03-05-05-05,F-03-05-04-04",◎情報収集-身体診察
4,診察,必須,耳鏡・鼻鏡,"F-03-05-03-04,F-03-05-03-08",◎情報収集-身体診察
5,診察,必須,眼底鏡,"F-03-05-06-02,G-03-02-na-06,F-03-05-03-05",◎情報収集-身体診察
6,診察,必須,基本的な婦人科診察,G-04-01-04-06,◎情報収集-身体診察
7,診察,必須,乳房診察,F-03-05-04-05,◎情報収集-身体診察
8,診察,必須,直腸診察,F-03-05-05-06,◎情報収集-身体診察
9,診察,必須,前立腺触診,F-03-05-05-06,◎情報収集-身体診察
10,診察,必須,高齢者の診察(ADL 評価、高齢者総合機能評価）,E-08-01-na-02,※総合で担当
11,診察,推奨,患者・家族への病状の説明,×,×
12,診察,推奨,分娩介助,×,×
13,診察,推奨,直腸鏡・肛門鏡,×,×
14,一般手技,必須,皮膚消毒,G-03-01-na-02,◎対応実施-一般手技(表）
15,一般手技,必須,外用薬の貼付・塗布,G-03-01-na-03,検討の結果削除
16,一般手技,必須,気道内吸引※2,G-03-01-na-04,◎対応実施-一般手技(表）
17,一般手技,必須,ネブライザー,G-03-01-na-04,※検討の結果、削除決定
18,一般手技,必須,静脈採血,G-03-01-na-08,◎対応実施-一般手技(表）
