                                                                                                                                                                                                ,第3層,第4層仮番号,第4層,H28対応項目,メモ,参考,校正者コメント
基礎医学,生命現象の科学,1,細胞の観察法を説明できる。,C-01-01-01-01,「細胞の観察ができる」のみでもよいか？(MY),生命の最小単位-細胞,
基礎医学,生命現象の科学,2,細胞の全体像を図示できる。,C-01-01-01-02,,生命の最小単位-細胞,
基礎医学,生命現象の科学,3,核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能を説明できる。,"C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06",修正済み・ワードファイルでは「外」細胞骨格の外を消しているように見えます（KY）,生命の最小単位-細胞,
基礎医学,生命現象の科学,4,細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。,C-01-01-01-07,,生命の最小単位-細胞,
基礎医学,生命現象の科学,5,原核細胞と真核細胞の特徴を説明できる。,C-01-01-01-08,,生命の最小単位-細胞,
基礎医学,生命現象の科学,6,Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。,C-01-01-02-01,,生命の最小単位-細胞,
基礎医学,生命現象の科学,7,遺伝型と表現型の関係を説明できる。,C-01-01-02-02,,生命の最小単位-細胞,
基礎医学,生命現象の科学,8,染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。,C-01-01-02-03,,生命の最小単位-細胞,
基礎医学,生命現象の科学,9,デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。,"C-01-01-02-04,C-01-01-02-05,C-03-01-01-03",,生命の最小単位-細胞,
基礎医学,生命現象の科学,10,染色体分析・DNA配列決定を含むゲノム解析技術を説明できる。,C-01-01-02-06,修正済み・ワードファイルでは「説明できる」になっています。(KY),生命の最小単位-細胞,
基礎医学,生命現象の科学,11,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,,新設,生命の最小単位-細胞,
基礎医学,生命現象の科学,1,進化の基本的な考え方を説明できる。,C-01-02-01-01,,生物の進化,
基礎医学,生命現象の科学,2,生物種とその系統関係を概説できる。,C-01-02-01-02,,生物の進化,
基礎医学,生命現象の科学,3,アミノ酸配列や塩基配列の比較による分子系統樹を説明できる。,C-01-02-01-03,修正済み・ワードファイルでは「説明できる」になっています。(KY),生物の進化,
基礎医学,個体の構成と機能,1,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構を説明できる。,C-02-01-01-01,,細胞の構成と機能,
基礎医学,個体の構成と機能,2,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程を説明できる。,"C-02-01-01-02,C-02-01-01-03,C-02-01-01-04",修正済み・ワードファイルでは「説明できる」になっています。(KY),細胞の構成と機能,
基礎医学,個体の構成と機能,3,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。,"C-02-03-02-01,C-02-03-02-02",,,
基礎医学,個体の構成と機能,4,情報伝達の種類と機能を説明できる。,C-02-03-01-01,,,
基礎医学,個体の構成と機能,5,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程を説明できる。,"C-02-03-01-02,C-02-03-01-03",,,
基礎医学,個体の構成と機能,6,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,,新設,,
基礎医学,個体の構成と機能,7,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,"C-02-01-02-01,C-02-01-02-02",,細胞の構成と機能,
基礎医学,個体の構成と機能,8,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。,,新設,,
基礎医学,個体の構成と機能,9,軸索輸送、軸索の変性と再生を説明できる。,C-02-03-02-03,,個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,1,上皮組織と腺の構造と機能を説明できる。,C-02-02-01-01,,組織・各臓器の構成、機能と位置関係,
