,第2層,第3層,該当する第4層の数
0,医学一般,生命現象の科学,14
1,医学一般,個体の構成と機能,41
2,医学一般,個体の反応,37
3,医学一般,病因と病態,26
4,医学一般,人の行動と心理,0
5,人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,22
6,人体各器官の正常構造と機能、病態、診断、治療,神経系,30
7,人体各器官の正常構造と機能、病態、診断、治療,皮膚系,17
8,人体各器官の正常構造と機能、病態、診断、治療,運動器（筋骨格）系,18
9,人体各器官の正常構造と機能、病態、診断、治療,循環器系,37
10,人体各器官の正常構造と機能、病態、診断、治療,呼吸器系,19
11,人体各器官の正常構造と機能、病態、診断、治療,消化器系,20
12,人体各器官の正常構造と機能、病態、診断、治療,腎・尿路系（体液・電解質バランスを含む）,22
13,人体各器官の正常構造と機能、病態、診断、治療,生殖機能,9
14,人体各器官の正常構造と機能、病態、診断、治療,妊娠と分娩,16
15,人体各器官の正常構造と機能、病態、診断、治療,乳房,9
16,人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,19
17,人体各器官の正常構造と機能、病態、診断、治療,眼・視覚系,21
18,人体各器官の正常構造と機能、病態、診断、治療,耳鼻・咽喉・口腔系,12
19,人体各器官の正常構造と機能、病態、診断、治療,精神系,17
20,全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,8
21,全身に及ぶ生理的変化、病態、診断、治療,感染症,42
22,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,36
23,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,27
24,全身に及ぶ生理的変化、病態、診断、治療,救急系（中毒・環境因子による疾患を含む）,21
25,全身に及ぶ生理的変化、病態、診断、治療,放射線の生体影響と放射線障害,16
26,全身に及ぶ生理的変化、病態、診断、治療,成長と発達,18
27,全身に及ぶ生理的変化、病態、診断、治療,加齢と老化,9
28,全身に及ぶ生理的変化、病態、診断、治療,人の死,7
