,臓器,分類,項目名,blank,H28対応項目,削除項目,追加項目,メモ
0,造血系,構造と機能,骨髄の構造,,D-01-01-na-01,,,
1,造血系,構造と機能,造血幹細胞から各血球への分化と成熟の過程,,D-01-01-na-02,,,
2,造血系,構造と機能,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>、トロンボポエチン）,,D-01-01-na-03,,,
3,造血系,構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer 板の構造と機能,,D-01-01-na-04,,,
4,造血系,構造と機能,血漿タンパク質の種類と機能,,D-01-01-na-05,,,
5,造血系,構造と機能,赤血球とヘモグロビンの構造と機能,,D-01-01-na-06,,,
6,造血系,構造と機能,白血球の種類と機能,,D-01-01-na-07,,,
7,造血系,構造と機能,血小板の機能と止血や凝固・線溶の機序,,D-01-01-na-08,,,
8,造血系,症状・症候,発熱,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
9,造血系,症状・症候,全身倦怠感,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
10,造血系,症状・症候,黄疸,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
11,造血系,症状・症候,貧血,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
12,造血系,症状・症候,出血傾向,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
13,造血系,症状・症候,リンパ節腫脹,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
14,造血系,症状・症候,腹部膨隆・腫瘤,,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,
15,造血系,-,貧血、出血傾向、血栓傾向,,"D-01-03-na-04, D-01-03-na-05,",,血栓傾向,
16,造血系,検査方法,末梢血血球検査、末梢血塗抹標本検査,,D-01-02-na-01,末梢血の血球数の基準値とその変化の意義,末梢血血球検査、末梢血塗抹標本検査,シンプルな表現に
17,造血系,検査方法,凝固・線溶・血小板機能検査,,なし,,,新規
18,造血系,検査方法,骨髄検査（骨髄穿刺、骨髄生検）,,D-01-02-na-02,,,
19,造血系,検査方法,輸血関連検査,,なし,,,新規
20,造血系,検査方法,血漿タンパク分画、免疫電気泳動,,D-01-02-na-02,,,＊血漿か血清か議論をお願いします。
21,造血系,検査方法,遺伝子・染色体検査,,なし,,,新規
