,H28ID,理由・コメント,山脇コメント
0,E-03-01-na-02,削除された,
1,D-05-04-08-02,word明記が無かった,234に追記
2,D-06-01-na-09,word明記が無かった,246に記載あり
3,D-06-03-01-01,word明記が無かった,削除
4,E-03-03-na-05,削除された,
5,D-06-04-08-04,word明記が無かった,252に記載あり、252は新設ではありません
6,D-07-04-08-11,削除された,
7,D-08-04-08-02,削除された,
8,D-09-04-02-06,削除された,
9,E-02-02-na-02,削除された,
10,E-02-02-na-03,削除された,
11,E-02-02-na-04,削除された,
12,E-02-02-na-05,word明記が無かった,削除
13,E-02-02-na-08,word明記が無かった,削除
14,E-02-04-01-01,削除された,
15,E-02-04-01-02,削除された,
16,E-02-04-01-03,削除された,
17,E-02-04-01-04,削除された,
18,E-02-04-01-05,削除された,
19,E-02-04-01-06,削除された,
20,E-02-04-01-07,削除された,
21,E-02-04-01-08,削除された,
22,E-02-04-01-09,削除された,
23,E-02-04-01-10,削除された,
24,E-02-04-02-01,削除された,
25,E-02-04-02-02,削除された,
26,E-02-04-02-03,削除された,
27,E-02-04-02-04,削除された,
28,E-02-04-02-05,削除された,
29,E-02-04-02-06,削除された,
30,E-02-04-02-07,削除された,
31,E-02-04-02-08,削除された,
32,E-02-04-02-09,削除された,
33,E-02-04-02-10,削除された,
34,E-02-04-02-11,削除された,
35,E-02-04-02-12,削除された,
36,E-02-04-02-13,削除された,
37,E-02-04-03-01,削除された,
38,E-02-04-03-02,削除された,
39,E-02-04-03-03,削除された,
40,E-02-04-03-04,削除された,
41,E-02-04-04-01,削除された,
42,E-02-04-04-02,削除された,
43,E-02-04-04-03,削除された,
44,E-02-04-04-04,削除された,
45,E-02-01-na-01,word明記が無かった,削除
