,第2層,第3層,第4層,H28対応項目,H28対応項目案（技術参与）,メモ
0,社会保障,公衆衛生,健康 及び公衆衛生の概念について説明できる。,,新規,
1,社会保障,公衆衛生,予防の段階と戦略について説明できる。,,B-01-04-na-05,
2,社会保障,公衆衛生,健康づくり（ヘルスプロモーション）の概念について説明できる。,,新規,
3,社会保障,公衆衛生,障害の概念を説明できる。,,B-01-06-na-01,
4,社会保障,公衆衛生,地域診断、PDCAサイクルなど、公衆衛生の展開方法について説明できる。,,新規,
5,社会保障,公衆衛生,ボランティア、NPO、地域共生社会、社会的処方について説明できる予防の段階と戦略について説明できる。,,新規,
6,社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障について説明できる。,,新規,
7,社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての社会保険（医療保険、介護保険）と診療報酬・介護報酬の制度について説明できる。,"B-01-08-na-01,B-01-08-na-09",B-01-08-na-09、E-08-01-na-11,
8,社会保障,社会保険、公的扶助、社会福祉,公的扶助、社会福祉について説明できる。,,新規,
9,社会保障,地域保健,保健所・市町村保健センター・地方衛生研究所の役割、地域保健法など、地域保健体制について説明できる。,B-01-07-na-01,A-07-01-na-03,
10,社会保障,地域保健,「国民の健康づくり運動」（健康日本21含む）、健康増進法など、健康増進施策について説明できる。,,B-01-05-na-01,
11,社会保障,地域保健,母子保健法、母体保護法、児童福祉法、児童虐待防止法など、母子保健施策について説明できる。,"B-01-06-na-04,B-01-07-na-03",B-01-06-na-04、B-01-07-na-03,
12,社会保障,地域保健,学校医、学校感染症、学校保健安全法など、学校保健について説明できる。,,B-01-06-na-04、B-01-07-na-03,
13,社会保障,地域保健,特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）など、成人及び高齢者保健施策（介護予防含む）について説明できる。,,B-01-06-na-04？,
14,社会保障,地域保健,がん対策基本法、がん登録等の推進に関する法律など、がん対策について説明できる。,,新規,
15,社会保障,地域保健,栄養摂取基準、保健機能食品、食育基本法など、栄養施策について説明できる。,,B-01-05-na-02？,
16,社会保障,地域保健,精神保健福祉法、自殺対策基本法など、精神衛生・心の健康に関する施策について説明できる。,,D-15-01-na-03、A-07-01-na-03、B-01-08-na-13,
17,社会保障,地域保健,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）など障がい者福祉について説明できる。,,B-01-08-na-13,
18,社会保障,地域保健,8020、フッ化物の利用、全身の健康との関連など、歯科保健施策について説明できる。,,新規,
19,社会保障,地域保健,食品衛生法、食品営業、食中毒の状況など、食品衛生施策について説明できる。,,B-01-08-na-11,
20,社会保障,地域保健,水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境など、生活環境衛生施策について説明できる。,,新規,
21,社会保障,地域保健,環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）など、環境保全施策について説明できる。,,B-01-06-na-03？,
22,社会保障,地域保健,地域職域連携、健康経営など、産業保健との連携について説明できる。,,B-01-06-na-04,
23,社会保障,産業保健,産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方について説明できる。,,B-01-06-na-04、B-01-08-na-04,
24,社会保障,産業保健,産業医の選任義務、労働安全衛生法、労働基準法など、産業保健の基本的な法令について説明できる。,,B-01-08-na-04,
25,社会保障,産業保健,労働災害及び職業性疾病とのその対策について説明できる。,,B-01-06-na-03？,
26,社会保障,産業保健,有害物質による産業中毒とその対策について説明できる。,,E-05-03-01-02、E-05-03-01-03、E-05-03-01-04,
27,社会保障,健康危機管理,健康危機の概念と種類、それらへの対応について説明できる,,新規,
28,社会保障,健康危機管理,健康危機時のリスクコミュニケーションについて説明できる。,,新規,
29,社会保障,健康危機管理,感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法など、感染症対策について説明できる,,B-01-08-na-11、C-03-01-02-02、E-02-02-na-07、E-02-02-na-08、E-02-01-na-07,
30,社会保障,健康危機管理,災害対策基本法、災害救助法など、自然災害の対応について説明できる。,,A-07-01-na-06、G-04-01-07-06,
31,社会保障,健康危機管理,災害拠点病院、種々の活動チームなど、災害保健医療 について説明できる。,,G-04-01-07-06、B-01-07-na-06,
32,社会保障,健康危機管理,放射線事故、テロリズム、国民保護法の適用事象など種々の健康危機の種類別の対応について説明できる。,,E-06-04-na-02、E-02-01-na-07,
33,社会保障,保健統計,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（疾病及び関連保健問題の国際統計分類：International Statistical Classification of Diseases and Related Health Problems〈ICD〉等）を説明できる。,,B-01-04-na-01,
34,社会保障,保健統計,平均寿命、健康寿命を説明できる。,,B-01-04-na-02,
35,社会保障,保健統計,e-Stat（政府統計の窓口）を利用できる。,,新規,
36,疫学・医学統計,疫学,疫学の概念・定義を説明できる。,,新規,
37,疫学・医学統計,疫学,公衆衛生と臨床のそれぞれにおける疫学の役割を説明できる。,,新規,
38,疫学・医学統計,疫学,罹患率と有病割合（率）を説明できる。,,B-01-04-na-03,
39,疫学・医学統計,疫学,代表的な疫学指標を説明できる（リスク、リスク比、リスク差、オッズ比）。,,B-01-04-na-04,
40,疫学・医学統計,疫学,主なバイアスを（例をあげて）説明できる。,,B-01-04-na-04,
41,疫学・医学統計,疫学,交絡を（例をあげて）説明できる。,,B-01-04-na-04,
42,疫学・医学統計,疫学,年齢調整率と標準化死亡比(standardized mortality ratio: SMR）を説明できる。,,B-01-04-na-04,
43,疫学・医学統計,疫学,代表的な疫学研究を（例をあげて）説明できる。,,新規,
44,疫学・医学統計,疫学,主な疫学の研究デザインを説明できる（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を概説できる。,,"B-01-03-na-03,F-02-02-na-03",
45,疫学・医学統計,疫学,感染症の基本再生産数と実効再生産数を説明できる。,,新規,
46,疫学・医学統計,疫学,流行（エピデミック）および汎世界的流行（パンデミック）を例をあげて説明できる。,,新規,
47,疫学・医学統計,疫学,集団免疫の意味を述べ、集団免疫閾値について説明できる。,,新規,
48,疫学・医学統計,疫学,不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることができる。,,新規,
49,疫学・医学統計,データ解析と統計手法,欠測値が生じないようにデータ収集の方法を設計でき、生じた場合はその対応（代入法など）ができる。,,新規,
50,疫学・医学統計,データ解析と統計手法,データの記述と要約（記述統計含む）ができる。,,B-01-01-na-01,
51,疫学・医学統計,データ解析と統計手法,正規分布の母平均の信頼区間を説明できる。,,B-01-01-na-03,
52,疫学・医学統計,データ解析と統計手法,単変量解析と多変量解析の意義を説明できる。,,"B-01-02-na-01,B-01-02-na-02,B-01-02-na-03,B-01-02-na-04,B-01-02-na-05,B-01-02-na-06",
53,法医学,死と法,植物状態、脳死、心臓死及び脳死判定を説明できる。,B-02-01-na-01,B-02-01-na-01,
54,,,,,,
55,法医学,死と法,異状死・異状死体の取扱いと死体検案を説明できる。,B-02-01-na-02,B-02-01-na-02,
56,,,,,,
57,法医学,死と法,死亡診断書と死体検案書を作成できる。,B-02-01-na-03,B-02-01-na-03,
58,,,,,,
59,法医学,死と法,個人識別の方法を説明できる。,B-02-01-na-04,B-02-01-na-04,
60,,,,,,
61,法医学,死と法,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,B-02-01-na-05,B-01-04-na-02,
62,,,,,,
63,社会の構造や変化から捉える医療,社会格差と医療,社会的弱者の立場にある患者の代弁者となることができる。,,新規,
64,社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる。,,新規,
65,社会の構造や変化から捉える医療,健康と医療,健康寿命を延ばすために生活者への積極的な働きかけを行うことができる。,,"B-01-04-na-02,C-05-08-na-01",
66,社会の構造や変化から捉える医療,健康と医療,バリヤフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる。,,B-01-06-na-01,「バリアフリー」の方が馴染みがある用語でしょうか。（鋪野）
67,社会の構造や変化から捉える医療,ジェンダーと医療,女性やLGBTに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる。,,B-04-01-na-06,
68,社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる。,,新規,
69,社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる。,,新規,
70,社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる。,,新規,
71,社会の構造や変化から捉える医療,哲学・倫理と医療,現代思想・哲学・倫理学の語彙を概説することができる。,,G-04-03-na-06,
72,社会の構造や変化から捉える医療,哲学・倫理と医療,診療現場における倫理的問題について適切に考えて対応できる。,"A-01-01-na-02,A-01-01-na-03",A-01-01-na-02,
73,社会の構造や変化から捉える医療,歴史と医学・医療,医学・医療の歴史的変遷について概説できる。,A-01-01-na-01,A-01-01-na-01,
74,社会の構造や変化から捉える医療,歴史と医学・医療,現代の医学的問題について過去の歴史を用いて相対化できる。,A-01-01-na-01,A-01-01-na-01,
75,国内外の視点から捉える医療,国内の医療職の役割や医療体制,医師法が定める医師の職権と義務を説明できる。,B-01-08-na-07,B-01-08-na-06,
76,国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療職を規定する法律・制度について概説できる。,B-01-08-na-06,新規,
77,,,,,,
78,国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療法が定める医療施設について概説できる。,"B-01-07-na-02,B-01-08-na-06",B-01-08-na-06,
79,,,,,,
80,国内外の視点から捉える医療,国内の医療職の役割や医療体制,地域医療計画について説明できる。,"B-01-07-na-02,B-01-08-na-06,A-07-01-na-02","A-07-01-na-02,B-01-07-na-02",
81,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に援助が必要とされる医療・健康課題の歴史・社会的背景を知る。,新設,新規,
82,,,,,,
83,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,グローバルヘルス領域での母子に関わる医療・健康問題について挙げることができる。,"B-01-09-na-01, D-10-03-na-07","B-01-09-na-01,D-10-03-na-07",
84,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に問題となっている感染症・非感染性疾患とその対策について概説できる。,B-01-09-na-01,B-01-09-na-01,
85,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,UHC(Universal health coverage)とは何かを概説し、各国の医療制度が抱える問題を例示できる。,B-01-09-na-01,B-01-09-na-01,
86,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,保健関連SDGや国際援助組織について概説できる。,B-01-09-na-01,B-01-09-na-01,
87,社会科学の視点から捉える医療,社会科学と医療との関係,社会科学（主に医療人類学や医療社会学）の基本的な視点・方法・理論を用いることができる。,B-04-01-na-01,,部会からの提案を一部修正した案を採用（春田）
88,社会科学の視点から捉える医療,社会科学と医療との関係,医療に関する諸事象をシステム論の観点から社会の諸制度との関わりのなかで捉え、構造的に説明できる。,B-04-01-na-08,,部会からの提案を一部修正した案を採用（春田）
89,社会科学の視点から捉える医療,社会科学と医療との関係,人びとの生活の場において健康・病気・死とそれらをめぐる医療がどのようにとらえられているかを探索することを通じて、予防医学や健康維持増進、在宅療養・入院・施設入所等の関係について総合的に考察できる。,B-04-01-na-02,,部会からの提案を一部修正した案を採用（春田）
