"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"1","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","①","妊娠悪阻","","","6","0","0","0","12","1","5","4","2","4"
"2","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","②","異所性妊娠","","","2","3","1","0","10","2","5","1","2","2"
"3","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","③","流産、切迫流産","","","3","3","0","0","8","2","1","3","2","切迫流産32、流産９"
"4","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","④","胞状奇胎","903","","1","1","4","0","4","","2","1","1","1"
"5","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","⑤","頸管無力症","","頸管縫縮術","0","1","5","0","1","","","","1","1"
"6","Ⅰ","周産期・小児","１","妊娠の異常","Ａ","妊娠初期の異常","⑥","不育症、習慣流産","926","","0","1","5","0","4","1","","2","1","1"
"7","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","①","ハイリスク妊娠","","","2","3","1","0","2","","1","","1","0"
"8","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","②","妊娠高血圧症候群、子癇、
HELLP症候群、加重型妊娠高血圧腎症","","高血圧合併、腎炎合併","3","3","0","0","28","5","11","9","3","1"
"9","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","③","多胎妊娠","","","1","2","3","0","3","1","1","","1","1"
"10","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","④","早産、切迫早産、前期破水","","","3","3","0","0","22","3","5","6","8","早産5、切迫 27、前期破水１"
"11","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑤","過期妊娠","","","0","3","3","0","0","","","","","0"
"12","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑥","血液型不適合妊娠","","","0","2","4","0","5","2","","2","1","1"
"13","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑦","羊水過多症、羊水過少症","","羊水指数<AFI>、羊水ポケット、Potter症候群","0","1","5","0","20","3","4","8","5","0"
"14","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑧","絨毛膜羊膜炎、頸管炎","","細菌性腟症","0","1","5","0","3","1","","1","1","0"
"15","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑨","常位胎盤早期剝離、前置胎盤、癒着胎盤","","","0","5","1","0","16","4","4","4","4","前置胎盤  1"
"16","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑩","臍帯卵膜付着、前置血管","","","0","0","6","0","0","","","","","0"
"17","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑪","臍帯過捻転","","","0","0","4","2","0","","","","","0"
"18","Ⅰ","周産期・小児","１","妊娠の異常","Ｂ","妊娠中・後期の異常","⑫","胎盤機能不全","","","1","0","5","0","1","","","1","","0"
"19","Ⅰ","周産期・小児","１","妊娠の異常","Ｃ","合併症妊娠","①","妊娠貧血、鉄欠乏性貧血","","","3","2","1","0","1","","","1","","4"
"20","Ⅰ","周産期・小児","１","妊娠の異常","Ｃ","合併症妊娠","②","妊娠糖尿病、糖尿病","1261","","4","1","1","0","10","2","3","1","4","11"
"21","Ⅰ","周産期・小児","１","妊娠の異常","Ｃ","合併症妊娠","③","甲状腺機能亢進症・低下症","1229, 1228を
参照","","3","2","1","0","0","","","","","0"
"22","Ⅰ","周産期・小児","１","妊娠の異常","Ｃ","合併症妊娠","④","免疫性血小板減少性紫斑病
<ITP>","755","","1","3","2","0","10","2","3","2","3","0"
"23","Ⅰ","周産期・小児","１","妊娠の異常","Ｃ","合併症妊娠","⑤","膠原病と類縁疾患","","","0","1","5","0","0","","","","","0"
"24","Ⅰ","周産期・小児","１","妊娠の異常","Ｄ","母子感染","①","HBV、HCV、HIV、HTLV-Ⅰ、パ
ルボウイルスB19（伝染性紅斑）、B群連鎖球菌、TORCH症","","","4","2","0","0","15","5","2","4","4","1"
"25","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ａ","前期破水","①","前期破水、早期破水","","","2","1","3","0","0","","","","","前期破水  １"
"26","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｂ","陣痛の異常","①","微弱陣痛、過強陣痛","","","1","2","3","0","7","3","1","1","2","2"
"27","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｃ","産道の異常","①","児頭骨盤不均衡<CPD>、狭骨盤、頸部子宮筋腫","","","0","2","4","0","4","1","1","2","","0"
"28","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｄ","胎位の異常","①","骨盤位、横位、斜位","","","0","1","5","0","1","","1","","","骨盤位3  斜位2"
"29","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｅ","回旋進入の異常","①","後方後頭位、低在横定位、高在縦定位、不正軸進入","","","0","1","5","0","4","1","","1","2","0"
"30","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｆ","胎盤の異常","①","癒着胎盤、胎盤嵌頓、胎盤形態異常","","","0","0","6","0","0","","","","","0"
"31","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｇ","臍帯の異常","①","臍帯巻絡、臍帯下垂、臍帯脱出、臍帯結節","","","0","0","6","0","8","","2","6","","0"
"32","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｈ","その他の難産","①","遷延分娩、分娩停止、多胎分娩、肩甲難産","","","0","0","5","1","1","","1","","","0"
"33","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｉ","分娩時裂傷","①","子宮破裂、頸管・腟・会陰裂傷","","帝王切開後分娩","0","2","4","0","7","1","2","3","1","0"
"34","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｊ","出血と産科ショック","①","弛緩出血、子宮内反症、羊水
塞栓症、血栓塞栓症、仰臥位低血圧症候群","","産科DIC、ショック指数<shock
index>","1","4","1","0","18","2","4","8","4","0"
"35","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｊ","出血と産科ショック","②","播種性血管内凝固<DIC>","763を参照","","3","2","1","0","0","","","","","2"
"36","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｋ","産褥の異常","①","子宮復古不全、産褥熱、恥骨結合離開","","","0","4","2","0","8","2","3","3","","0"
"37","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｋ","産褥の異常","②","乳腺炎、乳汁分泌不全","1311","","2","3","1","0","3","1","1","1","","0"
"38","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｋ","産褥の異常","③","産褥血栓症、肺塞栓症","","","0","3","3","0","0","","","","","(10)産褥？"
"39","Ⅰ","周産期・小児","２","分娩・産褥の異常","Ｋ","産褥の異常","④","産褥期精神障害","","","1","4","1","0","2","","","2","","0"
"40","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","①","胎児機能不全[non-reassuring
fetal status<NRFS>]","","ノンストレステスト<NST>、胎
児心拍数陣痛図<CTG>、
biophysical  profile","0","2","4","0","15","2","5","5","3","0"
"41","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","②","多胎、双胎間輸血症候群","","一児胎児死亡","0","3","3","0","6","2","2","1","1","0"
"42","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","③","胎児発育不全[fetal growth
restriction<FGR>]","","","0","2","4","0","14","1","4","7","2","2"
"43","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","④","溶血性疾患、血液型不適合妊娠","","","0","1","5","0","0","","","","","0"
"44","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","⑤","形態異常","","","0","0","5","1","0","","","","","29"
"45","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","⑥","胎児水腫・胸水・腹水","","","0","0","6","0","7","3","2","2","","0"
"46","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","⑦","貧血","","胎児母体間輸血症候群、胎児中大脳動脈最大血流速度","0","3","3","0","0","","","","","0"
"47","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","⑧","肺低形成","","","0","2","3","1","5","2","2","1","","0"
"48","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ａ","胎児異常","⑨","子宮内胎児死亡","","","0","4","2","0","2","","1","","1","1"
"49","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｂ","新生児仮死","①","新生児仮死","","Apgarスコア、臍帯動脈血液ガス","3","2","1","0","8","3","","2","3","2"
"50","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｃ","新生児の分類と異常","①","低出生体重児、早期産児","","","3","2","1","0","8","2","4","1","1","21"
"51","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｃ","新生児の分類と異常","②","過期産児","","","0","3","2","1","1","","1","","","0"
"52","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｃ","新生児の分類と異常","③","巨大児","","","0","3","3","0","2","","","","2","0"
"53","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｄ","新生児の呼吸障害","①","呼吸窮迫症候群<RDS>","","","3","2","1","0","6","","3","2","1","0"
"54","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｄ","新生児の呼吸障害","②","胎便吸引症候群<MAS>","","","1","3","2","0","6","","4","2","","0"
"55","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｄ","新生児の呼吸障害","③","一過性多呼吸","","","0","3","2","1","2","","1","1","","1"
"56","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｄ","新生児の呼吸障害","④","未熟児無呼吸発作","","","0","3","3","0","0","","","","","0"
"57","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｄ","新生児の呼吸障害","⑤","新生児慢性肺疾患","","Wilson-Mikity症候群","0","1","5","0","0","","","","","0"
"58","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｅ","新生児黄疸","①","高ビリルビン血症","","","3","2","1","0","5","1","2","","2","2"
"59","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｅ","新生児黄疸","②","新生児溶血性疾患","","","1","3","2","0","1","","","","1","0"
"60","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｆ","新生児のけいれん","①","低血糖、低カルシウム血症","","","1","4","1","0","2","","1","1","","低血糖１、低カルシウム血症0"
