H28ID,理由・コメント,山脇コメント
E-03-01-na-02,削除された,
D-05-04-08-02,word明記が無かった,234に追記
D-06-01-na-09,word明記が無かった,246に記載あり
D-06-03-01-01,word明記が無かった,削除
E-03-03-na-05,削除された,
D-06-04-08-04,word明記が無かった,252に記載あり、252は新設ではありません
D-07-04-08-11,削除された,
D-08-04-08-02,削除された,
D-09-04-02-06,削除された,
E-02-02-na-02,削除された,
E-02-02-na-03,削除された,
E-02-02-na-04,削除された,
E-02-02-na-05,word明記が無かった,削除
E-02-02-na-08,word明記が無かった,削除
E-02-04-01-01,削除された,
E-02-04-01-02,削除された,
E-02-04-01-03,削除された,
E-02-04-01-04,削除された,
E-02-04-01-05,削除された,
E-02-04-01-06,削除された,
E-02-04-01-07,削除された,
E-02-04-01-08,削除された,
E-02-04-01-09,削除された,
E-02-04-01-10,削除された,
E-02-04-02-01,削除された,
E-02-04-02-02,削除された,
E-02-04-02-03,削除された,
E-02-04-02-04,削除された,
E-02-04-02-05,削除された,
E-02-04-02-06,削除された,
E-02-04-02-07,削除された,
E-02-04-02-08,削除された,
E-02-04-02-09,削除された,
E-02-04-02-10,削除された,
E-02-04-02-11,削除された,
E-02-04-02-12,削除された,
E-02-04-02-13,削除された,
E-02-04-03-01,削除された,
E-02-04-03-02,削除された,
E-02-04-03-03,削除された,
E-02-04-03-04,削除された,
E-02-04-04-01,削除された,
E-02-04-04-02,削除された,
E-02-04-04-03,削除された,
E-02-04-04-04,削除された,
E-02-01-na-01,word明記が無かった,削除
"C-02-03-03-01,C-02-03-03-02",word明記が無かった,
C-02-03-03-03,word明記が無かった,
"C-02-01-02-03,C-02-01-02-04",word明記が無かった,
"C-03-02-01-03,C-03-02-01-04",削除された,
C-03-02-03-01,削除された,
C-03-02-03-02,削除された,
C-03-01-01-01,word明記が無かった,
"C-03-01-02-01,C-03-01-02-02,C-03-01-02-03",word明記が無かった,
C-03-01-03-03,word明記が無かった,
C-03-01-04-01,word明記が無かった,編集あり
"C-03-01-04-05,C-03-01-04-07,C-03-01-04-08",word明記が無かった,1項目の内容が多くなりすぎており要検討(近藤)
C-03-03-01-01,word明記が無かった,
C-03-03-01-03,word明記が無かった,
C-03-03-02-02,word明記が無かった,
C-03-03-02-03,word明記が無かった,他の文言と揃え「皮膚」⇒「経皮」、「直腸」 ⇒「経直腸」でしょうか。（資料「医学教育指導者のためのWSの事前アンケートで出た意見まとめ」より引用）（鋪野）
C-03-03-03-01,word明記が無かった,
