id2,id3,text3,disc3
A-01,A-01-01,医の倫理と生命倫理,
A-01,A-01-02,患者中心の視点,
A-01,A-01-03,医師としての責務と裁量権,
A-02,A-02-01,課題探求・解決能力,
A-02,A-02-02,学修の在り方,
A-03,A-03-01,全人的実践的能力,
A-04,A-04-01,コミュニケーション,
A-04,A-04-02,患者と医師の関係,
A-05,A-05-01,患者中心のチーム医療,
A-06,A-06-01,安全性の確保,
A-06,A-06-02,医療上の事故等への対処と予防,
A-06,A-06-03,医療従事者の健康と安全,
A-07,A-07-01,地域医療への貢献,
A-07,A-07-02,国際医療への貢献,
A-08,A-08-01,医学研究への志向の涵養,
A-09,A-09-01,生涯学習への準備,
B-01,B-01-01,統計の基礎,
B-01,B-01-02,統計手法の適用,
B-01,B-01-03,根拠に基づいた医療<EBM>,
B-01,B-01-04,疫学と予防医学,
B-01,B-01-05,生活習慣とリスク,
B-01,B-01-06,社会・環境と健康,
B-01,B-01-07,地域医療・地域保健,
B-01,B-01-08,保健・医療・福祉・介護の制度,
B-01,B-01-09,国際保健,
B-02,B-02-01,死と法,
B-02,B-02-02,診療情報と諸証明書,
B-03,B-03-01,倫理規範と実践倫理,
B-04,B-04-01,医師に求められる社会性,
C-01,C-01-01,生命の最小単位-細胞,
C-01,C-01-02,生物の進化,
C-02,C-02-01,細胞の構成と機能,
C-02,C-02-02,組織・各臓器の構成、機能と位置関係,
C-02,C-02-03,個体の調節機構とホメオスタシス,
C-02,C-02-04,個体の発生,
C-02,C-02-05,生体物質の代謝,
C-03,C-03-01,生体と微生物,
C-03,C-03-02,免疫と生体防御,
C-03,C-03-03,生体と薬物,
C-04,C-04-01,遺伝的多様性と疾患,
C-04,C-04-02,細胞傷害・変性と細胞死,
C-04,C-04-03,代謝障害,
C-04,C-04-04,循環障害、臓器不全,
C-04,C-04-05,炎症と創傷治癒,
C-04,C-04-06,腫瘍,
C-05,C-05-01,人の行動,
C-05,C-05-02,行動の成り立ち,
C-05,C-05-03,動機付け,
C-05,C-05-04,ストレス,
C-05,C-05-05,生涯発達,
C-05,C-05-06,個人差,
C-05,C-05-07,対人関係と対人コミュニケーション,
C-05,C-05-08,行動変容における理論と技法,
D-01,D-01-01,構造と機能,
D-01,D-01-02,診断と検査の基本,
D-01,D-01-03,症候,
D-01,D-01-04,疾患,
D-02,D-02-01,構造と機能,
D-02,D-02-02,診断と検査の基本,
D-02,D-02-03,症候,
D-02,D-02-04,疾患,
D-03,D-03-01,構造と機能,
D-03,D-03-02,診断と検査の基本,
D-03,D-03-03,症候,
D-03,D-03-04,疾患,
D-04,D-04-01,構造と機能,
D-04,D-04-02,診断と検査の基本,
D-04,D-04-03,症候,
D-04,D-04-04,疾患,
D-05,D-05-01,構造と機能,
D-05,D-05-02,診断と検査の基本,
D-05,D-05-03,症候,
D-05,D-05-04,疾患,
D-06,D-06-01,構造と機能,
D-06,D-06-02,診断と検査の基本,
D-06,D-06-03,症候,
D-06,D-06-04,疾患,
D-07,D-07-01,構造と機能,
D-07,D-07-02,診断と検査の基本,
D-07,D-07-03,症候,
D-07,D-07-04,疾患,
D-08,D-08-01,構造と機能,
D-08,D-08-02,診断と検査の基本,
D-08,D-08-03,症候,
D-08,D-08-04,疾患,
D-09,D-09-01,構造と機能,
D-09,D-09-02,診断と検査の基本,
D-09,D-09-03,症候,
D-09,D-09-04,疾患,
D-10,D-10-01,診断と検査の基本,
D-10,D-10-02,症候,
D-10,D-10-03,正常妊娠・分娩・産褥,
D-10,D-10-04,疾患,
D-10,D-10-05,産科手術,
D-11,D-11-01,構造と機能,
D-11,D-11-02,診断と検査の基本,
D-11,D-11-03,症候,
D-11,D-11-04,疾患,
D-12,D-12-01,構造と機能,
D-12,D-12-02,診断と検査の基本,
D-12,D-12-03,症候,
D-12,D-12-04,疾患,
D-13,D-13-01,構造と機能,
D-13,D-13-02,診断と検査の基本,
D-13,D-13-03,症候,
D-13,D-13-04,疾患,
D-14,D-14-01,構造と機能,
D-14,D-14-02,診断と検査の基本,
D-14,D-14-03,症候,
D-14,D-14-04,疾患,
D-15,D-15-01,診断と検査の基本,
D-15,D-15-02,症候,
D-15,D-15-03,疾患・障害,
E-01,E-01-01,遺伝医療・ゲノム医療と情報の特性,
E-02,E-02-01,病態,
E-02,E-02-02,診断・検査・治療の基本,
E-02,E-02-03,症候,
E-02,E-02-04,疾患,
E-03,E-03-01,定義・病態,
E-03,E-03-02,診断,
E-03,E-03-03,治療,
E-03,E-03-04,診療の基本的事項,
E-03,E-03-05,各論,
E-04,E-04-01,診断と検査の基本,
E-04,E-04-02,症候,
E-04,E-04-03,病態と疾患,
E-05,E-05-01,診断と検査の基本,
E-05,E-05-02,症候,
E-05,E-05-03,疾患,
E-06,E-06-01,生体と放射線,
E-06,E-06-02,医療放射線と生体影響,
E-06,E-06-03,放射線リスクコミュニケーション,
E-06,E-06-04,放射線災害医療,
E-07,E-07-01,胎児・新生児,
E-07,E-07-02,乳幼児,
E-07,E-07-03,小児期全般,
