第1層,第2層,第3層,第4層,H28ID
プロフェッショナリズム,信頼,省察,他者からのフィードバックを受け入れられるにはどのような心持ちでいればよいか？,
プロフェッショナリズム,思いやり,思いやりと利他,利己と利他をどのように両立させるか？,
プロフェッショナリズム,思いやり,思いやりと利他,自分自身の精神的・身体的健康をどのように管理すればよいか？,
プロフェッショナリズム,思いやり,品格・礼儀,礼儀正しく振る舞うにはどのように行動すればよいか？,
プロフェッショナリズム,思いやり,品格・礼儀,医師に求められる品格とは何か？,
プロフェッショナリズム,社会正義,医療資源の公平な分配,医療資源を公平に分配するにはどのように行動すればよいか？（保留）,
プロフェッショナリズム,社会正義,社会的弱者への配慮,社会的弱者とはどのような人たちを指すのか？,
プロフェッショナリズム,社会正義,社会的弱者への配慮,社会的弱者の健康問題を解決するためにどのように行動すればよいか？,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,臓器横断的に医学的課題を捉えることができる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,適切な医療機関や診療科につなぐ重要性について概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,未分化で多様かつ複雑な健康問題を概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,臓器横断的な診療,多疾患併存や複数臓器にまたがる疾患のパターンや介入方法を概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,生物・心理・社会的な問題への包括的な視点,性別、国籍、障害、宗教など多様な背景を持つ患者の価値観を尊重できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,生物・心理・社会的な問題への包括的な視点,トラウマインフォームドケアの対応について概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,患者中心の医療,医療の継続性を概説できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,根拠に基づいた医療<EBM>,得られたエビデンスを目の前の患者に適用できる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,行動科学,医療者や患者・生活者のバイアスの存在を踏まえ、医療行動経済学の視点からバイアスを考慮したコミュニケーションをとることができる。,
総合的に患者・生活者をみる姿勢,全人的な視点とアプローチ,行動科学,人々の行動予測を踏まえ、医療行動経済学の視点から望ましい選択肢を選びやすくなるような仕組みを提案できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断しながら診療を行うことができる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,地域の健康問題の文化的背景を理解し、言語や文化の障壁を乗り越えた診療対応について説明できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,プライマリ・ケアにおける基本概念,患者の診療において、患者の所属する地域、背景集団に対するケアの視点を取り入れた診療を行うことができる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,地域の医療提供体制に基づき、診療機関の規模・役割に応じた柔軟な医療を提供する。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,患者の居住する地域の頻度の高い疾病(コモンディジーズ)について罹患率、有病率などの指標を用いて概説できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,患者の居住する地域について医療以外も含めた客観的指標や観察を通して、地域の健康課題を特定し、地域社会のリソースを活用しながらその改善計画を提示できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,患者の居住する地域の頻度で高い疾病(コモンディジーズ)についてプライマリ・ケアの対応を説明できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,地域におけるプライマリ・ケア,新興感染症のような地域全体の医療問題が起きた際に、専門領域を超えて地域医療で必要な医療を提供できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,人的・物的資源を利活用して医療・サービスを提供できる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,離島・へき地や医師不足地域等の医療資源が限られた状況で有効な Point-of-Care 検査等の医療提供方法を状況に応じて創意工夫して対応することができる。,
総合的に患者・生活者をみる姿勢,地域の視点とアプローチ,医療資源に応じたプライマリ・ケア,離島・へき地や医師不足地域等の医療資源が限られた状況での医療に積極的に貢献することができる。,
総合的に患者・生活者をみる姿勢,社会の視点とアプローチ,医学的・文化的・社会的文脈における健康,患者が受療に至るまでにどのような過程があるかを生活者の視点から説明できる。,
生涯にわたって共に学ぶ姿勢,医療の質と患者安全,医療の質,品質改善の手法を用いて医療を改善する,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の意義と方略,個人として、チームとして成長するための協働学習を経験する,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の意義と方略,インストラクショナルデザインの基本的な枠組みを理解し、それを実践できる,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の意義と方略,フィードバックについての基本的な枠組みを理解し、それを実践できる,
生涯にわたって共に学ぶ姿勢,医療者教育,医療者教育の意義と方略,成人学習理論の基本的な枠組みを理解し、それを意識した教育を提供できる,
科学的探究,リサーチマインド,能動的姿勢,常識を疑う姿勢を持つ,
科学的探究,リサーチマインド,能動的姿勢,何事にも知的好奇心を持って取り組む,
科学的探究,リサーチマインド,探究心,最先端の研究に刺激を受ける,
科学的探究,既知の知,医学と医療,これまでの医学研究の蓄積によって現在の医療が成り立っていることを体感する,
科学的探究,既知の知,医学と医療,基礎医学・臨床医学・社会医学のそれぞれの特徴を理解できる,
科学的探究,既知の知,論文読解,医学論文を読んである程度内容を理解できる,
科学的探究,既知の知,論文読解,英語の論文を読むことに抵抗がなくなる,
科学的探究,研究の実施,研究結果,研究データを適切に管理することができる,
科学的探究,研究の発信,研究発表,発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる,
専門知識に基づいた問題解決能力,基礎医学,生命現象の科学,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,酵素の機能と調節を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の構成と機能,複合糖質、複合脂質について概説できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,生体各部の細菌叢（マイクロバイオーム）の構成菌、細菌叢の機能について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,逆転写酵素を持つRNAウイルスの特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,微生物の特性に応じた治療薬の作用機序について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,微生物感染症に対するワクチンの原理、種類とそれに対する問題点を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,人獣共通感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,昆虫媒介性感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,補体および自然免疫細胞が病原体により活性化し、炎症をおこす仕組みを説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,B細胞の活性化による抗体産生の機構、および抗体の役割を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,自然免疫系を構成する主な細胞とそれらの活性化機構（TLR受容体など）を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,抗原提示細胞の種類と役割、抗原提示機構について説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,生体（あるいは生体群）の薬物・毒物反応性について、用量反応曲線を描き説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,薬物の有害作用、薬物間相互作用を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,分子標的薬、バイオ医薬を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,個体の反応,薬物開発のプロセスと、臨床試験における薬物の評価をを説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,癌の免疫系による排除機構を説明できる。,
専門知識に基づいた問題解決能力,基礎医学,病因と病態,癌のゲノム診断を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,生殖機能,生殖機能に関する疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,乳房,乳房疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,内分泌・栄養・代謝系,内分泌・栄養・代謝系疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,眼・視覚系,眼・視覚系疾患に特異的な治療法について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,人体各器官の正常構造と機能、病態、診断、治療,精神系,精神系の構造と機能について基本的事項を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,敗血症（sepsis）と血流感染の相違を理解し、病態を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,発熱患者への基本検査（血液培養2セット、尿検査・尿培養、胸部X線）を理解し説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬投与の原則（抗菌薬投与前に培養検体を提出する、微生物と臓器による標準薬を選択し投与期間を設定する）を理解し説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬の初期治療（エンピリック治療）について理解し説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,抗菌薬の最適治療（標的治療）について理解し説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,感染症,咽頭痛,
