項目,数
プロフェッショナリズム-第4層,15
総合的に患者・生活者をみる姿勢-第4層,75
生涯にわたって共に学ぶ姿勢-第4層,6
科学的探究-第4層,18
専門知識に基づいた問題解決能力-第4層,268
情報・科学技術を活かす能力-第4層,13
患者ケアのための診療技能-第4層,102
コミュニケーション能力-第4層,20
多職種連携能力-第4層,11
社会における医療の役割の理解-第4層,57
[別表]身体診察,26
[別表]主要な臨床・画像検査,25
[別表]基本的臨床手技,21
[別表]主要診療科,20
[別表]主要症候,37
[別表]疾患,795
[別表]血液・造血器・リンパ系,23
[別表]神経系,37
[別表]皮膚系,14
[別表]運動器（筋骨格）系,18
[別表]循環器系,33
[別表]呼吸器系,26
[別表]消化器系,34
[別表]腎・尿路系（体液・電解質バランスを含む）,19
[別表]生殖器系,26
[別表]妊娠と分娩,16
[別表]小児,25
[別表]乳房,9
[別表]内分泌・栄養・代謝系,18
[別表]眼・視覚系,19
[別表]耳鼻・咽喉・口腔系,27
[別表]精神系,19
[別表]救急系（中毒・環境因子による疾患を含む）,11
[別表]免疫・アレルギー,12
[別表]感染症,25
[別表]腫瘍,5
合計,1925
