日本語,略語,英語,説明
後天性免疫不全症候群,AIDS,Acquired immunodeficiency syndrome,
日常生活動作,ADL,Activities of daily living,
急性腎障害,AKI,Acute kidney injury,
急性呼吸窮迫症候群,ARDS,Acute respiratory distress syndrome,
,AYA,Adolescent and young adult,
アルファフェトプロテイン,AFP,Alpha-fetoprotein,
薬剤耐性,AMR,Antimicrobial resistance,
ボディマス指数,BMI,Body mass index,
簡易精神症状評価尺度,BPRS,Brief psychiatric rating scale,
,CA19-9,Carbohydrate antigen 19-9,
癌胎児性抗原,CEA,Carcinoembryonic antigen,
慢性腎臓病,CKD,Chronic kidney disease,
,CPC,Clinico-pathological conference,
ゲノム編集技術,CRISPR-Cas 9,Clustered regularly interspaced short palindromic repeats-Cas 9,
高齢者総合機能評価,CGA,Comprehensive geriatric assessment,
コンピュータ断層撮影,CT,Computed tomography,
細胞傷害性T細胞,CTL,Cytotoxic T lymphocyte,
デオキシリボ核酸,DNA,Deoxyribonucleic acid,
播種性血管内凝固,DIC,Disseminated intravascular coagulation,
根拠に基づく医療,EBM,Evidence-based medicine,
卵胞刺激ホルモン,FSH,Follicle-stimulating hormone,
胃食道逆流症,GERD,Gastroesophageal reflux disease,
ヘルパーT細胞,Th cell,Helper T cell,
ヒト絨毛性ゴナドトロピン,hCG,Human chorionic gonadotropin,
ヒト免疫不全ウイルス,HIV,Human immunodeficiency virus,
情報通信技術,ICT,Information and communication technology,
国際生活機能分類,ICF,"International Classification of Functioning, Disability and Health",
疾病及び関連保健問題の国際統計分類,ICD,International statistical classification of diseases and related health problems,
若年性特発性関節炎,JIA,Juvenile idiopathic arthritis,
,LGBT,"Lesbian, gay, bisexual, transgender",
黄体形成ホルモン,LH,Luteinizing hormone,
磁気共鳴画像,MRI,Magnetic resonance imaging,
主要組織適合遺伝子複合体,MHC,major histocompatibility complex,
メチシリン耐性黄色ブドウ球菌,MRSA,Methicillin‐resistant Staphylococcus aureus,
精神状態短時間検査,MMSE,Mini-mental state examination,
,M&M,Mortality & morbidity,
栄養サポートチーム,NST,Nutrition support team,
,PECO,"Patient, population, problem, exposure, comparison, outcome",
,PICO,"Patient, population, problem, intervention, comparison, outcome",
陽電子放出断層撮影,PET,Positron emission tomography,
問題志向型医療記録,POMR,Problem-oriented medical record,
,PIVKA-Ⅱ,Protein induced by vitamin K absence or antagonist Ⅱ,
制御性T細胞,Treg,regulatory T cell,
リボ核酸,RNA,Ribonucleic acid,
敗血症,,Sepsis,
標準予防策,,Standard precautions,
状態特性不安検査,STAI,State-trait anxiety inventory,
主観的所見・客観的所見・評価・計画,SOAP,"Subjective, objective, assessment, plan",
保健関連の持続可能な開発目標,SDGs,Sustainable development goals,
全身性エリテマトーデス,SLE,Systemic lupus erythematosus,
ユニバーサル・ヘルス・カバレッジ,UHC,Universal health coverage,
