No,日本語,略語,フルスペル,意味,出典,備考
1.0,後天性免疫不全症候群,AIDS,Acquired immunodeficiency syndrome,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
2.0,日常生活動作,ADL,Activities of daily living,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
3.0,急性腎障害,AKI,Acute kidney injury,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：AKI（急性腎障害）診療ガイドライン2016　東京医学社　2016年12月20日
4.0,急性呼吸窮迫症候群,ARDS,Acute respiratory distress syndrome,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：ARDS診療ガイドライン2016　総合医学社　東京　2017年2月10日（第１版第2刷）
5.0,思春期・若年成人,AYA,Adolescent and young adult,15歳から39歳,厚生労働省 小児がん拠点病院等の指定要件の見直しに関する報告書 https://www.mhlw.go.jp/stf/shingi2/0000190029_00003.html 平成30年7月31日,
6.0,アルファフェトプロテイン,AFP,Alpha-fetoprotein,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
7.0,薬剤耐性,AMR,Antimicrobial resistance,,厚生労働省 薬剤耐性（AMR）対策について　https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000120172.html,
8.0,ボディマス指数,BMI,Body mass index,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
9.0,簡易精神症状評価尺度,BPRS,Brief psychiatric rating scale,,日本精神科評価尺度研究会　http://jsprs.org/scales/bprs.html,
10.0,,CA19-9,Carbohydrate antigen 19-9,,,
11.0,癌胎児性抗原,CEA,Carcinoembryonic antigen,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
12.0,慢性腎臓病,CKD,Chronic kidney disease,,,エビデンスに基づくCKD診療ガイドライン2018　東京医学社
13.0,,CPC,Clinico-pathological conference,,,
14.0,ゲノム編集技術,CRISPR-Cas 9,Clustered regularly interspaced short palindromic repeats-Cas 9,,,
15.0,高齢者総合機能評価,CGA,Comprehensive geriatric assessment,,,
16.0,コンピュータ断層撮影,CT,Computed tomography,,,
17.0,細胞傷害性T細胞,CTL,Cytotoxic T lymphocyte,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
18.0,デオキシリボ核酸,DNA,Deoxyribonucleic acid,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
19.0,播種性血管内凝固,DIC,Disseminated intravascular coagulation,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
20.0,根拠に基づく医療,EBM,Evidence-based medicine,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
21.0,卵胞刺激ホルモン,FSH,Follicle-stimulating hormone,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
22.0,胃食道逆流症,GERD,Gastroesophageal reflux disease,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
23.0,ヘルパーT細胞,Th cell,Helper T cell,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
24.0,ヒト絨毛性ゴナドトロピン,hCG,Human chorionic gonadotropin,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
25.0,ヒト免疫不全ウイルス,HIV,Human immunodeficiency virus,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
26.0,情報通信技術,ICT,Information and communication technology,,,
27.0,国際生活機能分類,ICF,"International Classification of Functioning, Disability and Health",,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
28.0,疾病及び関連保健問題の国際統計分類,ICD,International statistical classification of diseases and related health problems,,,
29.0,若年性特発性関節炎,JIA,Juvenile idiopathic arthritis,,難病情報センター　若年性特発性関節炎（指定難病１０７） https://www.nanbyou.or.jp/entry/3946,
30.0,,LGBT,"Lesbian, gay, bisexual, transgender",,,
31.0,黄体形成ホルモン,LH,Luteinizing hormone,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
32.0,磁気共鳴画像,MRI,Magnetic resonance imaging,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
33.0,主要組織適合遺伝子複合体,MHC,major histocompatibility complex,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし
34.0,メチシリン耐性黄色ブドウ球菌,MRSA,Methicillin‐resistant Staphylococcus aureus,,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,
35.0,精神状態短時間検査,MMSE,Mini-mental state examination,,,
36.0,,M&M,Mortality & morbidity,,,
37.0,栄養サポートチーム,NST,Nutrition support team,,,
38.0,,PECO,"Patient, population, problem, exposure, comparison, outcome",,,
39.0,,PICO,"Patient, population, problem, intervention, comparison, outcome",,,
40.0,陽電子放出断層撮影,PET,Positron emission tomography,,,
41.0,問題志向型医療記録,POMR,Problem-oriented medical record,,,
42.0,,PIVKA-Ⅱ,Protein induced by vitamin K absence or antagonist Ⅱ,,,
43.0,制御性T細胞,Treg,regulatory T cell,,,
44.0,リボ核酸,RNA,Ribonucleic acid,,,
45.0,敗血症,,Sepsis,,,
46.0,標準予防策,,Standard precautions,,,
47.0,状態特性不安検査,STAI,State-trait anxiety inventory,,,
48.0,主観的所見・客観的所見・評価・計画,SOAP,"Subjective, objective, assessment, plan",,,
49.0,保健関連の持続可能な開発目標,SDGs,Sustainable development goals,,,
50.0,全身性エリテマトーデス,SLE,Systemic lupus erythematosus,,,
51.0,ユニバーサル・ヘルス・カバレッジ,UHC,Universal health coverage,,,
