臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
乳房,構造と機能,乳房の構造と機能,D-11-01-na-01,,,,,,,,,,,,,
乳房,構造と機能,成長発達に伴う乳房の変化,D-11-01-na-02,,,,,,,,,,,,,
乳房,構造と機能,乳汁分泌に関するホルモンの作用を説明できる。,D-11-01-na-03,,,,,,,,,,,,,
乳房,症状・症候,乳房腫瘤,"D-11-03-na-01,D-11-04-01-02",,,,,,,,,,,,,
乳房,症状・症候,異常乳汁分泌（血性乳頭分泌）,"D-11-03-na-01,D-11-04-01-02",,,,,,,,,,,,,
乳房,症状・症候,乳房の腫脹・疼痛・変形,"D-11-03-na-01,D-11-04-01-02",,,,,,,,,,,,,
乳房,症状・症候,女性化乳房,"D-11-03-na-01,D-11-04-01-02",,,,,,,,,,,,,
乳房,検査方法,乳房腫瘤に対する画像診断（超音波検査・マンモグラフィー・MRI）,D-11-02-na-01,,マンモグラフィー,,,,,,マンモグラフィーはマンモグラフィと記載,,,,,
乳房,検査方法,乳房腫瘤に対する細胞・組織診断法,D-11-02-na-02,,,,,,,,,,,,,
乳房,特異的治療法,※現時点で該当項目なし,,,,,,,,,,,,,,
乳房,疾患・病態,良性乳腺疾患（乳腺炎・乳腺症）,D-11-04-01-01,,（乳腺炎・乳腺症）の表記,,,,,,,,,,,
乳房,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,,D-11-04-02-01,,E-3腫瘍へ移動,,,,,,,,,,
