臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
内分泌・栄養・代謝系,構造と機能,ホルモンの構造的分類、作用機序および分泌調節機能,D-12-01-na-01,D-12-01-na-02,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,視床下部ホルモン・下垂体ホルモンの名称、作用と相互関係,D-12-01-na-03,D-12-02-na-04,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,甲状腺と副甲状腺(上皮小体)から分泌されるホルモンの作用と分泌調節機構,D-12-01-na-04,,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,副腎の構造と分泌されるホルモンの作用と分泌調節機構,D-12-01-na-05,,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,膵島から分泌されるホルモンの作用,D-12-01-na-06,,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,男性ホルモン・女性ホルモンの合成・代謝経路と作用,D-12-01-na-07,,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,D-12-01-na-08,,,C-04-03との調整必要,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,糖質・タンパク質・脂質の代謝経路と相互作用,D-12-01-na-09,,,,,,,,,,,,,
内分泌・栄養・代謝系,構造と機能,血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,"D-12-02-na-02,D-12-02-na-03",,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,体重減少,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,体重増加,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,月経異常,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,低身長,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,甲状腺腫,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,ホルモンの過剰または欠乏がもたらす身体症状,,,,,,,,,,,,,,
内分泌・栄養・代謝系,症状・症候,エネルギー摂取の過剰または欠乏がもたらす身体症状,,,,,,,,,,,,,,
内分泌・栄養・代謝系,検査方法,血中・尿中ホルモン測定,,,①血中・尿中ホルモン測定,,,,,,,,,,,
内分泌・栄養・代謝系,検査方法,内分泌機能検査、負荷試験,,,②内分泌機能検査、負荷試験,,,,,,,,,,,
内分泌・栄養・代謝系,特異的治療法,※現時点でなし,,,,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,間脳・下垂体疾患：先端巨大症、Cushing病、高プロラクチン血症、下垂体前葉機能低下症、視床下部下垂体炎、中枢性尿崩症、抗利尿ホルモン不適合分泌症候群<SIADH>、下垂体腫瘍,"D-12-04-01-01,D-12-04-01-02, D-12-04-01-03, D-12-04-01-04, D-12-04-01-06, D-12-04-01-07",,下垂体腫瘍,下垂体前葉機能低下症、視床下部下垂体炎は汎下垂体機能低下症を差し替え,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,甲状腺疾患：甲状腺機能亢進症、甲状腺機能低下症、甲状腺炎（慢性・無痛性・亜急性）,"D-12-04-02-01, D-12-04-02-02, D-12-04-02-03",,無痛性,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,副甲状腺疾患：副甲状腺機能亢進症、副甲状腺機能低下症、悪性腫瘍に伴う高カルリウム血症,"D-12-04-03-01,D-12-04-03-02,D-12-04-03-03,D-12-04-03-04","D-12-04-03-01,D-12-04-03-04",,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,副腎皮質・髄質疾患：Cushing 症候群、アルドステロン過剰症、原発性アルドステロン症、副腎不全(急性・慢性<Addison 病>),"D-12-04-04-01, D-12-04-04-02, D-12-04-04-03",,,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,糖代謝異常：1型糖尿病、2型糖尿病、糖尿病の急性期合併症（糖尿病ケトアシドーシス・高血糖高浸透圧症候群・乳酸アシドーシス）、糖尿病の慢性合併症（網膜症・腎症・神経障害、足病変）、低血糖症,"D-12-04-05-01, D-12-04-05-02, D-12-04-05-03, D-12-04-05-04, D-12-04-05-05",,合併症の詳細項目,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,脂質代謝異常：脂質異常症、肥満症,"D-12-04-06-01,D-12-04-06-02",,肥満症,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,ビタミン・核酸・その他の代謝異常：ビタミン欠乏症、高尿酸血症・痛風、全身性アミロイドーシス,"D-12-04-07-01,D-12-04-07-02,D-12-04-08-01,D-12-04-09-01,D-12-04-09-02,D-12-04-09-03","D-12-04-07-01,D-12-04-07-02, D-12-04-09-01,D-12-04-09-02,D-12-04-09-03",全身性アミロイドーシス,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,小児疾患：成長ホルモン分泌不全型低身長、先天性副腎皮質過形成,"D-12-04-01-05, D-12-04-04-04",,,,,,,,,,,,,
内分泌・栄養・代謝系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,"D-12-04-10-01,D-12-04-10-02,D-12-04-10-03","D-12-04-10-01,D-12-04-10-02,D-12-04-10-03",,,,,,,,,,,,
