臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
呼吸器系,構造と機能,気道の構造、肺葉・肺区域と肺門の構造,D-06-01-na-01,,,,,,,,,,,,,
呼吸器系,構造と機能,肺循環と体循環の違い,D-06-01-na-02,,,,,,,,,,,,,
呼吸器系,構造と機能,縦隔と胸膜腔の構造,D-06-01-na-03,,,,,,,,,,,,,
呼吸器系,構造と機能,呼吸筋と呼吸運動の機序,D-06-01-na-04,,,,,,,,,,,,,
呼吸器系,構造と機能,肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））,D-06-01-na-05,,,,,,,,,,,,,
呼吸器系,構造と機能,肺胞におけるガス交換と血流の関係,D-06-01-na-06,,,,,,,,,,,,,
呼吸器系,構造と機能,肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）,D-06-01-na-07,,,,,,,,,,,,,
呼吸器系,構造と機能,呼吸中枢を介する呼吸調節の機序,D-06-01-na-08,,,,,,,,,,,,,
呼吸器系,構造と機能,血液による酸素 と二酸化炭素 の運搬の仕組み,D-06-01-na-09,,,,,,,,,,,,,
呼吸器系,構造と機能,気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能,D-06-01-na-10,,,,,,,,,,,,,
呼吸器系,症状・症候,胸痛,"D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」",,そもそもグループの記載ガイドに従う,,,,,,,,,,
呼吸器系,症状・症候,呼吸困難,"D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」",,そもそもグループの記載ガイドに従う,,,,,,,,,,
呼吸器系,症状・症候,咳・痰,"D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」",,そもそもグループの記載ガイドに従う,,,,,,,,,,
呼吸器系,症状・症候,血痰・喀血,"D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」",,そもそもグループの記載ガイドに従う,,,,,,,,,,
呼吸器系,症状・症候,喘鳴,"D-06-03-01-01,D-06-04-01-01,D-06-04-01-02",,"D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）",D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）,,,,,,,,,,
呼吸器系,症状・症候,胸部圧迫感,"D-06-03-01-01,D-06-04-01-01,D-06-04-01-02",,"D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）",D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）,,,,,,,,,,
呼吸器系,症状・症候,呼吸数・リズムの異常,"D-06-03-01-01,D-06-04-01-01,D-06-04-01-02",,"D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）",D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）,,,,,,,,,,
呼吸器系,症状・症候,胸水,"D-06-03-01-01,D-06-04-01-01,D-06-04-01-02",,"D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）",D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）,,,,,,,,,,
呼吸器系,検査方法,喀痰検査（喀痰細胞診・喀痰培養）,D-06-02-na-03,,,,,,,,,,,,,
呼吸器系,検査方法,胸水検査、胸膜生検,D-06-04-08-04,,,,,,,,,,,,,
呼吸器系,検査方法,呼吸機能検査（スパイロメトリ・肺拡散能力・flow-volume曲線）、動脈血ガス分析、ポリソムノグラフィ、ピークフローメトリ,,,新設,,,,,,,,,,,
呼吸器系,検査方法,画像検査（単純エックス線撮影・CT・MRI）、核医学検査（ポジトロン断層法(positron emission tomography <PET>),D-06-02-na-01,,,,,,,,,呼吸器疾患でのMRIの利用は稀∴割愛,,,,
呼吸器系,検査方法,気管支内視鏡検査,D-06-02-na-02,,,,,,,,,,,,,
呼吸器系,特異的治療法,呼吸器理学療法・リハビリテーション,,,新設,医師国家試験ガイドラインの記載に準拠,,,,,,,,,,
