臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
妊娠と分娩,構造と機能,妊娠・分娩・産褥での母体の解剖学的と生理学的変化,D-10-03-na-01,,,,,,,,,,,,,
妊娠と分娩,構造と機能,胎児・胎盤系の発達過程での機能・形態的変化,D-10-03-na-02,,,D-05-01-na-05との重複検討,,,,,,,,,,
妊娠と分娩,構造と機能,正常妊娠の経過（妊娠に伴う身体的変化を含む）,"D-10-03-na-03,D-10-01-na-02",,,,,,,,,,,,,
妊娠と分娩,構造と機能,正常分娩の経過,D-10-03-na-04,,,,,,,,,,,,,
妊娠と分娩,構造と機能,産褥の過程,D-10-03-na-05,,,,,,,,,,,,,
妊娠と分娩,構造と機能,育児に伴う母体の変化、精神問題および母子保健,"D-10-03-na-06, D-10-03-na-07",,,,,,,,,,,,,
妊娠と分娩,症状・症候,腹痛,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,,,,,,,,,,,
妊娠と分娩,症状・症候,悪心・嘔吐,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,,,,,,,,,,,
妊娠と分娩,症状・症候,腹部膨隆・腫瘤,"D-10-02-na-01,D-10-02-na-02,D-10-02-na-03",,,,,,,,,,,,,
妊娠と分娩,症状・症候,性器出血,"F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,①性器出血、②月経異常,",G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,,,,,,,,,
妊娠と分娩,症状・症候,月経異常,"F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,①性器出血、②月経異常,",G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",,,,,,,,,,
妊娠と分娩,検査方法,妊娠の検査（妊娠反応、超音波検査）,D-10-01-na-01,,,,,,,,,,,,,
妊娠と分娩,検査方法,妊娠中の検査（血液検査・出生前遺伝学的検査・羊水検査・分泌物検査・ノンストレステスト・超音波検査・超音波ドプラ法・羊水量）,D-10-01-na-04,,②妊娠中の検査（血液検査、出生前遺伝学的検査（NIPT）、羊水検査、分泌物検査、ノンストレステスト、超音波検査、超音波ドプラ法、羊水量）,,,,,,,,,,,
妊娠と分娩,検査方法,分娩の検査（超音波検査・胎児心拍数陣痛図）,D-10-01-na-03,,,,,,,,,,,,,
妊娠と分娩,特異的治療法,妊娠時の薬物療法の注意点,,,,,,,,,,,,,,
妊娠と分娩,特異的治療法,人工妊娠中絶、鉗子・吸引分娩、帝王切開術の適応,D-10-03-na-08,,,,,,,,,,,,,
妊娠と分娩,疾患・病態,異常妊娠：妊娠悪阻、異所性妊娠、流産・切迫流産、ハイリスク妊娠、妊娠高血圧症候群、多胎妊娠、前期破水、切迫早産,D-10-04-na-01,胎児機能・発育不全,妊娠悪阻、切迫早産、羊水過多・過少、胎児機能不全,E-07-01-na-04と重複,,,,,,,,,,
妊娠と分娩,疾患・病態,異常分娩：早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、分娩外傷,D-10-04-na-02,,,,,,,,,,,,,
妊娠と分娩,疾患・病態,異常産褥：子宮復古不全、産褥熱、乳腺炎,D-10-04-na-03,,,,,,,,,,,,,
妊娠と分娩,疾患・病態,産科出血：弛緩出血、羊水塞栓症、播種性血管内凝固<DIC>,D-10-04-na-04,,羊水塞栓,産科出血=>弛緩出血,,,,,,,,,,
妊娠と分娩,疾患・病態,合併症妊娠：貧血、耐糖能異常、甲状腺疾患、免疫性血小板減少性紫斑病<ITP>、感染症（HBV・HCV・HIV・HTLV-Ⅰ・パルボウイルスB19・B群連鎖球菌、TORCH症候群）,D-10-04-na-05,血液型不適合妊娠,貧血、免疫性血小板減少性紫斑病<ITP>、感染症（HBV・HCV・HIV・HTLV-Ⅰ・パルボウイルスB19・B群連鎖球菌）,,,,,,,,,,,
