臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
循環器系,構造と機能,心臓の構造と分布する血管・神経、冠動脈の特長とその分布域,D-05-01-na-01,,,,,,,,,,,,,
循環器系,構造と機能,心筋細胞の微細構造と機能,D-05-01-na-02,,,,,,,,,,,,,
循環器系,構造と機能,心筋細胞の電気現象と心臓の興奮（刺激）伝導系,D-05-01-na-03,,,,,,,,,,,,,
循環器系,構造と機能,興奮収縮連関,D-05-01-na-04,,,,,,,,,,,,,
循環器系,構造と機能,体循環、肺循環と胎児・胎盤循環,D-05-01-na-05,,,,,,,,,,,,,
循環器系,構造と機能,大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域,D-05-01-na-06,,,,,,,,,,,,,
循環器系,構造と機能,主な静脈、門脈系と上・下大静脈系,D-05-01-na-07,,,,,,,,,,,,,
循環器系,構造と機能,毛細血管における物質・水分交換,D-05-01-na-08,,,,,,,,,,,,,
循環器系,構造と機能,胸管を経由するリンパの流れ,D-05-01-na-09,,,,,,,,,,,,,
循環器系,構造と機能,心周期にともなう血行動態,D-05-01-na-10,,,,,,,,,,,,,
循環器系,構造と機能,心機能曲線と心拍出量の調節機序,D-05-01-na-11,,,,,,,,,,,,,
循環器系,構造と機能,主な臓器（脳、心臓、肺、腎臓）の循環調節,D-05-01-na-12,,,,,,,,,,,,,
循環器系,構造と機能,血圧調節の機序,D-05-01-na-13,,,,,,,,,,,,,
循環器系,構造と機能,体位や運動に伴う循環反応とその機序,D-05-01-na-14,,,,,,,,,,,,,
循環器系,症状・症候,胸痛,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,腰背部痛,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,動悸,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,呼吸困難,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,咳・痰,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,浮腫,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,体重増加,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
