臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
消化器系,構造と機能,各消化器官の位置、形態と関係する血管,D-07-01-na-01,,,,,,,,,,,,,
消化器系,構造と機能,腹膜と臓器の関係,D-07-01-na-02,,,,,,,,,,,,,
消化器系,構造と機能,食道・胃・小腸・大腸の基本構造と部位による違い,D-07-01-na-03,,,,,,,,,,,,,
消化器系,構造と機能,消化管運動の仕組み,D-07-01-na-04,,,,,,,,,,,,,
消化器系,構造と機能,消化器官に対する自律神経の作用,D-07-01-na-05,,,,,,,,,,,,,
消化器系,構造と機能,肝の構造と機能,D-07-01-na-06,,,,,,,,,,,,,
消化器系,構造と機能,胃液の作用と分泌機序,D-07-01-na-07,,,,,,,,,,,,,
消化器系,構造と機能,胆汁の作用と胆嚢収縮の調節機序,D-07-01-na-08,,,,,,,,,,,,,
消化器系,構造と機能,膵外分泌系の構造と膵液の作用,D-07-01-na-09,,,,,,,,,,,,,
消化器系,構造と機能,小腸における消化・吸収の仕組み,D-07-01-na-10,,,,,,,,,,,,,
消化器系,構造と機能,大腸における糞便形成と排便の仕組み,D-07-01-na-11,,,,,,,,,,,,,
消化器系,構造と機能,主な消化管ホルモンの作用,D-07-01-na-12,,,,,,,,,,,,,
消化器系,構造と機能,歯、舌、唾液腺の構造と機能,D-07-01-na-13,,,,,,,,,,,,,
消化器系,構造と機能,咀しゃくと嚥下の機構,D-07-01-na-14,,,,,,,,,,,,,
消化器系,構造と機能,消化管の正常細菌叢（腸内細菌叢）の役割,D-07-01-na-15,,,,,,,,,,,,,
消化器系,症状・症候,腹痛,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,悪心・嘔吐,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,食思<欲>不振,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,便秘,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,下痢,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,吐血,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,下血,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,腹部膨隆・腫瘤,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,黄疸,"D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07",,,,,,,,,,,,,
消化器系,症状・症候,胸やけ,"D-07-03-01-01,D-07-03-01-02",,②胸やけ,,,,,,,,,,,
消化器系,症状・症候,肝腫大,"D-07-03-01-01,D-07-03-01-02",,②胸やけ,,,,,,,,,,,
消化器系,検査方法,肝炎ウイルス検査,D-07-02-na-01,,,,,,,,,,,,,
消化器系,検査方法,腫瘍マーカー（AFP・ CEA・ CA 19-9・ PIVKA-Ⅱなど）,D-07-02-na-02,,,検査のフルスペルを略語のみへ簡素化,,,,,,,,,,
消化器系,検査方法,画像検査（単純エックス線撮影・CT・MRI）,D-07-02-na-03,,,,,,,,,,,,,
消化器系,検査方法,内視鏡検査,D-07-02-na-04,,,,,,,,,,,,,
消化器系,検査方法,生検、細胞診,D-07-02-na-05,,,,,,,,,,,,,
消化器系,特異的治療法,経管・経腸栄養,,,新規追加,,,,,,,,,,,
消化器系,特異的治療法,内視鏡治療（止血・凝固・クリッピング・硬化療法など）,,,新規追加,,,,,,,,,,,
消化器系,特異的治療法,血管内治療（動脈塞栓術など）,,,新規追加,,,,,,,,,,,
消化器系,疾患・病態,食道疾患：食道・胃静脈瘤、胃食道逆流症(gastroesophageal reflux disease <GERD>)、逆流性食道炎、Mallory-Weiss 症候群、食道アカラシア,"D-07-04-01-01,D-07-04-01-02, D-07-04-01-03",,食道アカラシアを新規追加,,,,,,,,,,,
消化器系,疾患・病態,胃・十二指腸疾患：消化性潰瘍（胃潰瘍・十二指腸潰瘍)、Helicobacter pylori 感染症、胃ポリープ、急性胃粘膜病変、急性胃腸炎、慢性胃炎、胃切除後症候群、機能性消化管障害（機能性ディスペプシア(functional dyspepsia<FD>)）、肥厚性幽門狭窄症、胃アニサキス症,"D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08",,胃アニサキス症を新規追加,,,,,,,,,,,
消化器系,疾患・病態,小腸・大腸疾患：急性虫垂炎、腸閉塞、炎症性腸疾患（潰瘍性大腸炎・Crohn 病）、痔核・痔瘻、機能性消化管障害（過敏性腸症候群）、腸管憩室症（大腸憩室炎・大腸憩室出血）、薬物性腸炎、消化管ポリポーシス、先天性疾患(鎖肛・Hirschsprung 病)、腸重積症、便秘症、感染性腸炎、乳児下痢症、虚血性大腸炎、急性出血性直腸潰瘍、上腸間膜動脈閉塞症,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","D-07-04-03-16,,D-07-04-03-17",,"NET, GIST削除",,,,,,,,,,
消化器系,疾患・病態,胆道疾患：胆石症、胆嚢炎、胆管炎、胆嚢ポリープ、先天性胆道拡張症、膵・胆管合流異常症,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04",,,,,,,,,,,,,
消化器系,疾患・病態,肝疾患：肝炎（A 型・B 型・C 型・D 型・E 型）、肝炎（急性・慢性・劇症型）、肝硬変および合併症(門脈圧亢進症・肝性脳症・肝癌)、アルコール性肝障害、薬物性肝障害、肝膿瘍、原発性胆汁性肝硬変、原発性硬化性胆管炎、自己免疫性肝炎、脂肪肝,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11",,,肝炎の表記方法を修正,,,,,,原発性胆汁性肝硬変→原発性胆汁性胆管炎,,,,
消化器系,疾患・病態,膵臓疾患：急性膵炎（アルコール性・胆石性・特発性）、慢性膵炎（アルコール性・特発性）、自己免疫性膵炎,"D-07-04-06-01,D-07-04-06-02,D-07-04-06-03",,,,,,,,,,,,,
消化器系,疾患・病態,腹膜・腹壁・横隔膜疾患：腹膜炎、ヘルニア（滑脱・嵌頓・絞扼）、鼠径部ヘルニア,"D-07-04-07-01,D-07-04-07-02,D-07-04-07-03",,,,,,,,,,,,,
消化器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,"D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12","D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12",,腫瘍へ,,,,,,,,,,
