臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
生殖機能,構造と機能,生殖腺の発生と性分化の過程,D-09-01-na-01,,,,,,,,,,,,,
生殖機能,構造と機能,男性生殖器の発育の過程,D-09-01-na-02,,,,,,,,,,,,,
生殖機能,構造と機能,男性生殖器の形態と機能,D-09-01-na-03,,,,,,,,,,,,,
生殖機能,構造と機能,精巣の組織構造と精子形成の過程,D-09-01-na-04,,,,,,,,,,,,,
生殖機能,構造と機能,陰茎の組織構造と勃起・射精の機序,D-09-01-na-05,,,,,,,,,,,,,
生殖機能,構造と機能,女性生殖器の発育の過程,D-09-01-na-06,,,,,,,,,,,,,
生殖機能,構造と機能,女性生殖器の形態と機能,D-09-01-na-07,,,,,,,,,,,,,
生殖機能,構造と機能,性周期発現と排卵の機序,D-09-01-na-08,,,,,,,,,,,,,
生殖機能,構造と機能,閉経の過程と疾病リスクの変化,D-09-01-na-09,,,,,,,,,,,,,
生殖機能,症状・症候,腹痛,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04",,,,,,,,,,,,,
生殖機能,症状・症候,腹部膨隆・腫瘤,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04",,,,,,,,,,,,,
生殖機能,症状・症候,血尿,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04",,,,,,,,,腎尿路系へ∴割愛で良いのでは？,,,,
生殖機能,症状・症候,尿量・排尿の異常,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04",,,,,,,,,腎尿路系へ∴割愛で良いのでは？,,,,
生殖機能,症状・症候,月経異常,"D-09-03-02-01,D-09-03-02-02,D-09-03-02-04",,,,,,,,,,,,,
生殖機能,症状・症候,勃起不全,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,射精障害,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,精巣機能障害,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,不正性器出血,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,乳汁漏出症,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,腟分泌物（帯下）の増量,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,腟乾燥感,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,性交痛,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,,,,,
生殖機能,症状・症候,タンパク尿,"D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05",,,,,,,,,腎尿路系へ∴割愛で良いのでは？,,,,
生殖機能,検査方法,精巣と前立腺の画像検査法（尿路造影・CT・MRI）、超音波検査,D-09-02-01-01,,,,,,,,,,,,,
生殖機能,検査方法,血中ホルモン（卵胞刺激ホルモン(Follicle-Stimulating Hormone <FSH>)、黄体形成ホルモン(luteinizing hormone <LH>)、プロラクチン、ヒト絨毛性ゴナドトロピン(human chorionic gonadotropin <hCG>)、エストロゲン、プロゲステロン）の測定,D-09-02-02-01,,,,,,,,,,,,,
生殖機能,検査方法,骨盤内臓器と腫瘍の画像診断（超音波断層法CT、MRI、子宮卵管造影(hysterosalpingography <HSG>),D-09-02-02-02,,,,,,,,,,,,,
生殖機能,検査方法,基礎体温測定,D-09-02-02-03,,,,,,,,,,,,,
生殖機能,検査方法,腟分泌物所見,D-09-02-02-04,,,,,,,,,,,,,
生殖機能,特異的治療法,体外受精―胚移植<IVF-ET>,,,①体外受精―胚移植<IVF-ET>を追加,,,,,,,,,,,
生殖機能,疾患・病態,男性生殖器疾患：男性不妊症、前立腺肥大症、前立腺炎、停留精巣、陰嚢内腫瘤、精巣捻転症,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,前立腺炎と精巣捻転症を追加,,,,,,,,,,,
生殖機能,疾患・病態,女性生殖器疾患：内外生殖器の先天異常、卵巣機能障害、月経異常（月経前症候群・機能性月経困難症、視床下部性無月経）、更年期障害、不妊症、子宮筋腫・子宮腺筋症、子宮内膜症、外陰・腟と骨盤内感染症,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,月経異常（月経前症候群・機能性月経困難症、視床下部性無月経を追加,,,,,,,,,,,
生殖機能,疾患・病態,腫瘍性疾患（男性）：　※腫瘍の項目を参照,"D-09-04-03-01,D-09-04-03-02","D-09-04-03-01,D-09-04-03-02",,腫瘍へ,,,,,,,,,,
生殖機能,疾患・病態,腫瘍性疾患（女性）：　※腫瘍の項目を参照,"D-09-04-03-03,D-09-04-03-04,D-09-04-03-05","D-09-04-03-03,D-09-04-03-04,D-09-04-03-05",,腫瘍へ,,,,,,,,,,
