臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
皮膚系,構造と機能,皮膚の組織構造,D-03-01-na-01,,,,,,,,,,,,,
皮膚系,構造と機能,皮膚の細胞動態と角化の機構,D-03-01-na-02,,,,,,,,,,,,,
皮膚系,構造と機能,皮膚の免疫防御能,D-03-01-na-03,,,,,,,,,,,,,
皮膚系,症状・症候,皮疹（紅斑・紫斑・色素斑・丘疹・結節・腫瘤・水疱・膿疱・嚢腫・びらん・潰瘍・毛細血管拡張・硬化・瘢痕・萎縮・鱗屑・痂皮・苔癬化・壊疽）,D-03-03-na-01,,具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）,発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）,,,,,,,,,,
皮膚系,症状・症候,そう痒,D-03-03-na-01,,具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）,発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）,,,,,,,,,,
皮膚系,症状・症候,粘膜疹,D-03-03-na-01,,具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）,発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）,,,,,,,,,,
皮膚系,症状・症候,脱毛,D-03-03-na-01,,具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）,発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）,,,,,,,,,,
皮膚系,検査方法,皮膚検査法（硝子圧法・皮膚描記法(Darier 徴候)・Nikolsky 現象・Tzanck 試験・光線テスト）,D-03-02-na-01,,,,,,,,,,,,,
皮膚系,検査方法,皮膚アレルギー検査法（プリックテスト・皮内テスト・パッチテスト）,D-03-02-na-02,,,,,,,,,,,,,
皮膚系,検査方法,微生物検査法（検体採取法・苛性カリ<KOH>直接検鏡法）,D-03-02-na-03,,,,,,,,,,,,,
