臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
眼・視覚系,構造と機能,眼球と付属器の構造,D-13-01-na-01,,,,,,,,,,,,,
眼・視覚系,構造と機能,視覚情報の受容の仕組みと伝導路,D-13-01-na-02,,,,,,,,,,,,,
眼・視覚系,構造と機能,眼球運動の仕組み,D-13-01-na-03,,,,,,,,,,,,,
眼・視覚系,構造と機能,対光反射、輻輳反射、角膜反射の機能,D-13-01-na-04,,,,,,,,,,,,,
眼・視覚系,症状・症候,めまい,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,,,,,,,,,,,
眼・視覚系,症状・症候,頭痛,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,,,,,,,,,,,
眼・視覚系,症状・症候,悪心・嘔吐,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,,,,,,,,,,,
眼・視覚系,症状・症候,視力障害,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,症状・症候,視野異常,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,症状・症候,眼球運動障害,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,症状・症候,眼脂・眼の充血,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,症状・症候,飛蚊症,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,症状・症候,眼痛,D-13-03-01-01,,,,,,,,,,,,,
眼・視覚系,検査方法,視力検査,D-13-02-na-01,,,,,,,,,,,,,
眼・視覚系,検査方法,視野検査,D-13-02-na-01,,,,,,,,,,,,,
眼・視覚系,検査方法,細隙灯顕微鏡検査,D-13-02-na-01,,,,,,,,,,,,,
眼・視覚系,検査方法,眼圧検査,D-13-02-na-01,,,,,,,,,,,,,
眼・視覚系,検査方法,眼底検査,D-13-02-na-01,,,,,,,,,,,,,
眼・視覚系,特異的治療法,レーザー治療,,,レーザー治療を追加,,,,,,,,,,,
眼・視覚系,疾患・病態,屈折異常（近視・遠視・乱視）と調節障害,D-13-04-01-01,,,,,,,,,,,,,
眼・視覚系,疾患・病態,結膜炎・角膜炎・眼瞼炎,D-13-04-01-02,D-13-04-01-02,結膜炎、角膜炎、眼瞼炎を追加,置き換え,,,,,,,,,,
眼・視覚系,疾患・病態,麦粒腫・霰粒腫,,,,,,,,,,,,,,
眼・視覚系,疾患・病態,白内障,D-13-04-01-03,,,,,,,,,,,,,
眼・視覚系,疾患・病態,緑内障,D-13-04-01-04,,,,,,,,,,,,,
眼・視覚系,疾患・病態,裂孔原性網膜剥離,D-13-04-01-05,,,,,,,,,,,,,
眼・視覚系,疾患・病態,加齢黄斑変性・網膜色素変性,,,加齢黄斑変性・網膜色素変性,,,,,,,,,,,
眼・視覚系,疾患・病態,糖尿病・高血圧による眼底変化（糖尿病網膜症など）,D-13-04-01-06,,（糖尿病網膜症など）を追加,,,,,,,,,,,
眼・視覚系,疾患・病態,ぶどう膜炎,D-13-04-01-07,,,,,,,,,,,,,
眼・視覚系,疾患・病態,視神経炎（症）・うっ血乳頭,D-13-04-01-08,,,,,,,,,,,,,
眼・視覚系,疾患・病態,化学損傷（アルカリ・酸）,D-13-04-01-09,,,,,,,,,,,,,
眼・視覚系,疾患・病態,網膜静脈閉塞症と動脈閉塞症,D-13-04-01-10,,,,,,,,,,,,,
眼・視覚系,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,D-13-04-02-01,,,,,,,,,,,,,
