臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
神経系,構造と機能,中枢神経系と末梢神経系の構成,D-02-01-01-01,D-02-01-03-03,,,,,,,,,,,,
神経系,構造と機能,脳の血管支配と血液脳関門,D-02-01-01-02,D-02-01-04-02,,,,,,,,,,,,
神経系,構造と機能,脳のエネルギー代謝の特徴,D-02-01-01-03,,,,,,,,,,,,,
神経系,構造と機能,主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用,D-02-01-01-04,,,,,,,,,ノルアドレナリンは割愛できないか（精神科領域では重要かもしれないが）？,,,,
神経系,構造と機能,髄膜・脳室系の構造と脳脊髄液の産生と循環,D-02-01-01-05,,,,,,,,,,,,,
神経系,構造と機能,脊髄の構造、機能局在と伝導路,D-02-01-02-01,,,,,,,,,,,,,
神経系,構造と機能,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,D-02-01-02-02,,,,,,,,,,,,,
神経系,構造と機能,脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,D-02-01-02-03,,,,,,,,,,,,,
神経系,構造と機能,脳幹の構造と機能、および伝導路,"D-02-01-03-01, D-02-01-03-03",,,,,,,,,,,,,
神経系,構造と機能,脳神経の名称、核の局在、走行・分布と機能,D-02-01-03-02,,,,,,,,,,,,,
神経系,構造と機能,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,"D-02-01-04-01,D-02-01-04-02",,,,,,,,,,,,,
神経系,構造と機能,辺縁系の構造と記憶・学習の機序との関連,D-02-01-04-03,,,,,,,,,,,,,
神経系,構造と機能,錐体路を中心とした随意運動の発現機構,D-02-01-05-01,,,,,,,,,,,,,
神経系,構造と機能,小脳の構造と機能,D-02-01-05-02,,,,,,,,,,,,,
神経系,構造と機能,大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能,D-02-01-05-03,,,,,,,,,,,,,
神経系,構造と機能,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,D-02-01-06-01,,,,,,,,,,,,,
神経系,構造と機能,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,D-02-01-06-02,,,,,,,,,,,,,
神経系,構造と機能,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,D-02-01-07-01,,,,,,,,,,,,,
