臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
精神系,構造と機能,※神経系の項目を参照,,,,,,,,,,,,,,
精神系,症状・症候,不安・抑うつ,D-15-02-na-02,,,,,,,,,,,,,
精神系,症状・症候,認知障害,D-15-02-na-02,,,,,,,,,,,,,
精神系,症状・症候,意識障害,D-15-02-na-02,,,,,,,,,,,,,
精神系,症状・症候,不眠,"D-15-02-na-01, D-15-02-na-02, D-15-02-na-03",,,,,,,,,,,,,
精神系,症状・症候,幻覚・妄想,"D-15-02-na-01, D-15-02-na-02, D-15-02-na-03",,,,,,,,,,,,,
精神系,症状・症候,心気症,"D-15-02-na-01, D-15-02-na-02, D-15-02-na-03",,,,,,,,,,,,,
精神系,検査方法,質問紙法,D-15-01-na-05,,,,,,,,,,,,,
精神系,検査方法,Rorschachテスト,,,,,,,,,,,,,,
精神系,検査方法,簡易精神症状評価尺度(Brief Psychiatric Rating Scale <BPRS>),,,,,,,,,,,,,,
精神系,検査方法,Hamiltonうつ病評価尺度,,,,,,,,,,,,,,
精神系,検査方法,Beckのうつ病自己評価尺度,,,,,,,,,,,,,,
精神系,検査方法,状態特性不安検査(State-Trait Anxiety Inventory　 <STAI>）,,,,,,,,,,,,,,
精神系,検査方法,Mini-Mental State Examination <MMSE>,,,,,,,,,,,,,,
精神系,検査方法,改訂長谷川式簡易知能評価スケール,,,,,,,,,,,,,,
精神系,検査方法,精神科診断分類法,D-15-01-na-02,,,,,,,,,,,,,
精神系,特異的治療法,精神科面接,D-15-01-na-01,,,技能チームと検討,,,,,,,,,,
精神系,特異的治療法,精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法の適用場面,D-15-01-na-03,,,,,,,,,,,,,
精神系,特異的治療法,コンサルテーション・リエゾン精神医学,D-15-01-na-04,,,,,,,,,,,,,
精神系,疾患・病態,認知症　※神経系の項目を参照,D-15-03-na-02,D-15-03-na-02,,神経系へ,,,,,,,,,,
精神系,疾患・病態,症状性精神病,D-15-03-na-01,"D-15-03-na-11,D-15-03-na-12",,小児領域へ移行,,,,,,,,,,
精神系,疾患・病態,依存症（薬物使用、アルコール、ギャンブル）,D-15-03-na-03,,,,,,,,,,,,,
精神系,疾患・病態,うつ病、双極性障害（躁うつ病）,"D-15-03-na-05, D-15-03-na-06",,,,,,,,,,,,,
精神系,疾患・病態,統合失調症,D-15-03-na-04,,,,,,,,,,,,,
精神系,疾患・病態,強迫性障害,,,強迫性障害,,,,,,,,,,,
精神系,疾患・病態,不安障害（パニック障害・社交不安障害）,D-15-03-na-07,,,,,,,,,,,,,
精神系,疾患・病態,解離性障害,D-15-03-na-09,,,,,,,,,,,,,
精神系,疾患・病態,身体表現性障害（身体化障害・疼痛性障害・心気症）、心身症、ストレス関連障害（急性ストレス障害・心的外傷後ストレス障害）、過換気症候群,"D-15-03-na-07, D-15-03-na-08",,身体化障害,,,,,,,,,,,身体症状症に変更
精神系,疾患・病態,摂食障害（神経性食思不振症・神経性過食症）,D-15-03-na-08,,神経性食思不振症、神経性過食症,,,,,,,,,,,神経性やせ症
精神系,疾患・病態,パーソナリティ障害,D-15-03-na-10,,,,,,,,,,,,,
