臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
耳鼻・咽喉・口腔系,構造と機能,外耳・中耳・内耳の構造,D-14-01-na-01,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,構造と機能,聴覚・平衡覚の受容のしくみと伝導路,D-14-01-na-02,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,構造と機能,口腔・鼻腔・咽頭・喉頭の構造,D-14-01-na-03,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,構造と機能,喉頭の機能と神経支配,D-14-01-na-04,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,構造と機能,眼球運動、姿勢制御と関連させた平衡感覚機構,D-14-01-na-05,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,構造と機能,味覚と嗅覚の受容のしくみと伝導路,D-14-01-na-06,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,めまい,"D-14-02-na-01, D-14-02-na-02",,,そもそもチームのガイドに合わせ「嚥下障害」のみ,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,嚥下困難,"D-14-02-na-01, D-14-02-na-02",,,そもそもチームのガイドに合わせ「嚥下障害」のみ,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,気道狭窄,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,難聴,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,鼻出血,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,咽頭痛,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,開口障害,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,反回神経麻痺（嗄声）,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,反回神経麻痺は症候ではないため嗄声のみ記載
耳鼻・咽喉・口腔系,症状・症候,耳鳴,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,鼻閉,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,鼻漏,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,嗅覚障害,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,いびき,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,味覚障害,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,唾液分泌異常,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,症状・症候,口腔内異常,D-14-03-01-01,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,検査方法,聴力検査と平衡機能検査,D-14-02-na-01,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,検査方法,味覚検査と嗅覚検査,D-14-02-na-02,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,検査方法,耳鏡、鼻鏡、喉頭鏡、鼻咽腔・喉頭内視鏡,,,D-14-02-na-03（新設）,,,,,,,,,,,
耳鼻・咽喉・口腔系,特異的治療法,補聴器・人工聴覚器,,,新設,,,,,,,,,,,
耳鼻・咽喉・口腔系,特異的治療法,気管切開,D-14-04-01-10,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,中耳炎（急性・慢性・滲出性・真珠腫性）,D-14-04-01-01,,真珠腫性,Minor領域は代表的な疾患名を明記していよいかと思いました。（伴う研究に基づく）,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,外耳炎、耳せつ,,,新設,Minor領域は代表的な疾患名を明記していよいかと思いました。（伴う研究に基づく）,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,難聴（騒音性、薬剤性、突発性、老人性）、乳幼児の難聴,D-14-04-01-02,,新設,Minor領域は代表的な疾患名を明記していよいかと思いました。（伴う研究に基づく）,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,めまい（末梢性・中枢性）、動揺病,D-14-04-01-03,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,良性発作性頭位眩暈症、Ménière病,D-14-04-01-04,,Ménière病、前庭神経炎,Minor領域は代表的な疾患名を明記していよいかと思いました。（伴う研究に基づく）,,,,,,,,,,「良性発作性頭位めまい症」に変更
耳鼻・咽喉・口腔系,疾患・病態,前庭神経炎,,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,鼻出血,D-14-04-01-05,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,副鼻腔炎（急性・慢性）,D-14-04-01-06,,,歯性上顎洞炎も含める。,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,アレルギー性鼻炎,D-14-04-01-07,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,鼻咽喉頭の炎症性疾患（鼻炎・扁桃炎・咽頭炎・喉頭炎・喉頭蓋炎・扁桃周囲炎・膿瘍）,D-14-04-01-08,扁桃のを削除,（鼻炎・扁桃炎・咽頭炎・喉頭炎・喉頭蓋炎・扁桃周囲炎・膿瘍）,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,う蝕、歯周病等の歯科疾患（全身への影響や口腔機能管理を含めて）,D-14-04-01-09,,,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,口角炎、口内炎、舌炎、鵞口瘡、白板症など,D-14-04-01-10,D-14-04-01-10,⑩口角炎、口内炎、舌炎、鵞口瘡、白板症など,"気管切開の適応は耳鼻科がよいか？　４）特異的治療法にいれてみた,ここは「など」を付けないと伴う研究のもので制限しても結構膨大な量が追加される。",,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,外耳道・鼻腔・咽頭・喉頭・気管・食道の代表的な異物,D-14-04-01-11,,気管,伴研究の耳垢栓塞は外耳道異物に含めることとする,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,唾液腺疾患（急性唾液腺炎・唾石症・Sjogren症候群・Mikulicz病）,D-14-04-01-12,,急性唾液腺炎・唾石症・Sjogren症候群・Mikulicz病,,,,,,Sjogren症候群はSjögren症候群と記載,,,,,ミクリッツ病は「IgG4関連涙腺・唾液腺炎」と呼ばれてきているでしょうか。
耳鼻・咽喉・口腔系,疾患・病態,顎関節症,,,新設,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,耳鼻・咽頭・口腔系の外傷・損傷（鼻骨骨折・吹き抜け骨折・耳介血腫・鼓膜損傷など）,,,新設,ここは「など」を付けないと伴う研究のもので制限しても結構膨大な量が追加される。,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,先天異常（唇裂・口蓋裂など）,,,新設,ここは「など」を付けないと伴う研究のもので制限しても結構膨大な量が追加される。,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,口蓋扁桃肥大症、咽頭扁桃<アデノイド>増殖症、声帯ポリープ,,,新設,,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,頭頸部疾患（頸部リンパ節炎・頸部膿瘍・頸部リンパ節転移など）,,,新設,ここは「など」を付けないと伴う研究のもので制限しても結構膨大な量が追加される。,,,,,,,,,,
耳鼻・咽喉・口腔系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,"D-14-04-02-01, D-14-04-02-02",,,,,,,,,,,,,
