臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
運動器（筋骨格）系,構造と機能,骨・軟骨・関節・靱帯の構成と機能,D-04-01-na-01,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,頭頸部の構成,D-04-01-na-02,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,脊柱の構成と機能,D-04-01-na-03,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,四肢の骨格、主要筋群の運動と神経支配,D-04-01-na-04,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,骨盤の構成と性差,D-04-01-na-05,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,骨の成長と骨形成・吸収の機序,D-04-01-na-06,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,姿勢と体幹の運動にかかわる筋群,D-04-01-na-07,,,,,,,,,,,,,
運動器（筋骨格）系,構造と機能,抗重力筋,D-04-01-na-08,,,,,,,,,8で代替可。∴割愛,,,,
運動器（筋骨格）系,症状・症候,運動麻痺・筋力低下,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,"D-04-03-na-04, D-04-03-na-05",※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,,,,,,,,,,
運動器（筋骨格）系,症状・症候,関節痛・関節腫脹,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,"D-04-03-na-04, D-04-03-na-05",※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,,,,,,,,,,
運動器（筋骨格）系,症状・症候,腰背部痛,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,"D-04-03-na-04, D-04-03-na-05",※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,,,,,,,,,,
運動器（筋骨格）系,症状・症候,歩行障害,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,"D-04-03-na-04, D-04-03-na-05",※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,,,,,,,,,,
運動器（筋骨格）系,症状・症候,感覚障害,"D-04-03-na-01, D-04-03-na-02, D-04-03-na-03",,"D-04-03-na-04, D-04-03-na-05",※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,,,,,,,,,,
運動器（筋骨格）系,検査方法,筋骨格系の病態に即した徒手検査（四肢と脊柱の可動域検査・神経学的検査等）,D-04-02-na-01,,,,,,,,,,,,,
運動器（筋骨格）系,検査方法,筋骨格系画像診断（単純エックス線撮影・CT・MRI・超音波検査・骨塩定量）,D-04-02-na-02,,,,,,,,,,,,,
運動器（筋骨格）系,検査方法,関節液検査,,,新設,,,,,,,,,,,
運動器（筋骨格）系,特異的治療法,運動器疾患のリハビリテーション,D-04-04-01-15,,,,,,,,,,,,,
運動器（筋骨格）系,特異的治療法,捻挫・骨折・脱臼の治療・処置,,,新設,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,四肢・脊椎外傷,D-04-04-01-01,,,末梢神経損傷や四肢血管損傷が含められるはずです。,以下疾患部分を他の領域に合わせて、まとめた方がよいと思います,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節の脱臼、肘内障、腱・靱帯・半月板損傷,D-04-04-01-02,,肘内障、腱・靭帯・半月板損傷、槌指,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節拘縮、Dupuytren拘縮,,,新設,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨折,D-04-04-01-03,,,,,,,,,,,「骨折（大腿骨近位部骨折）」としてはどうでしょうか。,,
運動器（筋骨格）系,疾患・病態,筋損傷・挫滅症候群・コンパートメント症候群,D-04-04-01-04,,肉離れ・筋損傷・挫滅症候群,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,代謝性骨疾患（骨粗鬆症・くる病・骨軟化症）,D-04-04-01-05,,代謝性骨疾患（　　　　＋くる病、骨軟化症）,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節炎、腱鞘炎、滑液包炎、腱付着部炎,D-04-04-01-06,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,関節症（変形性関節症・外反母趾・外反膝・内反膝・反張膝・神経病性関節症）,D-04-04-01-07,,関節症（　　　　　　＋神経病性関節症・外反母趾・外反膝・内反膝・反張膝）,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,絞扼性末梢神経障害（胸郭出口症候群・手根管症候群・肘部管症候群等）,D-04-04-01-08,,胸郭出口症候群,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,D-04-04-01-09,頚椎症性,脊椎症,頸椎に限定しない,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,脊髄損傷,D-04-04-01-10,,,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,脊椎椎間板ヘルニア,D-04-04-01-11,腰椎,脊椎,腰椎に限定しない,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,脊柱管狭窄症,D-04-04-01-12,,,腰椎に限定しない,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,脊椎分離・すべり症,D-04-04-01-13,腰椎,脊椎,腰椎に限定しない,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛（腰背部痛・頸部痛・肩こり・肩関節周囲炎）,D-04-04-01-14,,肩関節周囲炎,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,感染性疾患（化膿性関節炎・骨髄炎）,D-04-04-02-01,,骨髄炎,統合しました。,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,椎間板炎・化膿性脊椎炎・脊椎カリエス,D-04-04-02-02,,,,,,,,,脊椎カリエスを割愛（近年、低頻度だから、化膿性脊椎炎に含めて考える、消化器も腸結核を含めていない）,,,,
運動器（筋骨格）系,疾患・病態,先天性疾患（斜頸・側弯症・先天性股関節脱臼・内反足・骨形成不全症）,,,新設,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害（特発性大腿骨頭壊死症・Perthes病・Osgood-Schlatter病・離断性骨軟骨炎・膝蓋軟骨軟化症）,,,新設,,,,,,,,,,,
運動器（筋骨格）系,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,"D-04-04-03-01,　D-04-04-03-02,　D-04-04-03-03",,,,,,,,,,,,,
