第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
信頼,誠実さ,どのように行動すれば患者や社会に対して誠実に振る舞えるか？,JkxiJUs,A-01-03-na-01,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。,平叙文で記述すると「当たり前の行動原則」について書かれているように学習者・教育者に感じられるのではないかと思われます。しかし、現場においては、この「当たり前の行動原則」に則ることができない状況というものが多々発生し、その際に問われるのが「職業倫理規範」（プロフェッショナリズム）なのではないだろうか、と考えました。そして、そういった困難を伴う状況において「どうすれば良いだろうか？」を自ら考え続け、行動することが、今後求められるのではないか、と考えております。このため、今回「以下について考え続けそして適切に行動できる」という文言を文頭におき、以下を「問い」としてみました。,"問いは斬新だが、到達すべき目標としては学修者にわかりにくく、評価も行いにくい（以下同文でこれ以降の記載は省略する）
・患者や社会に対して誠実に振る舞うことの重要性を「説明でき」「研修医1日目には実際に身につけている」など具体的な動詞は難しいですが",,,,最も教育効果が小さい資質であり、漠とした問なので割愛,表現についてですが、振る舞う　は、医師・医療ではなじまない気がしました。本心は　違う　というニュアンスがはいってしまうのでは。,,,
信頼,誠実さ,社会から信頼される専門職集団であるためにはどのように行動すればよいか？,JkxiJUw,A-01-03-na-01,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,診療参加型臨床実習において患者やその家族と信頼関係を築くことができる。,一員を追記しました。,"・・・集団であることは、学修者の目標になるでしょうか。
社会から信頼される専門職の一員であるための行動には、どのような要素があるのか説明でき、実際の行動に結びつけることができる",,「信頼される専門職集団の一員であるためにはどのように行動すればよいか？」Community of Practiceへの参加を意識した提案です。,,,,,,
信頼,誠実さ,どのように行動すれば守秘義務を遵守できるか？,JkxiJU0,A-04-02-na-07,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,患者情報の守秘義務と患者等への情報提供の重要性を理解し、適切な取扱いができる。,情報への移動を検討中です。,"守秘は情報で扱われると思います
大切なことなので、ここで扱うことはよいと思いますが、情報と関連づけ（参照）がされるといいと思います",,「何が守秘義務の遵守を妨げるか？」望ましい態度としての表現でなくてもよいなら、こちらの問いのほうが表面的でない思考を促せるように思いました。,,,,,守秘義務についてはコミュニケーションの6でもでてきます。どちらかに統一すべきでしょうか？,
信頼,省察,どのようにすれば自分自身の限界を適切に認識できるか？,JkxiJU4,A-01-03-na-04,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,医師には能力と環境により診断と治療の限界があることを説明できる。,問いにした理由は上記（A2),自身の限界を認識する習慣を身につけ、医師になるものとしての行動に結びつけることができる,,総合と技能で扱われている省察との関連を考えると、限界だけではなく、自分自身の特性、強みと弱みが表現できるといいと思いました。B-04-01-na-10　バーンアウトリスクについてはどこにも反映されていませんが、「バーンアウトリスク」というキーワードは残しますか？,,,,,自分自身の限界を受け止めることと他者のフィードバックを受け入れることは近いのではないかと感じますので、５と６はひとまとめでもいいのかなと思いました。,
信頼,省察,他者からのフィードバックを受け入れられるにはどのような心持ちでいればよいか？,JkxiJU8,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,問いにした理由は上記（A2),他者からのフィードバックを受け入れる方法を持ち、受け入れる態度を身につけている,,考えるのが難しい問いだと思いました。「何が他者からのフィードバックを受け入れることの障壁になるか？」のほうが考えやすいですし、文献もたくさんあります。,,心持ちを変えるのは困難。むしろフィードバックの仕方を工夫した方が実効性がある。∴省察の元では割愛→他所へ移せないか？,,,,
信頼,説明責任,わかりやすく正確な説明を行うにはどのようにすればよいか？,JkxiJVA,A-01-02-na-03,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,選択肢が多様な場合でも適切に説明を行い患者の価値観を理解して、患者の自己決定を支援する。,誰に対しても・話す相手に応じて話すことができる能力を想定しています。,"わかりやすく正確な説明を行うことができる
誰への説明ですか？",,,,,,,,「意思決定のために」を追記してはいかがでしょうか。
信頼,自律性,患者が適切に意思決定できるようするためにはどのように支援すればよいか？,JkxiJVE,A-01-02-na-02，A-01-02-na-03,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,{not found: A-01-02-na-02，A-01-02-na-03},患者の自律性を尊重することを想定していました。「自律性の尊重」と変更しています。,"ここで言う自律性とは患者の自律性でしょうか？それとも医師（医学生）の自律性でしょうか
第２層「信頼」というなかにおいてありますが、プロフェショナリズムのなかでの自律性はやはり医師の自律性だと思います",,,,,,,,説明責任に包含されませんでしょうか。
思いやり,思いやりと利他,患者を含めた他者に思いやりをもって接するにはどのように行動すればよいか？,JkxiJVI,A-01-02-na-01,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,リスボン宣言等に示された患者の基本的権利を説明できる。,,,,「患者を含めた」を省略してもよいのでは？,,,,,他の項目では「患者を含めた」が入らないです。,
思いやり,思いやりと利他,利己と利他をどのように両立させるか？,JkxiJVM,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,利他的であることは上の「思いやり」に含まれると考えております。その上で、「利他的ではいられない状況」について考えてみてほしいと考えこの問いを作成しました。,"利他に相応するものを利己と置いてよいものでしょうか。言葉に酔っていると思います。
利己でない部分は多くの医師にありますが、その中でさらに利他的な態度と行動の重要性を認識し、行動にまでつながることを目標として明示してほしいです",,「利己と利他が両立し得なくなるのはどのような時か？」のほうが考えやすいと個人的には思います。,,新設のプライオリティは高くない。9に統合可能。,表現についてですが、利他的行動は、自分のためになるという展開は、初学者に対する医師・医療教育では若干なじまないのではと思いました。勘違いであれば申し訳ありません。,,,
思いやり,思いやりと利他,自分自身の精神的・身体的健康をどのように管理すればよいか？,JkxiJVQ,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,これは医療の質・患者安全に移動しました。医療の質・患者安全は技能チームで扱っていただく予定です。,これは思いやりと利他ではないと思います。,,,,新設のプライオリティは高くない。メンタルハイジーンは、この項目に限らない普遍的な課題。,,,生涯9の医療従事者の健康管理と重なる部分があると思います。,
