第2層,第3層,第4層,UID,H28対応項目,H28表記,「概要を理解している」 で良い場合には●(20220410),第4層(202004113)作業用,第4層(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220327),医学教育課からのコメント(20220327),チームからの修正提案(20220317),チームからのコメント(20220317),第4層(技術参与清書),第4層(20220302査読直前),修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント(あれば),第4層(計算列),メモ,メモ２,#VALUE!,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,全体編集メモ
信頼,誠実さ,患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動する。,JkxiJUs,A-01-03-na-01,,,患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動する。,患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動する。,2.0,行動という言葉が３つ入るのは流石にどうかな、と思いました,患者や社会に対して誠実である行動とはどのような行動かを考え、行動できる。,,,,患者や社会に対して誠実であるとはどういうことか考え適切に行動することができる。,患者や社会に対して誠実であるとはどういうことか考え適切に行動することができる。,患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動することができる。,,2.0,,患者や社会に対して誠実である行動とはどのようなものかを考え、そのように行動することができる。,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,
信頼,誠実さ,社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、行動できる。,JkxiJUw,A-01-03-na-01,,,社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、行動できる。,"社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
",1.0,,社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、行動できる。,,,,社会から信頼される専門職集団の一員であるためにはどうすれば良いか考え適切に行動することができる。,社会から信頼される専門職集団の一員であるためにはどうすれば良いか考え適切に行動することができる。,"社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
","査読者A, Cの意見を反映",,"社会から信頼される専門職集団の一員であるためにはどのように行動すべきかを考え、そのように行動することができる。
",,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,【宮地】「...であるためにはどのように行動すべきか...」に変更？
信頼,省察,自分自身の限界を適切に認識し行動する。,JkxiJU4,A-01-03-na-04,,,自分自身の限界を適切に認識し行動する。,自分自身の限界を適切に認識し行動する。,,,,,,,自分自身の限界を適切に認識し行動できる。,自分自身の限界を適切に認識し行動できる。,自分自身の限界を適切に認識し行動できる。,ママ,,自分自身の限界を適切に認識し行動する。,,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,
信頼,省察,他者からのフィードバックを適切に受け入れる。,JkxiJU8,,,,他者からのフィードバックを適切に受け入れる。,他者からのフィードバックを適切に受け入れる。,,,,,,,他者からのフィードバックを適切に受け入れることができる。,他者からのフィードバックを適切に受け入れることができる。,他者からのフィードバックを適切に受け入れる。,ママ,2.0,,他者からのフィードバックを適切に受け入れる。,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,,,,,,,,,,
思いやり,思いやり,患者を含めた他者に思いやりをもって接する。,JkxiJVI,A-01-02-na-01,,,患者を含めた他者に思いやりをもって接する。,患者を含めた他者に思いやりをもって接する。,,,,,,,患者を含めた他者に思いやりをもって接することができる。,患者を含めた他者に思いやりをもって接することができる。,患者を含めた他者に思いやりをもって接する。,ママ,2.0,,患者を含めた他者に思いやりをもって接する。,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,
思いやり,思いやり,他者に思いやりをもって接することができない場合の原因・背景を考える。,JkxiJVM,,,,他者に思いやりをもって接することができない場合の原因・背景を考える。,他者に思いやりをもって接することができない場合の原因・背景を考える。,,,,,,,利他を優先できない状況について考えを述べることができる。,利他を優先できない状況について考えを述べることができる。,他者に思いやりをもって接することができない場合の原因・背景を考えることができる。,,,他者に思いやりをもって接することができない場合の原因・背景を考える。,,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,,,,,,,,,,【宮地】利他（Altruism）を思いやり（Compassion）に変換してしまうことで、損なわれるものはないか？
思いやり,他者理解と自己理解,自身の想像力の限界を認識した上で、他者を理解することに努める。,JkxiJVU,"A-01-02-na-01,A-01-03-na-02",,,自身の想像力の限界を認識した上で、他者を理解することに努める。,自身の想像力の限界を認識した上で、他者を理解することに努める。,,,,,,,他者を理解するとはどういうことか考えを述べることができる。,他者を理解するとはどういうことか考えを述べることができる。,自身の想像力の限界を認識した上で、他者を理解することに努める。,行動レベルの文言に修正しました,2.0,,自身の想像力の限界を認識した上で、他者を理解することに努める。,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,
思いやり,他者理解と自己理解,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、意識して行動することができる。,JkxiJVY,"A-01-03-na-02, A-01-02-na-01",,,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、意識して行動することができる。,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。,1.0,,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、意識して行動することができる。,,,,他者を適切に理解するための妨げとなる自分や自集団の偏見を意識することができる。,他者を適切に理解するための妨げとなる自分や自集団の偏見を意識することができる。,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。,行動レベルの文言に修正しました,2.0,,他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。,,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している,,,,,,,,,,,
思いやり,品格・礼儀,医師に求められる品格とはどのようなものかを考え、それを備えるように努める。,Jk3v49g,,,,医師に求められる品格とはどのようなものかを考え、それを備えるように努める。,医師に求められる品格とはどのようなものかを考え、それを備えるように努める。,,,,,,,医師に求められる品格について考え適切に行動できる。,医師に求められる品格について考え適切に行動できる。,医師に求められる品格とはどのようなものかを考え、それを備えるように努める。,DOINGからBEINGになっています,2.0,,医師に求められる品格とはどのようなものかを考え、それを備えるように努める。,,,,,,,,,,,,,
思いやり,品格・礼儀,礼儀正しく振る舞う。,JkxiJVc,,,,礼儀正しく振る舞う。,礼儀正しく振る舞う。,,,,,,,礼儀正しさについて考え適切に行動できる。,礼儀正しさについて考え適切に行動できる。,礼儀正しく振る舞う。,シンプルにしました,2.0,,礼儀正しく振る舞う。,,"新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している",,,,,,,,,,,
