第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
基礎医学,生命現象の科学,細胞の観察法を説明できる。,JkxnuHs,C-01-01-01-01,「細胞の観察ができる」のみでもよいか？(MY),#NAME?,電顕などの観察法についての項目と考えるので「観察法」のままでどうか,,,観察できる必要があるのでは。「細胞の観察法を説明し、観察できる」,,,,,,
基礎医学,生命現象の科学,細胞の全体像を図示できる。,JkxnuHw,C-01-01-01-02,,,,,,,,,,,図示できることが必要な能力なのでしょうか。細胞の全体像を理解していることの方が重要な気がします。細胞の全体像を理解するのであれば４・５と合わせてもいいと思います。,
基礎医学,生命現象の科学,核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、細胞骨格の種類とその構造と機能を説明できる。,JkxnuH0,"C-01-01-01-03,C-01-01-01-04,C-01-01-01-05,C-01-01-01-06",修正済み・ワードファイルでは「外」細胞骨格の外を消しているように見えます（KY）,,「外」は削除,,,,,,,,,
基礎医学,生命現象の科学,細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。,JkxnuH4,C-01-01-01-07,,,,,,,,,,,,
基礎医学,生命現象の科学,原核細胞と真核細胞の特徴を説明できる。,JkxnuH8,C-01-01-01-08,,,,,,,,,,,,
基礎医学,生命現象の科学,Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。,JkxnuIA,C-01-01-02-01,,,,,,,,,,メンデルはアルファベットでいいのでしょうか。,,
基礎医学,生命現象の科学,遺伝型と表現型の関係を説明できる。,JkxnuIE,C-01-01-02-02,,,,,,,,,,,,
基礎医学,生命現象の科学,染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。,JkxnuII,C-01-01-02-03,,,,,,,,,,,,
基礎医学,生命現象の科学,デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。,JkxnuIM,"C-01-01-02-04,C-01-01-02-05,C-03-01-01-03",,,,,,,,,,,,
基礎医学,生命現象の科学,染色体分析・DNA配列決定を含むゲノム解析技術を説明できる。,JkxnuIQ,C-01-01-02-06,修正済み・ワードファイルでは「説明できる」になっています。(KY),,深度を深めた,,,,,,,,,
基礎医学,生命現象の科学,ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。,JkxnuIU,,新設,,,,,,,,,,CRISPR-CAS-9に言及しなくてもいい気がしました,
基礎医学,生命現象の科学,進化の基本的な考え方を説明できる。,JkxnuIY,C-01-02-01-01,,,,,,,,,,,,
基礎医学,生命現象の科学,生物種とその系統関係を概説できる。,JkxnuIc,C-01-02-01-02,,,,,,,,,,,,
基礎医学,生命現象の科学,アミノ酸配列や塩基配列の比較による分子系統樹を説明できる。,JkxnuIg,C-01-02-01-03,修正済み・ワードファイルでは「説明できる」になっています。(KY),,深度を深めた,,,,,,,,,
基礎医学,個体の構成と機能,細胞内液・外液のイオン組成、および浸透圧と（静止）膜電位の形成機構を説明できる。,JkxnuIk,C-02-01-01-01,,,,,,,,,,,,
基礎医学,個体の構成と機能,細胞膜のイオンチャネル、ポンプ、および膜を介する物質の能動・受動輸送過程を説明できる。,JkxnuIo,"C-02-01-01-02,C-02-01-01-03,C-02-01-01-04",修正済み・ワードファイルでは「説明できる」になっています。(KY),,深度を深めた,,,,,,,,,
基礎医学,個体の構成と機能,活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。,JkxnuIs,"C-02-03-02-01,C-02-03-02-02",,,,,,,,,,,,
基礎医学,個体の構成と機能,情報伝達の種類と機能を説明できる。,JkxnuIw,C-02-03-01-01,,,,,,,,,,,,
基礎医学,個体の構成と機能,受容体の種類・細胞内局在・機能、受容体による細胞内シグナル伝達過程を説明できる。,JkxnuI0,"C-02-03-01-02,C-02-03-01-03",,,,,,,,,,,,
基礎医学,個体の構成と機能,液性因子による細胞間情報伝達（自己分泌、傍分泌、内分泌）を説明できる。,JkxnuI4,,新設,,,,,,,,,,,
基礎医学,個体の構成と機能,細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。,JkxnuI8,"C-02-01-02-01,C-02-01-02-02",,,,,,,,,,,,
基礎医学,個体の構成と機能,細胞膜を介する分泌と吸収の過程と細胞内輸送システム、微小管の役割や機能を説明できる。,JkxnuJA,,新設,,"新設でない
 C-02-01-02-03, C-02-01-02-04, C-02-01-02-05",,,,,,,,専門的でわからないのですが17と合わせられないでしょうか,
基礎医学,個体の構成と機能,軸索輸送、軸索の変性と再生を説明できる。,JkxnuJE,C-02-03-02-03,,,,,,,,,,,,
基礎医学,個体の構成と機能,上皮組織と腺の構造と機能を説明できる。,JkxnuJI,C-02-02-01-01,,,,,,,,,,,,
基礎医学,個体の構成と機能,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,JkxnuJM,C-02-02-01-02,,,,,,,,,,,,
基礎医学,個体の構成と機能,血管とリンパ管の微細構造と機能を説明できる。,JkxnuJQ,C-02-02-01-03,,,,,,,,,,,,
基礎医学,個体の構成と機能,神経組織の微細構造を説明できる。,JkxnuJU,C-02-02-01-04,,,,,,,,,,,,
基礎医学,個体の構成と機能,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,JkxnuJY,C-02-02-01-05,,,,,,,,,,,,
基礎医学,個体の構成と機能,組織の再生の機序を説明できる。,JkxnuJc,C-02-02-01-06,,,,,,,,,,,,
基礎医学,個体の構成と機能,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる。,JkxnuJg,C-02-02-02-01,編集あり,,,,,,,,,,,
基礎医学,個体の構成と機能,刺激に対する感覚受容の種類と機序を説明できる。,JkxnuJk,C-02-03-02-04,「個体の」と謳っているが、細胞の話からスタートして違和感があるので、冒頭の項目をC-2-1）に移動しました。(大場),,,,,,,,,,,
基礎医学,個体の構成と機能,反射を説明できる。,JkxnuJo,C-02-03-02-05,,,,,,,,,,,,
基礎医学,個体の構成と機能,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）を説明できる。,JkxnuJs,"C-02-03-04-01,C-02-03-04-02",,,,,,,,,,,,
基礎医学,個体の構成と機能,生体機能や体内環境のリズム性変化を説明できる。,JkxnuJw,C-02-03-04-03,,,,,,,,,,,,
基礎医学,個体の構成と機能,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。,JkxnuJ0,C-02-03-04-04,,,,,,,,,,,,
基礎医学,個体の構成と機能,運動生理学など、身体活動時の神経・骨格筋、循環器、呼吸器、代謝系の変化を説明できる。,JkxnuJ4,C-02-03-04-05,これらは生理学等でも学修します。しかし特に運動整理学は、Dで各系の機能を理解して初めて理解できる『全身に及ぶ生理的変化』すなわちEに適した項目と考えます。(大場),,Eに統合で削除,,,,,,,,,
基礎医学,個体の構成と機能,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。,JkxnuJ8,"C-02-04-na-01,C-02-04-na-07",,,,,,,,,,,,
基礎医学,個体の構成と機能,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。,JkxnuKA,"C-02-04-na-02,C-02-04-na-08",,,,,,,,,,,,
基礎医学,個体の構成と機能,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。,JkxnuKE,"C-02-04-na-03,C-02-04-na-05,C-02-04-na-06",,,,,,,,,,,,
基礎医学,個体の構成と機能,消化・呼吸器系各器官の形成過程を説明できる。,JkxnuKI,C-02-04-na-04,修正済み・ワードファイルでは「説明できる」になっています。（KY）,,深度を深めた,,,,,,,,,
基礎医学,個体の構成と機能,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を説明できる。,JkxnuKM,C-02-04-na-09,追記(MY)、修正済み・ワードファイルでは「説明できる」になっています。（KY）,,深度を深めた,,,,,,,,,
基礎医学,個体の構成と機能,酵素の機能と調節を説明できる。,JkxnuKQ,,新設,,,,,,,,,,,
基礎医学,個体の構成と機能,糖質の構造、代謝と調節、生理的意義を説明できる。（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）,JkxnuKU,"C-02-05-na-01,C-02-05-na-02,C-02-05-na-03,C-02-05-na-04,C-02-05-na-05,C-02-05-na-06,C-02-05-na-07",,,,,,,,,,,,
基礎医学,個体の構成と機能,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。,JkxnuKY,"C-02-05-na-10,C-02-05-na-11",,,,,,,,,,,,
基礎医学,個体の構成と機能,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送を説明できる（リポタンパク質）。,JkxnuKc,"C-02-05-na-08,C-02-05-na-09",,,,,,,,,,,,
基礎医学,個体の構成と機能,ヘム・ポルフィリンの代謝を説明できる。,JkxnuKg,C-02-05-na-12,,,,,,,,,,,,
