第2層,第3層,該当する第4層の数,計
患者の情報収集,医療面接,#REF!,
患者の情報収集,身体所見,#REF!,#REF!
患者情報の統合、分析と評価、診療計画,カルテ記載,#REF!,
患者情報の統合、分析と評価、診療計画,臨床推論,#REF!,
患者情報の統合、分析と評価、診療計画,検査(計画・分析評価),#REF!,
患者情報の統合、分析と評価、診療計画,治療(計画・経過の評価),#REF!,
患者情報の統合、分析と評価、診療計画,教育計画,#REF!,#REF!
治療を含む対応の実施,検査手技,#REF!,
治療を含む対応の実施,救急・初期対応,#REF!,
治療を含む対応の実施,治療手技,#REF!,
治療を含む対応の実施,書類の作成,#REF!,
治療を含む対応の実施,患者ケアに必要な連携,#REF!,
治療を含む対応の実施,診療計画カンファレンス,#REF!,#REF!
診療経過の振り返りと改善,振り返りカンファレンス,#REF!,
診療経過の振り返りと改善,自己省察とメタ認知,#REF!,
診療経過の振り返りと改善,患者安全の配慮と促進,#REF!,#REF!
,,,#REF!
