基本症候,H28対応項目,メモ
発熱,"F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08",
全身倦怠感,"F-01-02-na-01,F-01-02-na-02,F-01-02-na-03,G-02-02-na-01,G-02-02-na-02,G-02-02-na-03,G-02-02-na-04,G-02-02-na-05,G-02-02-na-06,G-02-02-na-07,G-02-02-na-08,G-02-02-na-09,G-02-02-na-10",
食思(欲)不振,"F-01-03-na-01,F-01-03-na-02,F-01-03-na-03,G-02-03-na-01,G-02-03-na-02,G-02-03-na-03,G-02-03-na-04,G-02-03-na-05",
体重減少,"F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11",
体重増加,"F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11",
意識障害,"F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09",
失神,"F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09",
けいれん,"F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06",
めまい,"F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07",
浮腫,"F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06",
発疹,"F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07",
