第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
医療の質と患者安全,患者安全,患者安全のための個人および組織におけるリスク管理の重要性を理解する。,JkxoFDo,A-06-01-na-02,ヒューマンファクターズ 90分 講義,Loading...,行動できる、の表記に変更しました,学生レベルでも「理解して行動できる」にしてはどうでしょうか,,プロフェッショナリズムの「誠実さ」が行動レベルまで求めるなら、ここもあわせて「リスク管理の重要性を理解し、行動できる」。文末は他にあわせて「できる」にすべきかと。,,,,,Student Doctor法制化にむけては実践レベルが求められるように思います,
医療の質と患者安全,患者安全,医療現場における報告・連絡・相談を実践し、記録の重要性を理解する。,JkxoFDs,A-06-01-na-03,インシデントレポート、M＆Mカンファ、2 challenge rule,,報連相はｺﾐｭに送ることとし、診療録の運用にかかわる項目にしました。,"報連相は、コミュニケーションでも記載があります（が、相互に参照があればいいかもしれません）
診療録など記録の重要性だけという考えもあります",,文末は「理解できる」にする？,,,"医療現場における報告・連絡・相談を実践し　　に、記録は含まれるのでは？
　記録すればよいのではなく、医師が、報告・連絡・相談を常に実践する重要性が薄れない方がよさそうな気がしました。",,,
医療の質と患者安全,患者安全,患者や介護者と協働するための情報共有を理解できる,JkxoFDw,A-06-01-na-03,オープンディスクロージャー ロールプレイ90分,,ｺﾐｭと多職種へ送ります,他職種チームに似た項目があるので検討を,,4と統合してもよいのでは。「医療・介護の現場における他者（患者や介護者を含む）と協働するための情報共有として、報告・連絡・相談を実践し、適切な記録の重要性を理解できる」,,,,,患者や介護者を選んだ理由はあるでしょうか。多職種や家族との情報共有だとコミュニケーションにも含まれますのでまとめてもいいように思います。,
医療の質と患者安全,患者安全,医療の安全性に関する情報（薬剤等の副作用、薬害、医療過誤、やってはいけないこと、優れた取組事例等）を共有し、事後に役立てるための分析の重要性を説明できる。,JkxoFD0,A-06-01-na-04,薬剤の誤投与のビデオ→分析 90×2時間,,説明できる→分析できるに変更しました,,,,,,,,,
医療の質と患者安全,患者安全,患者安全のための管理体制と各々の役割（リスクマネージャー、医療安全管理委員会等）を概説できる,JkxoFD4,A-06-01-na-06,,,変更なし、査読指摘なし,,,,,,,,,
医療の質と患者安全,患者安全,医療関連感染症の原因と対策（院内感染対策委員会、院内感染サーベイランス、院内感染対策チーム(infection control team <ICT>)、感染対策マニュアル等)を概説できる。,JkxoFD8,A-06-01-na-07,,,対策チームへは積極的に参加でよいかと考えました,感染症の部分の記載との参照ができているといいと思います,,,,,を理解し、実践できる。？,,,
医療の質と患者安全,医療の質,品質改善の手法を用いて医療を改善する,JkxoFEA,,新規,,医療の質について繰り返し評価する姿勢を身に着ける、としました,"品質改善はもともと企業（Deming）などから来ている言葉です。医療の質向上などの言葉に変更は可能でしょうか
基本的に◯◯できるの表現で",,あえて「できる」という文末にしていないのかもしれませんが、レベルとしては学生には難しいと思うので、「品質改善の手法を用いた医療の質の改善について説明できる」？,,学生レベルで改善を卒業要件にするのは難しいので削除出良いのでは？,・・・・改善する重要性を理解する。継続的に改良して、現場の医療を向上するシステム構築は、日本の医師・医療界のかなり重要な課題と思います。どこかで教えて、学生時代に理解して卒後に備えてほしいと思いました。,,ここでいう医療というのは社会に対する文言か患者に対するものかで異なるように思います。前者なら社会チームの中に、後者なら総合チームの中にふくまれませんか？,学生には改善はできない（できる場がない）ので、「医療おw改善するための品質改善の手法を説明できる」かと思いました。
医療の質と患者安全,医療従事者の健康管理,医療従事者の健康管理（予防接種を含む）の重要性を説明できる。,JkxoFEE,A-06-03-na-01,睡眠、過重労働、生活習慣とリスク,,実践のレベルの表記に変更。,予防接種だけでなく針刺しなど医療者安全も記載してはどうでしょうか？（感染の項目にすでにあるような気もしますが）,説明できる、だけでは不足感あり,プロフェッショナリズム11とあわせるなら「健康管理（予防接種を含む）の重要性を理解し、実践できる」臨床実習で現場に出る時に既に実践していると思いますので。,,,,予防接種に加え、被ばく低減策を追記（厚労省労働衛生課要望）,,実践のレベル。
医療の質と患者安全,医療従事者の健康管理,標準予防策(standard precautions)の必要性を説明し、実行できる。,JkxoFEI,A-06-03-na-02,,,技能に移動したため、重複が解消しました。,説明し、実行できるの２段階が必要でしょうか？ 実行できるだけでも可？,実施できる,,標準予防策〈standard precautions〉と記載,,,,標準予防策については患者ケアでもでてきます。重複と考えます。,
医療の質と患者安全,医療従事者の健康管理,医療現場における労働環境の改善の必要性を説明できる。,JkxoFEM,A-06-03-na-05,長時間労働の医師の健康管理,,あえて実践レベルにしました（ごく小さなことからでも行動につながるように）,厚労省が「働き方改革を入れろ」と言ってくるように思いますが、この表現以上は不要だと思います,説明できるだけでなく行動が必要,一般化すると表面的な知識になりそうなのと、フィールドワークの観点との関連から、「労働環境の改善の必要性という観点から医療現場を観察し、問題点を列挙できる。」,,,,「医療従事者の健康確保と医療の質・安全の確保の関係性と、これを踏まえた」を冒頭に追記（厚労省医事課からの依頼）,,「...改善の意義を説明できる」はいかがでしょうか。もしくは、「...改善に取り組む仕組みを説明できる」でしょうか。
