No,データ中の記述,文書中の記述,文書中の注釈,日本語,略語,フルスペル,出典,備考,各チームからの修正コメント,最終更新（220321 20:50）
1,後天性免疫不全症候群,後天性免疫不全症候群（AIDS）,Acquired immunodeficiency syndrome,後天性免疫不全症候群,AIDS,Acquired immunodeficiency syndrome,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
2,日常生活動作,日常生活動作（ADL）,Activities of daily living,日常生活動作,ADL,Activities of daily living,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
3,急性腎障害,急性腎障害（AKI）,Acute kidney injury,急性腎障害,AKI,Acute kidney injury,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：AKI（急性腎障害）診療ガイドライン2016　東京医学社　2016年12月20日,,
4,急性呼吸窮迫症候群,急性呼吸窮迫症候群（ARDS）,Acute respiratory distress syndrome,急性呼吸窮迫症候群,ARDS,Acute respiratory distress syndrome,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：ARDS診療ガイドライン2016　総合医学社　東京　2017年2月10日（第１版第2刷）,,
5,思春期・若年成人,思春期・若年成人（AYA）,Adolescent and young adult,思春期・若年成人,AYA,Adolescent and young adult,厚生労働省 小児がん拠点病院等の指定要件の見直しに関する報告書 https://www.mhlw.go.jp/stf/shingi2/0000190029_00003.html 平成30年7月31日,,,
6,アドバンスケア計画,アドバンスケア計画（ACP）,Advance care planning,アドバンスケア計画,ACP,Advance care planning,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,日本医学会医学用語辞典とコアカリの表記が異なる（アドバンス・ケア・プランニング）,,
7,事前指示書遵守,事前指示書遵守（AD）,Advanced directive,事前指示書遵守,AD,Advanced directive,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,日本医学会医学用語辞典とコアカリの表記が異なる（事前指示）,,
8,AFP,アルファフェトプロテイン（AFP）,Alpha-fetoprotein,アルファフェトプロテイン,AFP,Alpha-fetoprotein,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
9,肺胞気-動脈血酸素分圧較差,肺胞気-動脈血酸素分圧較差（A-aDO2）,Alveolar-arterial oxygen difference,肺胞気-動脈血酸素分圧較差,A-aDO2,Alveolar-arterial oxygen difference,,医師国家試験出題基準　平成30年版に記載あり,呼吸器学用語集の５ページにありますが、いかがでしょうか？（田中）https://www.jrs.or.jp/modules/publication/index.php?content_id=3#download,
10,薬剤耐性 ,薬剤耐性 （AMR）,Antimicrobial resistance,薬剤耐性 ,AMR,Antimicrobial resistance,厚生労働省 薬剤耐性（AMR）対策について　https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000120172.html,,,
11,注意欠落多動障害,注意欠落多動障害（ADHD）,Attention deficit hyperactivity disorder,注意欠落多動障害,ADHD,Attention deficit hyperactivity disorder,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
12,自閉症スペクトラム障害,自閉症スペクトラム障害（ASD）,Autism spectrum disorder,自閉症スペクトラム障害,ASD,Autism spectrum disorder,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
13,ベイズの定理,ベイズの定理,Bayes theorem,ベイズの定理,,Bayes theorem,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
14,BMI,ボディマス指数（BMI）,Body mass index,ボディマス指数,BMI,Body mass index,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
15,簡易精神症状評価尺度,簡易精神症状評価尺度（BPRS）,Brief psychiatric rating scale,簡易精神症状評価尺度,BPRS,Brief psychiatric rating scale,日本精神科評価尺度研究会　http://jsprs.org/scales/bprs.html,,,
16,CA19-9,CA19-9,Carbohydrate antigen 19-9,,CA19-9,Carbohydrate antigen 19-9,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
17,癌胎児性抗原,癌胎児性抗原（CEA）,Carcinoembryonic antigen,癌胎児性抗原,CEA,Carcinoembryonic antigen,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
18,慢性腎臓病,慢性腎臓病（CKD）,Chronic kidney disease,慢性腎臓病,CKD,Chronic kidney disease,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：エビデンスに基づくCKD診療ガイドライン2018　東京医学社　,,
19,慢性閉塞性肺疾患,慢性閉塞性肺疾患（COPD）,Chronic obstructive pulmonary disease,慢性閉塞性肺疾患,COPD,Chronic obstructive pulmonary disease,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
20,臨床病理検討会,臨床病理検討会（CPC）,Clinico-pathological conference,臨床病理検討会,CPC,Clinico-pathological conference,厚生労働省　臨床研修の到達目標　https://www.mhlw.go.jp/topics/bukyoku/isei/rinsyo/keii/030818/030818b.html,,,
21,クロージングボリューム,クロージングボリューム,Closing volume,クロージングボリューム,,Closing volume,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
22,CRISPR-Cas 9,CRISPR-Cas 9,Clustered regularly interspaced short palindromic repeats-Cas 9,,CRISPR-Cas 9,Clustered regularly interspaced short palindromic repeats-Cas 9,食品安全委員会 http://www.fsc.go.jp/fsciis/foodSafetyMaterial/show/syu04870500314%E3%80%80,,,
23,高齢者総合機能評価,高齢者総合機能評価（CGA）,Comprehensive geriatric assessment ,高齢者総合機能評価,CGA,Comprehensive geriatric assessment ,日本老年医学会 https://www.jpn-geriat-soc.or.jp/tool/,,,
24,コンピュータ断層撮影,コンピュータ断層撮影（CT）,Computed tomography,コンピュータ断層撮影,CT,Computed tomography,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
25,細胞傷害性T細胞,細胞傷害性T細胞（CTL）,Cytotoxic T lymphocyte,細胞傷害性T細胞,CTL,Cytotoxic T lymphocyte,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
26,デオキシリボ核酸,デオキシリボ核酸（DNA）,Deoxyribonucleic acid,デオキシリボ核酸,DNA,Deoxyribonucleic acid,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
27,播種性血管内凝固,播種性血管内凝固（DIC）,Disseminated intravascular coagulation ,播種性血管内凝固,DIC,Disseminated intravascular coagulation ,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記：科学的根拠に基づいた感染症に伴うDIC治療のエキスパートコンセンサス　https://www.jsth.org/wordpress/wp-content/uploads/2015/04/DIC.pdf,,
28,蘇生不要指示,蘇生不要指示（DNAR）,Do not attempt resuscitation,蘇生不要指示,DNAR,Do not attempt resuscitation,日本臨床倫理学会  https://square.umin.ac.jp/j-ethics/workinggroup.htm,,,
29,薬剤性過敏症症候群,薬剤性過敏症症候群（DIHS）,Drug-induced hypersensitivity syndrome ,薬剤性過敏症症候群,DIHS,Drug-induced hypersensitivity syndrome ,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
30,経験的治療,経験的治療,Empiric therapy,経験的治療,,Empiric therapy,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
31,根拠に基づく医療,根拠に基づく医療（EBM）,Evidence-based medicine,根拠に基づく医療,EBM,Evidence-based medicine,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
32,ファカルティ・ディベロップメント,ファカルティ・ディベロップメント（FD）,Faculty development,ファカルティ・ディベロップメント,FD,Faculty development,文部科学省 https://www.mext.go.jp/b_menu/shingi/chukyo/chukyo4/003/gijiroku/06102415/006/003.htm  ,,,
33,卵胞刺激ホルモン,卵胞刺激ホルモン（FSH）,Follicle-stimulating hormone,卵胞刺激ホルモン,FSH,Follicle-stimulating hormone,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
34,機能性ディスペプシア,機能性ディスペプシア（FD）,Functional dyspepsia,機能性ディスペプシア,FD,Functional dyspepsia,日本消化器病学会機能性消化管疾患診療ガイドライン2014 https://www.jsge.or.jp/files/uploads/FDGL2_re.pdf,,,
35,胃食道逆流症,胃食道逆流症（GERD）,Gastroesophageal reflux disease,胃食道逆流症,GERD,Gastroesophageal reflux disease,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
