臓器,分類,カテゴリ,サブカテゴリ,疾患,重要,UID,H28対応項目,H28表記,医学教育課修正案(20220419),医学教育課からのコメント(20220419),修正案(20220318),作業用(20220417),疾患(20220417),作業予定(20220417),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220317),医学教育課からのコメント(20220317),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス
血液・造血器・リンパ系,疾患・病態,貧血,なし,鉄欠乏性貧血,●,JlvnlXM,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,鉄欠乏性貧血,鉄欠乏性貧血,重要,,●,,,,,,,,A,B,A,,,,診断し基本的な治療ができることに必要な知識を理解している
血液・造血器・リンパ系,疾患・病態,貧血,なし,出血性貧血,,JlvnlYA,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,出血性貧血,出血性貧血,,,,,,●,,,,,A,B,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,なし,腎性貧血,,JlvnlYE,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,腎性貧血,腎性貧血,,,,,,●,,,,,B,C,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,二次性貧血,慢性疾患に伴う貧血,,JlvnlXU,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,慢性疾患に伴う貧血,慢性疾患に伴う貧血,,,（削除）,,,,,,,,A,B,,,,,診断し基本的な治療ができる
血液・造血器・リンパ系,疾患・病態,貧血,造血不全症,発作性夜間ヘモグロビン尿症,,JlvnlXY,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,発作性夜間ヘモグロビン尿症,発作性夜間ヘモグロビン尿症,,,,,,,,,,,C,C,,,,,疾患を想起し基本的に相談できる..
血液・造血器・リンパ系,疾患・病態,貧血,造血不全症,再生不良性貧血,,JlvnlXg,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,再生不良性貧血,再生不良性貧血,,,,,,,,,,,C,C,,,,,疾患を想起し診断・治療ができるについて専門家に相談できる
血液・造血器・リンパ系,疾患・病態,貧血,造血不全症,赤芽球癆,,JlvnlXk,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,赤芽球癆,赤芽球癆,,,,,,,,,,,C,C,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,造血不全症,骨髄異形成症候群,,JlvnlXs,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,骨髄異形成症候群,骨髄異形成症候群,,,,重複あり,,,,,,,C,C,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,溶血性貧血,自己免疫性,,JlvnlXw,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,自己免疫性,自己免疫性,,,,,,,,,,,B,C,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,巨赤芽球性貧血,ビタミンB12欠乏性貧血,●,JlvnlYM,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,ビタミンB12欠乏性貧血,ビタミンB12欠乏性貧血,重要,,●（追記）,,,,,,,,A,A,,,,,
