H28ID,理由・コメント,H28表記(計算列),医学教育課修正案(20220419),医学教育課からのコメント(20220419)
E-03-01-na-02,削除された,腫瘍の症候を説明できる,,
D-05-04-08-02,"word明記が無かった,234に追記",上大静脈症候群の病因と症候を説明できる。,,
D-06-01-na-09,"word明記が無かった,246に記載あり",血液による酸素 と二酸化炭素 の運搬の仕組みを説明できる。,,
D-06-03-01-01,"word明記が無かった,削除",喘鳴の発生機序と原因疾患を説明できる。,,
E-03-03-na-05,削除された,腫瘍の生物学的療法を概説できる。,,
D-06-04-08-04,"word明記が無かった,252に記載あり、252は新設ではありません",胸膜生検の適応を説明できる。,,
D-07-04-08-11,削除された,嚢胞性膵腫瘍の分類と病理所見を説明できる。,,
D-08-04-08-02,削除された,尿路の炎症（膀胱炎・前立腺炎・尿道炎）の病因、診断と治療を説明できる。,,
D-09-04-02-06,削除された,外陰、腟と骨盤内感染症の症候、診断と治療を説明できる。,,
E-02-02-na-02,削除された,ウイルス感染症診断における抗原検査、核酸増幅検査、血清抗体検査を説明できる。,,
E-02-02-na-03,削除された,細菌感染症診断における直接塗抹、Gram染色、培養検査、抗原検査、核酸増幅検査、毒素検出検査、血清抗体検査を説明できる,,
E-02-02-na-04,削除された,真菌感染症診断における直接塗抹、培養検査、抗原検査、核酸増幅検査を説明できる。,,
E-02-02-na-05,"word明記が無かった,削除",病原微生物及び感染臓器ごとの適切な抗微生物薬を説明できる。,,
E-02-02-na-08,"word明記が無かった,削除",感染症法を概説できる。,,
E-02-04-01-01,削除された,インフルエンザの症候と診断と治療を説明できる。,,
E-02-04-01-02,削除された,麻疹の症候と診断と合併症及び予防法を説明できる。,,
E-02-04-01-03,削除された,風疹の症候と診断と合併症及び予防法を説明できる。,,
E-02-04-01-04,削除された,水痘・帯状疱疹の症候と診断と治療及び予防法を説明できる。,,
E-02-04-01-05,削除された,流行性耳下腺炎（ムンプス）の症候と診断と合併症及び予防法を説明できる。,,
E-02-04-01-06,削除された,ヒト免疫不全ウイルス<HIV>感染症の症候と診断と治療及び感染対策を説明できる。,,
E-02-04-01-07,削除された,単純ヘルペスウイルス感染症、伝染性紅斑、手足口病、突発性発疹、咽頭結膜熱、伝染性単核(球)症を説明できる。,,
E-02-04-01-08,削除された,サイトメガロウイルス<CMV>感染症を説明できる。,,
E-02-04-01-09,削除された,ヒトT細胞白血病ウイルス(human T-cell leukemia virus type 1 <HTLV-I>)感染症を説明できる。,,
E-02-04-01-10,削除された,プリオン病を説明できる。,,
E-02-04-02-01,削除された,黄色ブドウ球菌感染症の症候と診断と治療を説明できる。,,
E-02-04-02-02,削除された,A群β溶血性レンサ球菌感染症の症候と診断と治療を説明できる。,,
E-02-04-02-03,削除された,肺炎球菌感染症の症候と診断と治療と予防法を説明できる。,,
E-02-04-02-04,削除された,インフルエンザ(桿)菌感染症とMoraxella catarrhalis感染症を説明できる。,,
E-02-04-02-05,削除された,緑膿菌感染症の症候と診断と治療を説明できる。,,
E-02-04-02-06,削除された,大腸菌感染症の症候と診断と治療を説明できる。,,
E-02-04-02-07,削除された,Clostridium difficile感染症の症候と診断と治療を説明できる。,,
E-02-04-02-08,削除された,結核症、非結核性（非定型）抗酸菌症の症候と診断と治療及び予防法を説明できる。,,
E-02-04-02-09,削除された,マイコプラズマ感染症を説明できる。,,
E-02-04-02-10,削除された,クラミジア感染症を説明できる。,,
E-02-04-02-11,削除された,レジオネラ感染症を説明できる。,,
E-02-04-02-12,削除された,リケッチア感染症を説明できる。,,
E-02-04-02-13,削除された,カンピロバクター、サルモネラ、リステリア感染症を説明できる。,,
E-02-04-03-01,削除された,カンジダ症、クリプトコックス症、アスペルギルス症の症候と診断と治療を説明できる。,,
E-02-04-03-02,削除された,ニューモシスチス肺炎の症候と診断と治療を説明できる。,,
E-02-04-03-03,削除された,主な寄生虫感染症（回虫症、アニサキス症、吸虫症）を説明できる。,,
E-02-04-03-04,削除された,主な原虫感染症（マラリア、トキソプラズマ症、アメーバ赤痢）を説明できる。,,
E-02-04-04-01,削除された,性感染症の原因微生物を説明できる,,
E-02-04-04-02,削除された,梅毒の症候と診断と治療を説明できる。,,
E-02-04-04-03,削除された,淋菌感染症の診断と治療を説明できる。,,
E-02-04-04-04,削除された,性器クラミジア、性器ヘルペス、尖圭コンジローマの診断と治療を説明できる。,,
E-02-01-na-01,"word明記が無かった,削除",敗血症の症候と診断と治療を説明できる。,,
"C-02-03-03-01,C-02-03-03-02",word明記が無かった,"生体の非特異的防御機構を説明できる。,特異的防御機構である免疫系の役割を説明できる。",,
