第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
社会保障,公衆衛生,健康及び公衆衛生（地域共生社会含む）の概念を説明できる。,JkxoNsc,,新規,,,,,健康については総合75で扱っているので、「公衆衛生〜」以下だけでよいのでは？,,,,,,
社会保障,公衆衛生,予防の段階と戦略を説明できる。,JkxoNsg,B-01-04-na-05,,予防医学（一次、二次、三次予防）と健康保持増進（健康管理の概念・方法、健康診断・診査と事後指導）を概説できる。,,,,総合25と重複しており、削除？,,,,,,
社会保障,公衆衛生,地域診断、PDCAサイクルなど科学的根拠に基づく公衆衛生活動に参加する。,JkxoNsk,,新規,,,"PDCAサイクルに参加する、という文章ですが・・・意味がわかりません
「参加する」という動詞は適切でしょうか（体験目標は方略に）",,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。,JkxoNso,,新規,,,,,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,社会保険の財源と支払い方式を説明できる。,JkxoNss,"B-01-08-na-01,B-01-08-na-09,B-01-08-na-09、E-08-01-na-11",,"日本における社会保障制度と医療経済（国民医療費の収支と将来予測）を説明できる。,医療資源と医療サービスの価格形成を説明できる。診療報酬制度を説明でき、同制度に基づいた診療計画を立てることができる。,{not found: B-01-08-na-09、E-08-01-na-11}",,財源と支払い方式のみで1項目とする必要はない,,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。,JkxoNsw,,新規,,,"上記の項目とまとめて削除
公的扶助について、第３層にあるが第４層にないように思います",,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）など障害者福祉を説明できる。,JkxoNs0,"B-01-07-na-01,A-07-01-na-03、B-01-08-na-13",B-01-08-na-13　追加,"地域社会（へき地・離島を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。,{not found: A-07-01-na-03、B-01-08-na-13}",,社会福祉が障害者だけになっていませんか（ただし項目は増やさない方針で）,,,,,,,,
社会保障,地域保健,保健所・市町村保健センター・地方衛生研究所の役割、地域保健法等、地域保健体制を説明できる。,JkxoNs4,B-01-05-na-01,,基本概念（国民健康づくり運動、生活習慣病とリスクファクター、健康寿命の延伸と生活の質(quality of life <QOL>)向上、行動変容、健康づくり支援のための環境整備等）を説明できる。,,,,,,,,,,
社会保障,地域保健,健康増進法、栄養、身体活動、休養等、健康増進施策を説明できる。,JkxoNs8,"B-01-06-na-04,B-01-07-na-03,B-01-05-na-02、B-01-06-na-04、B-01-07-na-03",B-01-05-na-02　追加,"各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。,地域包括ケアシステムの概念を理解し、地域における、保健（母子保健、学校保健、成人・高齢者保健、地域保健、精神保健）・医療・福祉・介護の分野間及び多職種間（行政を含む）の連携の必要性を説明できる。,{not found: B-01-05-na-02、B-01-06-na-04、B-01-07-na-03}",,,,,,,,,,
社会保障,地域保健,母子保健法、母体保護法、児童福祉法、児童虐待防止法等、母子保健施策を説明できる。,JkxoNtA,B-01-06-na-04、B-01-07-na-03,,{not found: B-01-06-na-04、B-01-07-na-03},,,,,,,,,,
