第2層,第3層,第4層,第4層(技術参与清書),UID,H28対応項目,H28表記,修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント（あれば）,メモ,#VALUE!,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,査読への返答,A,B,C,D,E,F,G,H,Unnamed: 33,Unnamed: 34
社会保障,公衆衛生,公衆衛生（地域共生社会含む）の概念を説明できる。,公衆衛生（地域共生社会等）の概念を説明できる。,JkxoNsc,,,公衆衛生の概念を理解している。,"「社会における医療の役割の理解」という文言も踏まえて、全般的に「説明できる」から「理解している」に変更しました。臨床実習で社会医学的な理解を踏まえているかどうかを評価するイメージです。社会医学の講義・実習では「理解して」いれば「説明できる」だろうという想定もあります。
「地域共生社会」の文言をここにわざわざ取りあげることに疑問があります。",,,新規,,,,,,,,,,,,,健康部分を削除しました。,,,健康については総合75で扱っているので、「公衆衛生〜」以下だけでよいのでは？,,,,,,,
社会保障,公衆衛生,予防の段階と戦略を説明できる。,予防の段階と戦略を説明できる。,JkxoNsg,B-01-04-na-05,,予防の段階とそれらの戦略を理解している。,"日本語のわかりやすさの観点からの修正
理解しているに変更",,,,,,,,,,,,,,,,,,,総合25と重複しており、削除？,,,,,,,
社会保障,公衆衛生,公衆衛生活動（健診、健康づくりイベントなど）の意義を理解し、役割の一部を担うことができる。,公衆衛生活動（健診、健康づくりイベント等）の意義を理解し、役割の一部を担うことができる。,JkxoNsk,,,公衆衛生活動（健診、健康づくりイベント等）の意義を理解し、役割の一部を担うことができる。,こういう動詞が望ましいと思います,,,新規,,,,,,,,,,,,,地域診断、PDCAサイクルなど科学的根拠に基づく～は削除しました。,"PDCAサイクルに参加する、という文章ですが・・・意味がわかりません
「参加する」という動詞は適切でしょうか（体験目標は方略に）",,,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。,生存権等の健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。,JkxoNso,,,生存権等の健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）の意義と内容を理解している。,理解しているに変更,,,新規,,,,,,,,,,,,,,,,,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,削除：社会保険の財源と支払い方式を説明できる。,,JkxoNss,"B-01-08-na-01,B-01-08-na-09,B-01-08-na-09,E-08-01-na-11",,,,,,,,,,,,,,,,,,,,財源と支払い方式のみで1項目とする必要はない,,,,,,,,,
社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。,JkxoNsw,,,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険の仕組みと問題点を理解し、改善策を議論できる。,今後の国民皆保険について考えて議論してもらうような内容に修正することを提案します,,,新規,,,,,,,,,,,,,国民皆保険は特記が必要と考えます。生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる、で言及されています。,"上記の項目とまとめて削除
公的扶助について、第３層にあるが第４層にないように思います",,,,,,,,,【宮地】アウトカムとして評価できる形にできないか、という視点を出します。「〜を含む社会保険の仕組みと問題点を理解し、改善策を議論できる」
社会保障,社会保険、公的扶助、社会福祉,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）など障害者福祉を説明できる。,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）等、障害者福祉を説明できる。,JkxoNs0,"B-01-07-na-01,A-07-01-na-03,B-01-08-na-13",,障害者の日常生活及び社会生活を総合的に支援するための法律（障害者総合支援法）等の障害者福祉を理解している。,理解しているに変更,,,B-01-08-na-13　追加,,,,,,,,,,,,,障害者については特記すべきと考えます。社会福祉は、「生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。」で言及されています。,社会福祉が障害者だけになっていませんか（ただし項目は増やさない方針で）,,,,,,,,,
社会保障,地域保健,保健所・市町村保健センター・地方衛生研究所の役割、地域保健法等、地域保健体制を理解できる。,保健所・市町村保健センター・地方衛生研究所の役割を理解できる。,JkxoNs4,B-01-05-na-01,,保健所・市町村保健センター・地方衛生研究所の役割を理解している。,理解しているに変更,,,理解できるに変更,,,,,,,,,,,,,理解できる、に変更しました。,,,,,,,,,,
社会保障,地域保健,健康増進法、栄養、身体活動、休養等、健康増進施策を説明できる。,健康増進法、栄養、身体活動、休養等、健康増進施策を説明できる。,JkxoNs8,"B-01-06-na-04,B-01-07-na-03,B-01-05-na-02,B-01-06-na-04,B-01-07-na-03",,健康増進法、栄養、身体活動、休養等の健康増進施策の意義と内容を理解している。,法律と休養が並列なのが違和感があります。理解しているに変更,,,B-01-05-na-02　追加　10健康増進法等も11に含めても良いかもしれない（中山 20220220）,,,,,,,,,,,,,,,,,,,,,,,
社会保障,地域保健,"地域保健に関連する基本的な制度や法律を説明できる。

","地域保健に関連する基本的な制度や法律を説明できる。

",JkxoNtA,"B-01-06-na-04,B-01-07-na-03",,"地域保健に関連する基本的な制度や法律を理解している。

","理解しているに変更
注釈で「基本的な制度や法律」に何が含まれるかを記述する",,,補足説明にする：母子保健法、母体保護法、児童福祉法、児童虐待防止法等、母子保健施策を説明できる。,,,,,,,,,,,,,項目数をまとめる方向の査読に対応し、各法律は補足説明で付記します。,,,,,,,,,,
